GeneA	GeneB	MEScore
USP7	PLEKHO1	3.990315312018909
GRB2	REL	4.932690871865943
APH1A	ZNF274	3.445719568712378
LCK	MAP4K1	4.436739618055864
SIRT1	CDKN1A	0.0
GAPDH	PSEN1	0.0
FAS	MAP3K5	0.0
ITGB3	PAK1	0.0
AR	NCOA1	2.23606797749979
LCK	BCL2L1	3.601066006884104
NCK1	MAP4K1	4.277820995457973
ATF2	MMP2	1.7320508075688772
HDAC1	SMAD4	1.8251407699364424
BARD1	XRCC5	1.8251407699364424
HDAC1	KAT5	0.0
E2F1	CDK4	0.0
CTBP1	ZNF219	0.0
NCK1	SF3B4	3.3996891847537993
SMN1	PDE4DIP	3.6502815398728847
FN1	PRKCA	3.23606797749979
AES	RFX6	2.3654191763642474
SNCA	SDF4	0.0
TRAF3IP1	EXOC1	2.0907702751760278
SEC22B	CREB3	5.528603578749639
GSK3B	TP53	0.0
RBPMS	POGZ	0.0
LAMA4	RIF1	2.73821916335186
PIAS3	SMAD2	3.8296057803857466
SRC	EFS	0.0
REL	NOL9	4.905194049229709
CLTC	FADD	5.257346591481601
TAF9	BBC3	2.188901059316734
LZTR1	CEBPZ	0.0
CDK4	TK1	0.0
ARNT	CA9	5.336688998879147
EWSR1	TRAF2	0.0
ERBB2	VAV2	1.8660254037844386
SREBF2	PIAS2	1.5731321849709863
STX5	RIF1	0.0
CRKL	PAK1	0.0
MDM2	YY1	3.872983346207417
NGFR	TK1	0.0
PCDHA4	IGSF21	1.9840593925343335
CARM1	GADD45A	0.0
TP53	IGFBP3	0.0
GOLGA2	PIN1	0.0
ERBB3	JAK2	1.8660254037844386
PRKDC	XRCC5	2.883057266569289
AKT1	ZHX1	0.0
ITGB4	SREBF2	2.2802389661575337
CDKN1A	TLE1	1.4142135623730951
GOLGA2	TPX2	3.694452528530629
GSK3B	ZHX1	0.0
SFN	MARK3	0.0
TSC1	TSC2	2.118033988749895
ITGB1	ITGB4	2.53224755112299
SERPINB9	IGSF21	1.5731321849709863
CCNE1	RB1	6.081608670983241
HDAC2	CDKN1A	0.0
PSME1	VIM	2.541103500742244
MAX	DKK1	0.0
UBE2L3	SNCA	0.0
ATR	SRC	0.0
BCAR1	PIK3R1	2.724744871391589
EXOC4	CEP63	1.5731321849709863
WDYHV1	KRTAP10-7	0.0
RAB4A	APBB3	1.7320508075688772
PTN	PIAS4	0.0
ERBB2	HSP90AA1	2.927578216593269
PIK3R1	EFS	3.251330869460479
GAPDH	HTT	0.0
SMAD2	SMAD4	1.8251407699364424
ZHX1	PIAS4	0.0
KRT31	PIN1	0.0
CDH1	EGF	2.0907702751760278
CCND1	MCM10	0.0
AKT1	TRAF6	3.23606797749979
AKT1	TERT	2.9431747586863373
CDH2	PTPRJ	2.3228756555322954
RAC1	LZTS2	0.0
APC	TAF1	3.3166247903554
MTOR	RPTOR	2.140780282182635
CCNE1	BARD1	4.259601202601324
TADA2B	TAF9	2.188901059316734
AURKA	PLK1	0.0
FN1	SMAD9	0.0
RAP1B	CRK	0.0
MAP3K1	TRAF2	0.0
GRB2	SP1	2.7686595939953778
BCAR1	RAP1B	3.09557356477856
UBE2D1	RNF11	0.0
E2F1	APAF1	0.0
MSH2	TK1	0.0
CTBP1	CTNNB1	0.0
CDC5L	CDKN2A	0.0
AATF	TFDP1	0.0
SORT1	TRAF6	1.7071067811865475
HDAC1	MDM2	2.643598454290256
EGF	PTPN11	2.224744871391589
ATM	TP53	6.233672470589857
UBE3A	SCAMP1	3.5023251273026323
EGFR	TLN1	5.95092612394539
HGF	PLCG1	2.2882456112707374
ATM	BARD1	2.392788867148091
SMAD4	SMAD9	0.0
EGF	PAK1	0.0
ESR1	COL18A1	1.5731321849709863
GRB2	ZNF274	2.7686595939953778
TNS1	OSGEP	3.5948040682814084
TP53	XRCC5	6.4516694277245765
CDC42	RAC1	0.0
TP53	VDR	5.755432216610669
TP53	CCT5	0.0
XRCC6	RASA1	2.9364916731037085
TRIP13	PELI1	5.707106781186548
ATF2	RB1	3.694452528530629
TFDP1	MEF2C	3.3228756555322954
BAX	CASP3	0.0
TP53	BCL2L14	0.0
LCK	IKZF3	1.7320508075688772
HGS	EXOC7	2.8865562529568844
SELENBP1	RIF1	3.9633576589174195
SUMO1	HGS	0.0
CDK6	CDKN1A	3.2566165379829397
GRB2	IKZF3	2.927578216593269
APC	CDC42	2.3654191763642474
AURKA	BIRC5	0.0
MPHOSPH6	LRIF1	0.0
