SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
0	0	0	0	
1	1	0	100	TP53
2	2	0	100	TP53,SKP2
3	3	0	100	TP53,SKP2,RB1
4	3	1	75	TP53,SKP2,RB1,TRIP13
5	4	1	80	TP53,SKP2,RB1,PTEN,TRIP13
7	5	2	71	TP53,SKP2,RB1,PTEN,EGFR,TRIP13,FOXM1
8	5	3	62	TP53,SKP2,RB1,PTEN,EGFR,TRIP13,FOXM1,BCL2L1
9	6	3	66	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,TRIP13,FOXM1,BCL2L1
10	6	4	60	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,TRIP13,PLK3,FOXM1,BCL2L1
11	6	5	54	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,TRIP13,PLK3,FOXM1,BCL2L1,FADD
12	6	6	50	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,TRIP13,PLK3,FOXM1,BCL2L1,FADD,BID
13	6	7	46	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID
14	6	8	42	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3
15	7	8	46	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3
16	8	8	50	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,GRB2,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3
18	10	8	55	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,PIK3CA,PIK3R1,GRB2,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3
19	11	8	57	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,PIK3CA,PIK3R1,GRB2,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3
20	11	9	55	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,PIK3CA,PIK3R1,GRB2,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L
22	13	9	59	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,REL,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L
23	13	10	56	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,REL,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,SETDB1
24	14	10	58	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,AKT1,REL,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,SETDB1
25	15	10	60	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,AKT1,APC,REL,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,SETDB1
27	16	11	59	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,AKT1,APC,REL,CDK6,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,PRKAA1,SETDB1
28	16	12	57	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,AKT1,APC,REL,CDK6,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,S100A8,PRKAA1,SETDB1
29	16	13	55	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,AKT1,APC,REL,CDK6,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,S100A8,PRKAA1,SETDB1,UBE2I
30	17	13	56	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,FOXA1,AKT1,APC,REL,CDK6,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,S100A8,PRKAA1,SETDB1,UBE2I
31	17	14	54	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,FOXA1,AKT1,APC,REL,CDK6,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,S100A8,EXOC3,PRKAA1,SETDB1,UBE2I
32	17	15	53	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,FOXA1,AKT1,APC,REL,CDK6,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,S100A8,EXOC3,PRKAA1,SETDB1,SMN1,UBE2I
33	17	16	51	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,FOXA1,AKT1,APC,REL,CDK6,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,ANG,S100A8,EXOC3,PRKAA1,SETDB1,SMN1,UBE2I
34	18	16	52	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,FOXA1,AKT1,APC,REL,CDK6,MAX,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,ANG,S100A8,EXOC3,PRKAA1,SETDB1,SMN1,UBE2I
35	18	17	51	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,FOXA1,AKT1,APC,REL,CDK6,MAX,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,ANG,S100A8,EXOC3,PRKAA1,SETDB1,SMN1,GHR,UBE2I
36	19	17	52	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,FOXA1,AKT1,APC,REL,CDK6,MAX,MYC,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,ANG,S100A8,EXOC3,PRKAA1,SETDB1,SMN1,GHR,UBE2I
37	19	18	51	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,FOXA1,AKT1,APC,REL,CDK6,MAX,MYC,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,ANG,S100A8,EXOC3,PRKAA1,SETDB1,SMN1,CCNB1,GHR,UBE2I
38	19	19	50	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,FOXA1,AKT1,APC,REL,CDK6,MAX,MYC,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,ANG,S100A8,EXOC3,PRKAA1,SETDB1,SMN1,YY1,CCNB1,GHR,UBE2I
39	19	20	48	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,FOXA1,AKT1,APC,REL,CDK6,MAX,MYC,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,ANG,S100A8,EXOC3,PRKAA1,SETDB1,SMN1,WNK1,YY1,CCNB1,GHR,UBE2I
41	21	20	51	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,SOX2,FOXA1,AKT1,APC,REL,CDK6,RICTOR,MAX,MYC,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,ANG,S100A8,EXOC3,PRKAA1,SETDB1,SMN1,WNK1,YY1,CCNB1,GHR,UBE2I
42	21	21	50	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,SOX2,FOXA1,AKT1,APC,REL,CDK6,RICTOR,MAX,MYC,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,ANG,S100A8,EXOC3,PRKAA1,SETDB1,SMN1,NEDD8,WNK1,YY1,CCNB1,GHR,UBE2I
43	22	21	51	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,SOX2,FOXA1,AKT1,APC,REL,CDK6,RICTOR,MAX,CDKN1A,MYC,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,ANG,S100A8,EXOC3,PRKAA1,SETDB1,SMN1,NEDD8,WNK1,YY1,CCNB1,GHR,UBE2I
44	22	22	50	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,SOX2,FOXA1,AKT1,APC,REL,CDK6,RICTOR,MAX,CDKN1A,MYC,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,ANG,S100A8,EXOC3,PRKAA1,SETDB1,SMN1,NEDD8,WNK1,YY1,CCNB1,CHGB,GHR,UBE2I
45	23	22	51	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,SOX2,FOXA1,AKT1,APC,REL,CDK6,RICTOR,MAX,CDKN1A,MYC,MTOR,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,ANG,S100A8,EXOC3,PRKAA1,SETDB1,SMN1,NEDD8,WNK1,YY1,CCNB1,CHGB,GHR,UBE2I
46	24	22	52	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,SOX2,FOXA1,AKT1,APC,REL,CDK6,RICTOR,MAX,CDKN1A,MYC,MTOR,HSP90AA1,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,ANG,S100A8,EXOC3,PRKAA1,SETDB1,SMN1,NEDD8,WNK1,YY1,CCNB1,CHGB,GHR,UBE2I
47	24	23	51	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,SOX2,FOXA1,AKT1,APC,REL,CDK6,RICTOR,MAX,CDKN1A,MYC,MTOR,HSP90AA1,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,ANG,S100A8,EXOC3,PRKAA1,SETDB1,SMN1,NEDD8,WNK1,YY1,CCNB1,CHGB,GHR,UBE2I,RAP1B
48	24	24	50	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,SOX2,FOXA1,AKT1,APC,REL,CDK6,RICTOR,MAX,CDKN1A,MYC,MTOR,HSP90AA1,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,ANG,S100A8,EXOC3,PRKAA1,SETDB1,SMN1,NEDD8,WNK1,YY1,TTC5,CCNB1,CHGB,GHR,UBE2I,RAP1B
49	24	25	48	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,SOX2,FOXA1,AKT1,APC,REL,CDK6,RICTOR,MAX,CDKN1A,MYC,MTOR,HSP90AA1,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,ANG,S100A8,EXOC3,PRKAA1,SETDB1,SMN1,NEDD8,WNK1,YY1,TTC5,CCNB1,CHGB,GHR,UBE2I,DYRK2,RAP1B
50	24	26	48	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,SOX2,FOXA1,AKT1,APC,REL,CDK6,RICTOR,MAX,CDKN1A,MYC,MTOR,HSP90AA1,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,ANG,S100A8,EXOC3,PRKAA1,SETDB1,SMN1,NEDD8,WNK1,YY1,TTC5,CCNB1,CHGB,GHR,UBE2I,DYRK2,RAP1B,PPP1CA
53	26	27	49	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,SOX2,FOXA1,AKT1,APC,REL,CDK6,RICTOR,MAX,CDKN1A,MYC,CDC42,MTOR,HSP90AA1,CTNNB1,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,ANG,S100A8,EXOC3,PRKAA1,SETDB1,SMN1,NEDD8,WNK1,YY1,TTC5,CCNB1,CHGB,GHR,UBE2I,DYRK2,RAP1B,PPP1CA,CASP10
54	27	27	50	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,SOX2,FOXA1,AKT1,APC,REL,CDK6,RICTOR,MAX,CDKN1A,MYC,CDC42,ARNT,MTOR,HSP90AA1,CTNNB1,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,ANG,S100A8,EXOC3,PRKAA1,SETDB1,SMN1,NEDD8,WNK1,YY1,TTC5,CCNB1,CHGB,GHR,UBE2I,DYRK2,RAP1B,PPP1CA,CASP10
56	28	28	50	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,SOX2,FOXA1,AKT1,APC,REL,CDK6,RICTOR,MAX,CDKN1A,MYC,CDC42,ARNT,MTOR,HSP90AA1,PRKAB2,CTNNB1,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,ANG,S100A8,EXOC3,PRKAA1,SETDB1,SMN1,NEDD8,WNK1,YY1,TTC5,CCNB1,CHGB,GHR,UBE2I,DYRK2,RAP1B,CCNK,PPP1CA,CASP10
57	28	29	49	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,SOX2,FOXA1,AKT1,APC,REL,CDK6,RICTOR,MAX,CDKN1A,MYC,CDC42,ARNT,MTOR,HSP90AA1,PRKAB2,CTNNB1,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,ANG,S100A8,EXOC3,PRKAA1,SETDB1,SMN1,NEDD8,WNK1,YY1,TTC5,CCNB1,CHGB,GHR,UBE2I,DYRK2,RAP1B,CCNK,CTNNA1,PPP1CA,CASP10
59	29	30	49	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,SOX2,FOXA1,AKT1,APC,REL,CDK6,RICTOR,MAX,CDKN1A,MYC,CDC42,ARNT,MTOR,HSP90AA1,PRKAB2,CTNNB1,HIF1A,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,ANG,S100A8,EXOC3,PRKAA1,SETDB1,SMN1,NEDD8,WNK1,YY1,TTC5,CCNB1,CHGB,GHR,UBE2I,DYRK2,RAP1B,CCNK,CTNNA1,CTTN,PPP1CA,CASP10
60	29	31	48	TP53,SKP2,RB1,PTEN,EGFR,CCNE1,CDKN2A,TFDP1,MDM2,PIK3CA,PIK3R1,GRB2,SOX2,FOXA1,AKT1,APC,REL,CDK6,RICTOR,MAX,CDKN1A,MYC,CDC42,ARNT,MTOR,HSP90AA1,PRKAB2,CTNNB1,HIF1A,TRIP13,PLK3,FOXM1,BCL2L1,TK1,FADD,BID,CREB3,UFD1L,ANG,S100A8,EXOC3,PRKAA1,SETDB1,SMN1,NEDD8,WNK1,YY1,TTC5,CCNB1,CHGB,GHR,UBE2I,DYRK2,RAP1B,CCNK,CTNNA1,CTTN,BAK1,PPP1CA,CASP10
