GeneSymbol	PosteriorP	Selected	ConvergenceIter	KnownCancerGene		BestSSN
TP53	0.9921963012329252	true	956	true	Set(SKP2	any	TP53, BID	any	TP53, BID	any	FADD)	7.095735943286467
SKP2	0.5338851579870669	true	-1	true	Set(SKP2	any	TP53, BID	any	TP53, BID	any	FADD)	7.095735943286467
RB1	0.33325397449738176	true	-1	true	Set(SKP2	any	TP53, RB1	any	SKP2, CCNE1	any	RB1)	6.77455851982545
TRIP13	0.3135687294649985	true	-1	false	Set(PLK3	any	TRIP13, CCNE1	any	PLK3, PLK3	any	TP53)	6.538752675457464
PLK3	0.2562745351211231	true	-1	false	Set(PLK3	any	TRIP13, CCNE1	any	PLK3, PLK3	any	TP53)	6.538752675457464
PTEN	0.2556995278009782	true	-1	true	Set(PTEN	any	TP53, SKP2	any	TP53, EGFR	any	TP53)	6.865686176973512
FOXM1	0.20668359285186078	true	-1	false	Set(SKP2	any	TP53, EGFR	any	TP53, FOXM1	any	SKP2)	6.779940375128119
EGFR	0.19697929163131778	true	-1	true	Set(PTEN	any	TP53, SKP2	any	TP53, EGFR	any	TP53)	6.865686176973512
CCNE1	0.1898987573386589	true	-1	true	Set(SKP2	any	TP53, RB1	any	SKP2, CCNE1	any	RB1)	6.77455851982545
BCL2L1	0.18432445330847674	true	-1	false	Set(BCL2L1	any	TP53, SKP2	any	TP53, FOXM1	any	SKP2)	6.678491342194981
TK1	0.14196963356092684	true	-1	false	Set(SKP2	any	TP53, TK1	any	TP53, TP53	any	UFD1L)	6.443889747933366
CDKN2A	0.13580170658195145	true	-1	true	Set(CEP72	any	MCM10, CDKN2A	any	MCM10, CDK6	any	CDKN2A)	6.384660525139077
FADD	0.13329287455111388	true	-1	false	Set(SKP2	any	TP53, BID	any	TP53, BID	any	FADD)	7.095735943286467
BID	0.12305139284949784	true	-1	false	Set(SKP2	any	TP53, BID	any	TP53, BID	any	FADD)	7.095735943286467
TFDP1	0.11815822997197295	true	-1	true	Set(TFDP1	any	TP53, SKP2	any	TP53, FOXM1	any	SKP2)	6.614641322809874
CREB3	0.1169799076215241	true	-1	false	Set(BCL2L1	any	TP53, SKP2	any	TP53, BCL2L1	any	CREB3)	6.568329002964831
UFD1L	0.11472065447404056	true	-1	false	Set(SKP2	any	TP53, TP53	any	UFD1L, FOXM1	any	SKP2)	6.7120973565098
MDM2	0.11129995837973367	true	-1	true	Set(MDM2	any	TP53, SKP2	any	TP53, FOXM1	any	SKP2)	6.366589123603426
PIK3CA	0.10360747703433015	true	-1	true	Set(BCL2L1	any	TP53, SKP2	any	TP53, BCL2L1	any	PIK3CA)	6.004630032444087
PIK3R1	0.10277949352393845	true	-1	true	Set(MAP4K1	any	PIK3R1, PTEN	any	TP53, PIK3R1	any	PTEN)	6.321206849696556
GRB2	0.10250306542299226	true	-1	true	Set(GRB2	any	PEX13, EGFR	any	GRB2, EGFR	any	TP53)	5.846167228845209
ANG	0.10016526375688906	true	-1	false	Set(PTEN	any	TP53, ANG	any	PTEN, SKP2	any	TP53)	6.451613782218766
SOX2	0.09940639986783584	true	-1	true	Set(SOX2	any	SUMO1, MAPK1IP1L	any	PDCD6, MAPK1IP1L	any	SUMO1)	5.519847272751442
FOXA1	0.09668339359347561	true	-1	true	Set(FOXA1	any	TP53, SKP2	any	TP53, FOXM1	any	SKP2)	6.549490152825786
AKT1	0.09593426455758847	true	-1	true	Set(AKT1	any	TSC2, TP53	any	TSC2, SKP2	any	TP53)	5.748652385655237
S100A8	0.09527905060794206	true	-1	false	Set(SKP2	any	TP53, FOXM1	any	SKP2, S100A8	any	TP53)	6.667505444365309
APC	0.09031099243098051	true	-1	true	Set(APC	any	TP53, SKP2	any	TP53, FOXM1	any	SKP2)	6.297323327413654
REL	0.08867470102593189	true	-1	true	Set(BID	any	FADD, BID	any	TP53, BID	any	REL)	6.339399089753414
ALX4	0.08769002809232729	true	-1	false	Set(ALX4	any	SOX2, ALX4	any	HOXD3, DDB1	any	HOXD3)	4.813918936321926
TARS	0.08505574534575328	true	-1	false	Set(C7orf25	any	TARS, TARS	any	TARSL2)	4.18133458177251
