Gene	TP53	SKP2	RB1	TRIP13	PLK3	PTEN	FOXM1	EGFR	CCNE1	BCL2L1	TK1	CDKN2A	FADD	BID	TFDP1	CREB3	UFD1L	MDM2	PIK3CA	PIK3R1	GRB2	ANG	SOX2	FOXA1	AKT1	S100A8	APC	REL	ALX4	TARS	TARSL2	C7orf25	EXOC3	CDK6	PRKAA1	SETDB1	SMN1	NEDD8	WNK1	YY1	RICTOR	MAX	TTC5	CDKN1A	CCNB1	MYC	CHGB	SUMO1	CDC42	GHR	UBE2I	DYRK2	TAF9	ARNT	RAP1B	TP73	SP1	PRMT1	MTOR	FDXR	ATM	CHEK2	ATP6AP1	HSP90AA1	TSC2	RAD1	BARD1	SH2D1A	XRCC6	CCNK	UBE3A	FBXO11	PRKAB2	KAT2B	MCM10	CTNNB1	LZTR1	ARID3A	CTNNA1	CTTN	HIF1A	SELENBP1	EXOC7	CEP72	SCAMP1	COPS5	BAK1	PRMT5	COMT	CRKL	MAP4K1	HDAC2	PDE10A	WDR3	PARK2	PDGFRB	PPP1CA	DKC1	RIPK1	TNRC6A	NCK1	CCNA2	HOMEZ	ATF2	ERBB2	BBC3	USP7	EFS	VCAN	TAP1	NUP155	IKBKG	CTSD	HTT	NLRC4	NFYC	EXOC1	BAX	CASP10	CTNND1	TRAF6	TNFRSF10B	CDC6	EPHA2	AR	APH1A	MLH1	ZFYVE9	PRKDC	CHD3	SESN1	SMYD2	ZCCHC10	VAC14	LAMA4	MAP4K4	DUSP1	HGF	ABL1	NFYA	EXOC2	FYN	PNMA5	RYR1	GOLGA2	BRCA1	TGFA	JUN	RASA1	PLK1	PPP1R13L	MET	TLN1	E2F1	NGFR	SFN	ANXA7	PMS2	PPP2CA	CDC5L	STAMBP	TADA2B	AURKA	SMAD4	AFP	MAPK14	ARIH2	RIF1	MCL1	ARSA	CPSF3L	PPFIA1	PRKAB1	ATR	CCNG1	GSK3B	PLCG1	CEBPZ	A2M	APAF1	CDH1	PSEN1	MAPK6	COL18A1	XRCC5	TRRAP	POU4F1	FYB	RAB4A	MTUS2	NOL9	ERBB3	ZHX1	NOTCH2NL	UBE2D1	BCL2L14	CRMP1	EGF	TYRP1	GPRIN2	DST	SETD8	TRIAP1	MACF1	SLC38A1	APOH	MADD	NIF3L1	DBN1	GAPDH	CDK2	ADAMTSL4	NFYB	CSE1L	UBE2L3	DVL2	PIAS2	ATXN7	ATXN1	NOTCH2	NIPBL	TNIK	AHNAK	PDE4DIP	DDB2	LNX1	PCDHA4	BIRC5	STEAP3	RBPMS	WDYHV1	PDCD11	SNCA	CSNK2B	EXOC5	RECK	BDKRB2	CACNA1A	DIP2A	PAPOLG	PPP1R13B	LRIF1	FNDC3B	CRK	MCM5	TPX2	KAT5	TTC32	TERT	AMDHD2	SUMO2	RFWD2	SMARCA4	SORT1	TRAF2	FOXA2	MCM2	SCN3B	EMX1	MPHOSPH6	OXCT1	HDAC1	KDR	HBA1	DKK1	POLR3C	BMF	ZNF274	SOS1	DDX5	PTN	CDC7	TP63	SAT1	MBIP	OAZ3	PIN1	CASP1	VDR	PTPRB	TAF1	FAS	GMNN	SEC22B	IRS4	GADD45A	PRSS23	TRAF1	PIAS3	LZTS2	ZFYVE1	PELI1	CCT5	CDC25C	SYNE1	BCL6	ESR1	AES	POU2F1	SERPINB5	POU4F2	DTX2	DUSP5	MSH2	TLE1	NDRG1	MEF2C	SIGLEC5	SFTPD	SF3B4	SEC24A	ATF7IP	COPS6	MDFI	KRT40	AATF	RELN	TCF4	LRRC7	SRC	DAB1	CDKN2C	MYB	UTP14A	PRKCD	L3MBTL3	MCM7	SLC6A3	PTPRJ	HRAS	IKZF3	PIAS4	KRTAP10-7	SEC61G	SNRPN	PTPRC	NOTCH1	JMY	CLEC4G	RAC1	MAP3K5	COL4A5	ITGB1	HAUS1	UBE2O	TSC1	MAD2L2	SNAI2	TAB1	ZBTB16	ELF1	MAPKAP1	UNC119	IRS1	PCMTD2	CARM1	KIAA1549	NAV3	ZNF385A	STAT1	PRDM1	IGF1R	KLK3	PEX13	RANBP2	HIPK2	TRIM27	GDF15	BCAR1	EXOC4	ADNP2	CDH2	ANKS1B	MEOX2	RPTOR	CLTC	SERPINB9	DISC1	SREBF2	NRIP1	ZNF219	DDIT4	SH3GL2	CA9	PAK1	ERC1	OSMR	DPYSL4	MARK3	DGCR8	APBB3	APOB	PRKCA	STX5	RNF11	SDF4	LCP2	SMAD2	NUDT14	RRM2B	SDHA	SCNM1	TRIP10	IGFBP3	NRXN1	FLNA	ITGB4	VIM	ITGB3	PPHLN1	HMGCS1	PCNA	KRT31	TRAF3IP1	LCK	JAK2	RFX6	SIK1	CASP3	EDN2	RECQL5	PI4KA	ROPN1	EWSR1	HOXD3	NQO2	CEP63	BCR	OSGEP	CEBPE	ITGAV	SCARF2	MAGEB18	SLC9A1	IGSF21	SMAD9	NCOA1	CDK1	SKP1	PTPRK	PLEKHO1	MORN3	USHBP1	WDR33	PTPN11	TNK2	LGALS4	SP100	AGTPBP1	MAP3K1	FN1	E4F1	ID1	SPEG	KRTAP10-3	CCDC127	POGZ	CDK4	HGS	KEAP1	SPP1	CCND1	NCK2	GNPDA2	E2F5	ERBB4	TRIM39	GAB1	FLT1	EMD	EEF1A1	ZNF384	RHOXF2	MGAT5B	TAZ	GORASP2	MAD2L1BP	CLSTN1	HINFP	CTBP1	MPPED2	NEB	VAV2	APPBP2	ZNF512B	ACTN4	TNS1	MIPOL1	ESR2	MAPK8IP1	RERE	ATF3	SQSTM1	ITGB2	MMP2	MYO16	CRIP2	SIRT1	PARP11	PSME1
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0	101.0	102.0	103.0	104.0	105.0	106.0	107.0	108.0	109.0	110.0	111.0	112.0	113.0	114.0	115.0	116.0	117.0	118.0	119.0	120.0	121.0	122.0	123.0	124.0	125.0	126.0	127.0	128.0	129.0	130.0	131.0	132.0	133.0	134.0	135.0	136.0	137.0	138.0	139.0	140.0	141.0	142.0	143.0	144.0	145.0	146.0	147.0	148.0	149.0	150.0	151.0	152.0	153.0	154.0	155.0	156.0	157.0	158.0	159.0	160.0	161.0	162.0	163.0	164.0	165.0	166.0	167.0	168.0	169.0	170.0	171.0	172.0	173.0	174.0	175.0	176.0	177.0	178.0	179.0	180.0	181.0	182.0	183.0	184.0	185.0	186.0	187.0	188.0	189.0	190.0	191.0	192.0	193.0	194.0	195.0	196.0	197.0	198.0	199.0	200.0	201.0	202.0	203.0	204.0	205.0	206.0	207.0	208.0	209.0	210.0	211.0	212.0	213.0	214.0	215.0	216.0	217.0	218.0	219.0	220.0	221.0	222.0	223.0	224.0	225.0	226.0	227.0	228.0	229.0	230.0	231.0	232.0	233.0	234.0	235.0	236.0	237.0	238.0	239.0	240.0	241.0	242.0	243.0	244.0	245.0	246.0	247.0	248.0	249.0	250.0	251.0	252.0	253.0	254.0	255.0	256.0	257.0	258.0	259.0	260.0	261.0	262.0	263.0	264.0	265.0	266.0	267.0	268.0	269.0	270.0	271.0	272.0	273.0	274.0	275.0	276.0	277.0	278.0	279.0	280.0	281.0	282.0	283.0	284.0	285.0	286.0	287.0	288.0	289.0	290.0	291.0	292.0	293.0	294.0	295.0	296.0	297.0	298.0	299.0	300.0	301.0	302.0	303.0	304.0	305.0	306.0	307.0	308.0	309.0	310.0	311.0	312.0	313.0	314.0	315.0	316.0	317.0	318.0	319.0	320.0	321.0	322.0	323.0	324.0	325.0	326.0	327.0	328.0	329.0	330.0	331.0	332.0	333.0	334.0	335.0	336.0	337.0	338.0	339.0	340.0	341.0	342.0	343.0	344.0	345.0	346.0	347.0	348.0	349.0	350.0	351.0	352.0	353.0	354.0	355.0	356.0	357.0	358.0	359.0	360.0	361.0	362.0	363.0	364.0	365.0	366.0	367.0	368.0	369.0	370.0	371.0	372.0	373.0	374.0	375.0	376.0	377.0	378.0	379.0	380.0	381.0	382.0	383.0	384.0	385.0	386.0	387.0	388.0	389.0	390.0	391.0	392.0	393.0	394.0	395.0	396.0	397.0	398.0	399.0	400.0	401.0	402.0	403.0	404.0	405.0	406.0	407.0	408.0	409.0	410.0	411.0	412.0	413.0	414.0	415.0	416.0	417.0	418.0	419.0	420.0	421.0	422.0	423.0	424.0	425.0	426.0	427.0	428.0	429.0	430.0	431.0	432.0	433.0	434.0	435.0	436.0	437.0	438.0	439.0	440.0	441.0	442.0	443.0	444.0	445.0	446.0	447.0	448.0	449.0	450.0	451.0	452.0	453.0	454.0	455.0	456.0	457.0	458.0	459.0	460.0	461.0	462.0	463.0	464.0	465.0	466.0	467.0	468.0	469.0	470.0	471.0	472.0	473.0	474.0	475.0	476.0	477.0	478.0	479.0	480.0	481.0	482.0	483.0	484.0	485.0	486.0	487.0	488.0	489.0	490.0	491.0	492.0	493.0	494.0	495.0	496.0	497.0	498.0	499.0
GeneName	TP53	SKP2	RB1	TRIP13	PLK3	PTEN	FOXM1	EGFR	CCNE1	BCL2L1	TK1	CDKN2A	FADD	BID	TFDP1	CREB3	UFD1L	MDM2	PIK3CA	PIK3R1	GRB2	ANG	SOX2	FOXA1	AKT1	S100A8	APC	REL	ALX4	TARS	TARSL2	C7orf25	EXOC3	CDK6	PRKAA1	SETDB1	SMN1	NEDD8	WNK1	YY1	RICTOR	MAX	TTC5	CDKN1A	CCNB1	MYC	CHGB	SUMO1	CDC42	GHR	UBE2I	DYRK2	TAF9	ARNT	RAP1B	TP73	SP1	PRMT1	MTOR	FDXR	ATM	CHEK2	ATP6AP1	HSP90AA1	TSC2	RAD1	BARD1	SH2D1A	XRCC6	CCNK	UBE3A	FBXO11	PRKAB2	KAT2B	MCM10	CTNNB1	LZTR1	ARID3A	CTNNA1	CTTN	HIF1A	SELENBP1	EXOC7	CEP72	SCAMP1	COPS5	BAK1	PRMT5	COMT	CRKL	MAP4K1	HDAC2	PDE10A	WDR3	PARK2	PDGFRB	PPP1CA	DKC1	RIPK1	TNRC6A	NCK1	CCNA2	HOMEZ	ATF2	ERBB2	BBC3	USP7	EFS	VCAN	TAP1	NUP155	IKBKG	CTSD	HTT	NLRC4	NFYC	EXOC1	BAX	CASP10	CTNND1	TRAF6	TNFRSF10B	CDC6	EPHA2	AR	APH1A	MLH1	ZFYVE9	PRKDC	CHD3	SESN1	SMYD2	ZCCHC10	VAC14	LAMA4	MAP4K4	DUSP1	HGF	ABL1	NFYA	EXOC2	FYN	PNMA5	RYR1	GOLGA2	BRCA1	TGFA	JUN	RASA1	PLK1	PPP1R13L	MET	TLN1	E2F1	NGFR	SFN	ANXA7	PMS2	PPP2CA	CDC5L	STAMBP	TADA2B	AURKA	SMAD4	AFP	MAPK14	ARIH2	RIF1	MCL1	ARSA	CPSF3L	PPFIA1	PRKAB1	ATR	CCNG1	GSK3B	PLCG1	CEBPZ	A2M	APAF1	CDH1	PSEN1	MAPK6	COL18A1	XRCC5	TRRAP	POU4F1	FYB	RAB4A	MTUS2	NOL9	ERBB3	ZHX1	NOTCH2NL	UBE2D1	BCL2L14	CRMP1	EGF	TYRP1	GPRIN2	DST	SETD8	TRIAP1	MACF1	SLC38A1	APOH	MADD	NIF3L1	DBN1	GAPDH	CDK2	ADAMTSL4	NFYB	CSE1L	UBE2L3	DVL2	PIAS2	ATXN7	ATXN1	NOTCH2	NIPBL	TNIK	AHNAK	PDE4DIP	DDB2	LNX1	PCDHA4	BIRC5	STEAP3	RBPMS	WDYHV1	PDCD11	SNCA	CSNK2B	EXOC5	RECK	BDKRB2	CACNA1A	DIP2A	PAPOLG	PPP1R13B	LRIF1	FNDC3B	CRK	MCM5	TPX2	KAT5	TTC32	TERT	AMDHD2	SUMO2	RFWD2	SMARCA4	SORT1	TRAF2	FOXA2	MCM2	SCN3B	EMX1	MPHOSPH6	OXCT1	HDAC1	KDR	HBA1	DKK1	POLR3C	BMF	ZNF274	SOS1	DDX5	PTN	CDC7	TP63	SAT1	MBIP	OAZ3	PIN1	CASP1	VDR	PTPRB	TAF1	FAS	GMNN	SEC22B	IRS4	GADD45A	PRSS23	TRAF1	PIAS3	LZTS2	ZFYVE1	PELI1	CCT5	CDC25C	SYNE1	BCL6	ESR1	AES	POU2F1	SERPINB5	POU4F2	DTX2	DUSP5	MSH2	TLE1	NDRG1	MEF2C	SIGLEC5	SFTPD	SF3B4	SEC24A	ATF7IP	COPS6	MDFI	KRT40	AATF	RELN	TCF4	LRRC7	SRC	DAB1	CDKN2C	MYB	UTP14A	PRKCD	L3MBTL3	MCM7	SLC6A3	PTPRJ	HRAS	IKZF3	PIAS4	KRTAP10-7	SEC61G	SNRPN	PTPRC	NOTCH1	JMY	CLEC4G	RAC1	MAP3K5	COL4A5	ITGB1	HAUS1	UBE2O	TSC1	MAD2L2	SNAI2	TAB1	ZBTB16	ELF1	MAPKAP1	UNC119	IRS1	PCMTD2	CARM1	KIAA1549	NAV3	ZNF385A	STAT1	PRDM1	IGF1R	KLK3	PEX13	RANBP2	HIPK2	TRIM27	GDF15	BCAR1	EXOC4	ADNP2	CDH2	ANKS1B	MEOX2	RPTOR	CLTC	SERPINB9	DISC1	SREBF2	NRIP1	ZNF219	DDIT4	SH3GL2	CA9	PAK1	ERC1	OSMR	DPYSL4	MARK3	DGCR8	APBB3	APOB	PRKCA	STX5	RNF11	SDF4	LCP2	SMAD2	NUDT14	RRM2B	SDHA	SCNM1	TRIP10	IGFBP3	NRXN1	FLNA	ITGB4	VIM	ITGB3	PPHLN1	HMGCS1	PCNA	KRT31	TRAF3IP1	LCK	JAK2	RFX6	SIK1	CASP3	EDN2	RECQL5	PI4KA	ROPN1	EWSR1	HOXD3	NQO2	CEP63	BCR	OSGEP	CEBPE	ITGAV	SCARF2	MAGEB18	SLC9A1	IGSF21	SMAD9	NCOA1	CDK1	SKP1	PTPRK	PLEKHO1	MORN3	USHBP1	WDR33	PTPN11	TNK2	LGALS4	SP100	AGTPBP1	MAP3K1	FN1	E4F1	ID1	SPEG	KRTAP10-3	CCDC127	POGZ	CDK4	HGS	KEAP1	SPP1	CCND1	NCK2	GNPDA2	E2F5	ERBB4	TRIM39	GAB1	FLT1	EMD	EEF1A1	ZNF384	RHOXF2	MGAT5B	TAZ	GORASP2	MAD2L1BP	CLSTN1	HINFP	CTBP1	MPPED2	NEB	VAV2	APPBP2	ZNF512B	ACTN4	TNS1	MIPOL1	ESR2	MAPK8IP1	RERE	ATF3	SQSTM1	ITGB2	MMP2	MYO16	CRIP2	SIRT1	PARP11	PSME1
MutualExclScore	9.232030710286995	3.429375925131437	5.258417212224796	5.73003696325677	0.23376623376623376	7.745453563059006	3.7039358387184484	3.753686325123817	3.6805607126511255	3.1299955351538027	1.1179607624864596	21.893801476450857	7.626544629390678	0.9623048773758432	3.8399098266270943	2.1043619678368777	1.6942543569087498	1.508919887731807	1.273003976629139	0.6297406543900231	0.7846722278821355	0.703746822466672	35.00824107600618	1.3323664398144168	1.2996491842666547	1.4220132281058104	1.1930181774502262	2.8856815894931502	0.22272727272727272	3.6743431719369193	1.7472846235916095	0.0	5.88977722299703	3.971378447664087	3.16728855032241	1.4164740369048545	0.8060684932178621	0.7650748156184838	4.59934484262311	1.1556675911471306	3.5640208201845462	0.0	1.0180325367523861	0.10772357723577236	0.42706208296145176	0.0	0.2720092915214866	0.0	0.125	3.436953255466655	0.0	1.1864110515387605	0.44343113058049943	1.271587673268491	1.4811421099540294	1.0765782688477747	0.11263736263736264	0.24312861051991488	0.4726157222650912	0.8953377778859208	0.2684571418482113	0.08116883116883117	1.1852582085901269	0.9006403131040837	0.26008403361344534	3.3412140869695985	0.30118717968554987	0.08571428571428572	0.22384744798537903	1.2104636722590012	2.149142884486249	0.28810615155152963	1.7688826057884834	0.2183062880324544	0.1694475867269985	0.13870064154694134	1.9387921720348007	1.1899068322981365	0.49774436090225566	7.859841887687938	0.038461538461538464	1.1495518143905268	0.9102522949914379	5.83003696325677	0.49148307863244745	0.15612244897959182	0.034482758620689655	0.503982464018103	1.6942543569087498	1.7299686426230356	3.9610475447850684	0.0	0.41628776628776626	1.9493166440229992	0.7132094069165007	0.433917426966626	0.023809523809523808	1.2349585082904269	0.8329903133502206	0.4484126984126984	0.17142857142857143	0.0625	0.7440848609854885	0.12293460925039873	0.1825657894736842	0.1328722002635046	0.21402533707014088	0.7186601191775069	0.8640869954306157	0.29642857142857143	3.6956534075705076	1.2349585082904269	0.32191803037004274	0.31748345890080165	0.36456663903472414	0.0	0.09953886693017128	0.09561729830272031	0.07692307692307693	0.3627344877344877	0.20960656990068754	0.125	0.2506211180124224	0.2594065516760578	0.30627423259002207	1.2036600985942896	0.1213235294117647	0.3360822283885412	0.6330748531082829	0.2166056166056166	0.13942307692307693	0.13392857142857142	0.1321078431372549	0.10267857142857142	0.6157265565511211	0.17069506611102536	0.4078722002635045	0.5038663877589035	0.1511111111111111	0.029411764705882353	1.1886901690500762	0.21133540372670806	1.296760309430463	4.92012920807386	0.24549846288976723	0.2651827056644544	0.024390243902439025	0.08514492753623187	1.6633797653958944	0.06674082313681869	0.35328207787372945	0.08571428571428572	2.314328226190233	0.0	0.045454545454545456	0.022727272727272728	0.07142857142857142	0.19523809523809524	0.1321078431372549	0.0	0.03225806451612903	0.14615683229813664	0.03571428571428571	0.2553830227743271	0.10122239520267542	0.0	0.09109730848861283	0.4372400475341652	0.15555555555555556	1.4166936076143235	1.509911602181108	8.045767647751628	0.024390243902439025	0.4817515817515817	0.2616136968621441	0.0	0.11858974358974358	0.029411764705882353	0.5612701467106501	0.18168419781323009	0.12678571428571428	0.1708333333333333	0.20924774150580602	0.1575757575757576	0.31092743942580964	0.5370351754684356	0.09307359307359307	3.7372096644472443	0.11929510155316607	0.4654802784598181	1.4192642378495333	0.2117683041596085	0.0	0.4039432789432789	0.047619047619047616	0.09090909090909091	0.0956172983027203	0.5118895909188264	0.02631578947368421	0.20779220779220778	2.638888802292018	0.09090909090909091	0.024390243902439025	1.566651852897689	0.047619047619047616	0.125	0.17740683229813664	0.2323040184453228	0.497767494670994	0.03125	0.0	1.361862509993632	0.047619047619047616	0.0784313725490196	1.6942543569087498	0.0	0.18181818181818182	0.12874149659863945	0.0	2.969163601247161	4.018776085616388	0.4991260357210606	1.3099046722714216	1.2176769797218552	0.12777777777777777	0.045454545454545456	0.24594246333376768	1.1179607624864596	0.05756578947368421	0.0	0.03571428571428571	0.4509832272990167	0.0	0.0	0.0900735294117647	2.5216673303973223	0.13392857142857142	0.49591799938366155	0.31785797322881715	2.3856815894931507	1.3283976859556599	0.0	0.4005050505050505	0.0	0.20507244978760814	2.7680907732490416	0.07142857142857142	0.7287936036687659	0.07323232323232323	0.10666666666666666	0.7846722278821355	0.2520813193178249	0.27741872700817377	0.16233766233766234	0.0	0.0	0.06666666666666667	0.19775132275132273	0.07142857142857142	0.043478260869565216	3.8315009381761023	0.28846153846153844	0.5975892344125874	0.0	0.10144704433497537	1.7492747626512286	0.1558061821219716	0.10703812316715543	0.4398479354060202	0.047619047619047616	0.02857142857142857	0.24285714285714285	0.03125	0.0	1.25940715506954	1.1232360249168427	0.0	0.02702702702702703	0.13450292397660818	0.48578162677894726	0.593283031262571	0.0	0.10173160173160173	1.7492747626512286	2.051509685001438	0.07692307692307693	0.3607609710550887	0.221345218249243	1.775590552124913	0.1984126984126984	0.2008490477530725	0.10049019607843138	0.058823529411764705	0.3864348370927318	2.4518927687934426	0.23650296064089169	0.12681159420289853	0.13090909090909092	0.12681159420289856	0.043478260869565216	0.07204968944099378	0.08333333333333333	0.23184216304925687	0.034482758620689655	0.08823529411764705	0.24545454545454545	1.1152057354175202	0.2062937062937063	0.023809523809523808	1.136993431927623	0.31659060175794457	0.8373663101604278	0.0	0.0	0.1111111111111111	0.03571428571428571	1.0692431033798062	0.05263157894736842	1.4838337049870918	0.0	0.34538367978770457	0.0625	0.25427807486631016	0.18746213218829855	0.07225806451612904	0.2913558527760065	0.19277777777777777	5.738553402963215	0.18257329282174004	0.7259279383850322	0.11129435282358821	0.05489092188599577	0.4617279062401014	3.6399339237425075	0.3416666666666667	0.2778700466200466	0.6486929406478726	0.07142857142857142	0.038461538461538464	0.06666666666666667	0.14698275862068966	3.2091180853729964	0.24733044733044732	0.08333333333333333	1.055223010550389	0.17258636788048554	0.2067749727286894	0.07619047619047618	0.17857142857142855	0.17968274266228232	0.19098822324628775	0.20272045236982122	0.0	0.35042872945230974	0.05756578947368421	0.016129032258064516	0.43963127634266563	1.545814402829454	0.045454545454545456	0.058823529411764705	0.11904761904761904	1.7358127621197479	0.0625	2.8142530180645786	0.51880781852995	0.10876061120543293	0.0	0.047619047619047616	0.4159663865546218	0.18181818181818182	2.852240185313538	0.4268699766658024	0.716778876662441	0.09523809523809523	0.21960164835164836	0.33857205596336026	0.11274509803921567	0.02631578947368421	0.13375	2.0369632152097177	0.6596088036227707	0.09453781512605042	0.14275240888144114	2.2293619678368777	0.07142857142857142	3.3754321422915328	3.462926655728313	0.18200639939770374	1.642299078232338	0.09109730848861283	0.3125	1.1363088360775504	0.3469507101086048	0.14285714285714285	0.0	1.5515782688477748	0.4840626764539807	0.11904761904761904	1.2487400933575639	0.16025641025641024	5.777656010875817	1.271587673268491	0.07702702702702703	0.038461538461538464	0.8057224681013674	0.7434985935956039	0.504090445619681	0.3439833113746157	0.2047008547008547	0.20535714285714285	4.043683245116474	0.0	0.17424242424242425	0.2760521929005141	0.24553571428571427	0.13646071700991608	0.6775534854694446	0.1111111111111111	0.0	0.0625	1.0995790601802722	2.0244750420207396	0.05263157894736842	0.03225806451612903	0.1854469060351413	0.8329903133502206	0.24939024390243902	0.029411764705882353	0.8704134891333384	0.05555555555555555	0.23938806291747466	1.7397089023632952	0.2668831168831169	1.0166666666666666	0.14177489177489178	0.041666666666666664	0.3367032967032967	0.09109730848861283	0.045454545454545456	0.4027317510076131	1.4350816218752023	0.0196078431372549	0.10084033613445378	0.25846960405783936	0.24007651841224292	0.0	3.7891366196772123	0.5308933656725241	0.4634776987718164	0.20581592320722755	1.3047450260102265	0.22142857142857142	2.7680907732490416	0.8536213400356694	0.067816091954023	5.73003696325677	1.3001591018399195	0.0	0.12040133779264214	1.0282106819028933	0.034482758620689655	0.25	0.09453781512605042	0.17207792207792208	0.06786850477200423	0.4760635631632272	0.10350806451612904	0.08571428571428572	0.6726302654092139	1.2477582085901269	0.12681159420289856	0.08823529411764705	0.0	0.15406162464985995	1.1852582085901269	0.02127659574468085	0.0	0.5380249727286894	0.04981992797118848	0.047619047619047616	0.04	1.4482629118574397	0.2509920634920635	0.15997295469912104	0.22916666666666666	4.026353238640458	0.5040965325761505	1.59343010441069	0.045454545454545456	0.19090909090909092	1.9369331474207387	0.043478260869565216	0.3072624441659436	0.1265563101301641	0.08689562781634393	0.6133087024746617	1.0976289822464529	0.0	0.09108159392789374	0.4639995468012795
MutQty	134	76	32	100	2	63	27	41	44	34	16	164	73	19	16	31	30	15	23	9	17	14	240	21	20	26	11	39	3	75	20	0	103	26	75	34	8	10	44	15	82	0	17	2	7	0	5	0	2	78	0	17	7	31	14	12	2	4	7	19	6	2	17	17	5	75	7	2	4	17	19	5	39	3	4	3	34	7	7	76	1	30	19	101	7	3	1	10	30	31	51	0	7	24	9	7	1	19	12	3	2	1	14	3	3	3	5	14	18	3	83	19	5	6	6	0	3	3	1	4	4	1	4	6	5	30	2	6	11	3	2	2	3	2	11	4	5	10	2	1	17	3	19	66	3	6	1	2	15	2	7	2	36	0	1	1	1	3	3	0	1	3	1	5	3	0	2	6	2	11	12	78	1	6	5	0	2	1	10	4	3	3	4	2	6	9	2	85	3	8	14	4	0	5	1	1	3	6	1	3	25	1	1	25	1	1	3	4	9	1	0	31	1	2	30	0	2	3	0	49	83	10	20	20	2	1	5	16	2	0	1	6	0	0	2	35	2	9	6	38	23	0	6	0	6	32	1	8	2	2	17	5	6	2	0	0	1	3	1	1	80	2	12	0	3	38	3	2	9	1	1	3	1	0	19	29	0	1	3	8	11	0	2	38	19	1	5	4	39	2	4	2	1	5	47	3	3	2	2	1	2	2	5	1	2	3	7	3	1	29	6	9	0	0	1	1	18	1	23	0	5	1	4	4	2	7	3	104	4	10	3	2	6	37	5	5	14	1	1	1	3	33	5	1	21	4	5	2	2	4	3	4	0	9	2	1	12	28	1	1	2	19	1	38	10	3	0	1	6	2	21	7	11	2	4	5	2	1	3	18	13	2	3	32	1	34	81	3	25	2	3	22	4	1	0	13	7	2	20	3	101	31	2	1	16	11	8	5	3	2	75	0	2	6	3	3	11	1	0	1	20	36	1	1	3	12	3	1	15	1	3	31	4	5	3	1	5	2	1	6	33	1	2	4	4	0	49	8	5	3	20	3	32	15	2	100	31	0	2	19	1	1	2	3	2	7	3	2	9	18	2	2	0	3	17	1	0	8	2	1	1	22	4	3	2	52	11	25	1	2	14	1	6	3	3	10	18	0	2	10
TCGA-21-5782-01	1	1	1										1						1				1	1					1	1					1			1			1									1																1														1																													1		1						1																													1										1																1																1		1							1												1												1		1																																						1								1						1						1										1																																	1													1						1											1																																1	1																			1		1			1																								1																																																					1												1
TCGA-33-4533-01	1	1	1																				1							1					1						1									1										1						1																																													1																																																																				1									1							1																										1																																								1																																																																																					1																																									1													1											1																								1																																																																	
TCGA-66-2788-01	1	1		1		1						1									1									1			1		1						1									1									1							1			1		1												1	1									1																1		1																																																																					1								1																																	1	1																													1										1																	1																																																		1																	1																																			1							1														1		1								1										1																							1												1																																												
TCGA-60-2707-01	1	1		1		1						1											1							1			1		1						1									1																1																		1																											1																																																																													1													1																				1																																								1																																																																			1																																																											1														1										1																																													1																																												
TCGA-39-5024-01	1	1		1		1						1																		1			1		1						1									1																1																		1																											1														1																												1																																			1	1															1																	1																																					1			1																																																																			1																																																											1					1									1										1																																													1																																												
