GeneA	GeneB	MEScore
PIK3CA	PTEN	5.965522461652688
TP53	RB1	7.548977753264621
TP53	EGFR	8.184223591588715
PIK3CA	VAV2	3.237733648910723
BCL2L1	TP53	8.139393081153699
TP53	APC	6.958417341981447
APC	CTNNB1	0.0
TNIK	MACF1	3.9748737341529163
CTNNB1	TNIK	0.0
PIK3CA	AKT1	4.551157716896622
APC	MACF1	4.056012564237106
NRXN1	MACF1	4.320318436170148
APC	SYNE1	4.990684254330653
PIK3CA	BCL2L1	4.882660597856457
TNIK	SYNE1	4.805378553935729
CTNNB1	EGFR	0.0
NRXN1	MYO16	3.468501968502953
TP53	PTEN	8.192582403567252
CCNE1	RB1	6.148158211772294
