GeneA	GeneB	MEScore
CTR9	CNTNAP2	0.0
ESR2	SPTBN2	0.0
TP53	XRCC6	6.473388078521946
EGFR	ANKS1B	4.622498999199199
ERBB3	AKT1	3.23606797749979
ATF2	DUSP5	0.0
HTT	TP53	6.4516694277245765
RASA1	SOS1	2.8228756555322954
CDC42	GRB2	0.0
COL1A1	ITGB1	2.53224755112299
NCK1	CSMD2	0.0
ITGB2	LPA	0.0
CRK	SOS1	0.0
MAX	ITGB1	0.0
PLXND1	MACF1	0.0
TEK	MAPK14	0.0
ABL1	GRB2	0.0
KDR	SRC	0.0
PDGFRB	BCAR1	2.038629343740296
TP53	RFWD2	5.733672470589857
HRAS	SDC2	0.0
CTNNB1	JUN	0.0
TNIK	AGTPBP1	2.699172818834085
EGF	EGFR	4.3870225315599685
JUN	MACF1	0.0
JUN	TP53	0.0
LRP1	SKIL	0.0
INPP5D	IRS1	2.5476205269238843
CHD3	GSK3B	0.0
IGF1R	BCAR1	3.2862976842004192
MAX	TSC2	0.0
FN1	PRKCA	2.8708286933869704
KDR	NRP2	2.850084796318772
NCK1	SOS1	0.0
LRP1	PDGFRB	2.802775637731995
CDK6	ATXN1	0.0
CHD3	HTT	0.0
PIK3CA	PIK3R1	0.0
ATF2	KAT5	0.0
RHOA	SDC2	0.0
MTOR	GSK3B	0.0
PIK3CA	SRC	0.0
TP53	TSC2	6.462538997797217
ERBB4	ANKS1A	2.3228756555322954
CDH2	CTNNB1	0.0
ITGAM	LRP1	2.802775637731995
CRK	HGF	0.0
FYN	SOS1	0.0
RIF1	KIAA1377	2.342778860141484
TK1	TSC2	0.0
CCNE1	RPTOR	4.427827300200522
EGF	SOS1	2.724744871391589
DST	MAPK6	2.58113883008419
SDC2	SRC	0.0
PAK1	RHOA	0.0
CTNND1	IGF1R	3.0615528128088303
KDR	NCK1	0.0
RANBP2	AKAP13	3.517630503187898
INPP5D	PIK3R1	0.0
GFI1B	HECW1	0.0
NRXN1	PDZD2	3.485082106550167
FLT4	KDR	2.732050807568877
KAT5	KIAA1377	0.0
CNKSR2	TNIK	3.120185174601965
CDH2	PTPRC	2.4409096442821903
CDC42	RIF1	0.0
ABL1	EPB41L3	0.0
PIK3R1	PTEN	0.0
INPP5D	INSR	2.7370892179053907
FLT1	PIK3R1	0.0
CTNNB1	RHOA	0.0
AGTPBP1	DISC1	0.0
EGF	HRAS	2.342778860141484
CTNNB1	EGF	0.0
ATN1	VIM	0.0
SDC2	PIK3R1	0.0
DST	NFYC	0.0
PAK1	PIK3R1	0.0
CTNND1	HGF	2.58113883008419
PDGFRB	RASA1	2.3228756555322954
TP53	UBE2I	0.0
APC	NEB	4.003520275089414
EGFR	HRAS	4.280311648918275
CTNNB1	VCAN	0.0
SOS1	PAK1	0.0
RANBP10	THSD7B	0.0
ATM	MDM2	3.0275205091235833
ERBB3	SRC	0.0
DAB1	RELN	3.2393543323095373
CDK6	DAB1	3.5159497504062545
ABL1	ERBB4	0.0
ATXN1	UBE2I	0.0
FN1	SMAD4	2.9888626821368653
FYN	JAK3	0.0
COL1A2	FLT4	2.732050807568877
SMAD2	SMAD9	0.0
EGF	PLCG1	0.0
IRS1	HRAS	2.342778860141484
ABL1	FYN	0.0
COL1A2	ITGA2	2.732050807568877
JAK3	PIK3R1	0.0
FN1	PAK1	0.0
BRCA1	MYC	0.0
ATF7IP	PAPPA2	3.9390897969636143
ANK2	TNIK	3.8121293240294545
