SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
1	1	0	100	TP53
2	1	0	100	TP53
3	1	0	100	TP53
4	1	0	100	TP53
5	1	0	100	TP53
6	1	0	100	TP53
7	2	0	100	TP53,EGFR
8	3	0	100	TP53,CDKN2A,EGFR
9	4	0	100	TP53,CDKN2A,EGFR,APC
10	4	1	83	TP53,CDKN2A,EGFR,APC,MACF1
11	4	1	83	TP53,CDKN2A,EGFR,APC,MACF1
12	4	1	83	TP53,CDKN2A,EGFR,APC,MACF1
13	4	1	83	TP53,CDKN2A,EGFR,APC,MACF1
14	4	1	83	TP53,CDKN2A,EGFR,APC,MACF1
15	4	1	83	TP53,CDKN2A,EGFR,APC,MACF1
16	4	1	83	TP53,CDKN2A,EGFR,APC,MACF1
17	4	1	83	TP53,CDKN2A,EGFR,APC,MACF1
18	5	1	85	TP53,CDKN2A,EGFR,APC,PIK3CA,MACF1
19	5	1	85	TP53,CDKN2A,EGFR,APC,PIK3CA,MACF1
20	6	2	77	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,MACF1,NRXN1
21	6	2	77	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,MACF1,NRXN1
22	6	2	77	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,MACF1,NRXN1
23	6	2	77	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,MACF1,NRXN1
24	6	2	77	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,MACF1,NRXN1
25	7	2	80	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,RB1,MACF1,NRXN1
26	8	2	81	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,RB1,AKT1,MACF1,NRXN1
27	9	3	76	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,RB1,AKT1,CTNNB1,MACF1,NRXN1,MYO16
28	9	4	71	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,RB1,AKT1,CTNNB1,MACF1,NRXN1,MYO16,TNIK
29	9	5	66	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,RB1,AKT1,CTNNB1,MACF1,NRXN1,MYO16,VAV2,TNIK
30	9	5	66	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,RB1,AKT1,CTNNB1,MACF1,NRXN1,MYO16,VAV2,TNIK
31	9	6	62	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,RB1,AKT1,CTNNB1,MACF1,NRXN1,MYO16,VAV2,TNIK,SYNE1
32	9	6	62	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,RB1,AKT1,CTNNB1,MACF1,NRXN1,MYO16,VAV2,TNIK,SYNE1
33	9	6	62	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,RB1,AKT1,CTNNB1,MACF1,NRXN1,MYO16,VAV2,TNIK,SYNE1
34	9	6	62	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,RB1,AKT1,CTNNB1,MACF1,NRXN1,MYO16,VAV2,TNIK,SYNE1
35	9	7	58	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,RB1,AKT1,CTNNB1,MACF1,NRXN1,MYO16,VAV2,TNIK,BCL2L1,SYNE1
36	9	7	58	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,RB1,AKT1,CTNNB1,MACF1,NRXN1,MYO16,VAV2,TNIK,BCL2L1,SYNE1
37	10	7	61	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,RB1,AKT1,CTNNB1,CCNE1,MACF1,NRXN1,MYO16,VAV2,TNIK,BCL2L1,SYNE1
38	10	7	61	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,RB1,AKT1,CTNNB1,CCNE1,MACF1,NRXN1,MYO16,VAV2,TNIK,BCL2L1,SYNE1
39	10	8	57	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,RB1,AKT1,CTNNB1,CCNE1,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TNIK,BCL2L1,SYNE1
40	10	8	57	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,RB1,AKT1,CTNNB1,CCNE1,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TNIK,BCL2L1,SYNE1
41	10	9	55	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,RB1,AKT1,CTNNB1,CCNE1,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,VCAN,TNIK,BCL2L1,SYNE1
42	10	9	55	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,RB1,AKT1,CTNNB1,CCNE1,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,VCAN,TNIK,BCL2L1,SYNE1
43	10	9	55	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,RB1,AKT1,CTNNB1,CCNE1,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,VCAN,TNIK,BCL2L1,SYNE1
44	10	9	55	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,RB1,AKT1,CTNNB1,CCNE1,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,VCAN,TNIK,BCL2L1,SYNE1
45	11	9	57	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,RB1,AKT1,CTNNB1,CCNE1,ERBB2,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,VCAN,TNIK,BCL2L1,SYNE1
46	11	11	52	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,RB1,AKT1,CTNNB1,CCNE1,ERBB2,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,VCAN,TNIK,BCL2L1,PDZD2,SYNE1,ATF7IP
47	11	12	50	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,RB1,AKT1,CTNNB1,CCNE1,ERBB2,MACF1,NRXN1,MYO16,RNASEN,SIPA1L1,VAV2,VCAN,TNIK,BCL2L1,PDZD2,SYNE1,ATF7IP
48	11	12	50	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,RB1,AKT1,CTNNB1,CCNE1,ERBB2,MACF1,NRXN1,MYO16,RNASEN,SIPA1L1,VAV2,VCAN,TNIK,BCL2L1,PDZD2,SYNE1,ATF7IP
49	12	12	52	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,RB1,AKT1,CTNNB1,CCNE1,MDM2,ERBB2,MACF1,NRXN1,MYO16,RNASEN,SIPA1L1,VAV2,VCAN,TNIK,BCL2L1,PDZD2,SYNE1,ATF7IP
50	12	12	52	TP53,CDKN2A,EGFR,APC,PTEN,PIK3CA,RB1,AKT1,CTNNB1,CCNE1,MDM2,ERBB2,MACF1,NRXN1,MYO16,RNASEN,SIPA1L1,VAV2,VCAN,TNIK,BCL2L1,PDZD2,SYNE1,ATF7IP
