GeneA	GeneB	MEScore
CDKN2A	MYC	7.803832340329811
RB1	MDM2	4.794697622694892
PIK3CA	PIK3R1	8.83502283197903
PAK1	ERBB2	8.75785171272887
PIK3R1	PTEN	4.605761236111537
PAK1	PIK3R1	6.031128874149275
ATM	MDM2	4.107802137960878
TP53	CHEK2	7.273108592072033
BRCA1	MYC	7.516623588705078
AKT1	MDM4	2.08113883008419
PAK1	MAP3K1	7.369696567301937
AKT1	PTEN	4.273721233651441
PIK3R1	ERBB2	7.018643763880471
PIK3R1	RB1	4.254896296977634
AKT1	BRCA1	3.517630503187898
PIK3CA	PTEN	9.50472362841817
CCND1	RB1	7.779912447502957
RB1	MYC	7.870781812292112
ATM	TP53	8.26387462923434
EGFR	ERBB2	6.867710453612412
TP53	RB1	8.866689125175663
ATM	BRCA1	3.5948040682814084
MAP3K1	MAP2K4	6.312141857799492
CHEK2	NBN	0.0
TP53	EGFR	8.317235622737929
ATM	CHEK2	2.3654191763642474
PAK1	MAP2K4	7.0155946010522525
PAK1	CCND1	7.586870176698864
BRCA1	NBN	0.0
ATM	NBN	0.0
CHEK2	MDM4	1.2071067811865475
PAK1	PIK3CA	10.892217808627684
PIK3CA	AKT1	8.56325885196866
MYC	ERBB2	10.095079772144516
PIK3R1	AKT1	3.58113883008419
CDKN2A	MDM2	5.019937882081738
CHEK2	MDM2	3.1565965239697253
PIK3R1	IGF1R	4.82842712474619
ATM	MDM4	2.1583123951777
MYC	NBN	0.0
PIK3R1	CCND1	7.5
AKT1	MAP2K4	4.414213562373095
CCND1	BRCA1	7.436491673103708
PIK3CA	CCND1	12.192589493050312
AKT1	MYC	7.237993079576571
MDM4	RB1	2.318404623873926
PAK1	AKT1	5.6122677042334645
MDM2	TP53	9.171024353728392
MYC	TP53	12.407822426864355
CHEK2	BRCA1	2.643598454290256
IGF1R	MDM2	5.204158801736815
TP53	PTEN	9.124727785193215
AKT1	MDM2	4.030628572867368
EGFR	PIK3R1	3.9364916731037085
AKT1	IKBKB	5.486263668037517
MDM4	MDM2	2.949489742783178
RB1	BRCA1	4.281699553015423
MDM4	TP53	7.282329983125268
BRCA1	TP53	8.317235622737929
EGFR	PAK1	5.716395170196185
