GeneA	GeneB	MEScore
PPP2R5A	MYC	0.0
ERBB2	GRB2	5.672040216394301
PIK3CA	PTEN	9.50472362841817
PIK3CA	RPS6KB1	11.256376505143091
CCND1	RB1	7.779912447502957
CDH1	ERBB2	7.81605778654705
RB1	MYC	7.870781812292112
TP53	RB1	8.866689125175663
CDH1	PIK3CA	9.03510407217138
GRB2	FOXH1	0.0
RPS6KB1	RPTOR	5.094588974882609
CREBBP	CCND1	6.207106781186548
GRB2	PTK2	1.3660254037844386
TP53	BTG2	0.0
MYC	ERBB2	10.095079772144516
CREBBP	MYC	6.3639610306789285
PIK3CA	CCND1	12.192589493050312
ERBB2	SH2D2A	5.879146997580849
ERBB2	GRB7	6.038065620178739
MYC	TP53	12.407822426864355
TP53	PTEN	9.124727785193215
CDH1	PIP5K1A	3.3722813232690143
RB1	TGFB2	0.0
RPTOR	EIF4EBP1	5.528932161683025
