>PMS2,7.407007227515475
TP53,MYC,any
PMS2,TP53,any
MYC,TAF4B,any
>PMS2,7.534195890550455
TP53,PMS2,any
CTBP1,RB1,any
RB1,TP53,any
>PMS2,7.522442862253899
PMS2,TP53,any
TP53,MCL1,any
TP53,RB1,any
>PMS2,7.848102588320964
TP53,PMS2,any
RB1,CCNE1,any
RB1,TP53,any
>PMS2,7.575719078902068
PMS2,TP53,any
TP53,RNF144B,any
TP53,RB1,any
>SP1,7.154735591177326
SP1,TP53,any
MYC,SP1,any
SMARCA2,MYC,any
>SP1,6.866906541162146
MYC,TP53,any
TBP,MYC,any
TBP,SP1,any
>SP1,7.240068807671685
MYC,TP53,any
TAF4B,MYC,any
MYC,SP1,any
>SP1,7.011083612876279
SP1,TP53,any
NDRG2,MYC,any
MYC,SP1,any
>SP1,6.9289917920873
MYC,TP53,any
MYC,SP1,any
ID2,MYC,any
>CDKN1A,7.147642729002471
CDKN1A,TP53,any
RB1,MYC,any
TP53,RB1,any
>CDKN1A,7.195211431382387
CDKN1A,TP53,any
MYC,BCAT1,any
CDKN1A,MYC,any
>CDKN1A,7.240068807671685
MYC,TP53,any
TP53,CDKN1A,any
TAF4B,MYC,any
>CDKN1A,7.183625613610385
CDKN1A,TP53,any
MYC,TERT,any
CDKN1A,MYC,any
>CDKN1A,7.29972820888781
RB1,CDKN1A,any
RB1,CCNE1,any
RB1,TP53,any
>DKK1,7.147642729002471
DKK1,TP53,any
DKK1,MYC,any
TP53,RB1,any
>DKK1,7.195211431382387
DKK1,TP53,any
DKK1,MYC,any
MYC,BCAT1,any
>DKK1,7.154735591177326
DKK1,TP53,any
DKK1,MYC,any
MYC,SMARCA2,any
>DKK1,7.113167560811765
DKK1,TP53,any
DKK1,MYC,any
TP53,MCL1,any
>DKK1,7.160833458055891
DKK1,TP53,any
TP53,RNF144B,any
DKK1,MYC,any
>SMYD2,7.417808263249527
TP53,MYC,any
MYC,CTBP1,any
SMYD2,TP53,any
>SMYD2,7.830869693486445
RB1,CCNE1,any
SMYD2,TP53,any
TP53,RB1,any
>SMYD2,7.419674075167022
TP53,BCL2L1,any
TP53,SMYD2,any
TP53,RB1,any
>SMYD2,7.496784383492204
TP53,MYC,any
SMYD2,TP53,any
MYC,SMARCA2,any
>SMYD2,7.526905503732477
TP53,MYC,any
RNF144B,TP53,any
TP53,SMYD2,any
>ZNF274,7.104721352687598
TP53,MYC,any
ZNF274,TP53,any
MYC,AKT1,any
>ZNF274,7.429100482183309
TP53,ZNF274,any
MYC,RB1,any
RB1,TP53,any
>ZNF274,7.200540176703729
TP53,MYC,any
ZNF274,TP53,any
ADAM17,ZNF274,any
>ZNF274,7.30623766672351
TP53,BCL2L1,any
TP53,MYC,any
ZNF274,TP53,any
>ZNF274,7.249190820472143
TP53,BCL2L1,any
ZNF274,TP53,any
TP53,RB1,any
>PLK3,7.2888632537592635
ARSA,TRIP13,any
TRIP13,PLK3,any
PLK3,TP53,any
>PLK3,7.29972820888781
CCNE1,PLK3,any
CCNE1,RB1,any
PLK3,TP53,any
>PLK3,7.163825470292665
TRIP13,PLK3,any
PLK3,CCNE1,any
PLK3,TP53,any
>PLK3,7.348942033718183
TP53,MYC,any
CCNE1,PLK3,any
PLK3,TP53,any
>PLK3,7.287632728002457
RNF144B,TP53,any
PLK3,CCNE1,any
TP53,PLK3,any
>ATF2,7.158343311273429
ATF2,RB1,any
RB1,TP53,any
MAPK12,ATF2,any
>ATF2,7.396409209725942
TP53,MYC,any
ATF2,RB1,any
RB1,TP53,any
>ATF2,7.219837231768276
RNF144B,TP53,any
RB1,ATF2,any
TP53,RB1,any
>ATF2,7.546259998220778
ATF2,RB1,any
RB1,CCNE1,any
RB1,TP53,any
>ATF2,7.30124210404712
RB1,MYC,any
RB1,ATF2,any
CCNE1,RB1,any
>UBE3A,7.177013755106017
SCAMP1,TP53,any
UBE3A,TERT,any
SCAMP1,UBE3A,any
>UBE3A,7.197141035743101
TP53,MYC,any
SCAMP1,TP53,any
SCAMP1,UBE3A,any
>UBE3A,7.0671307520734965
MYC,TP53,any
