GeneA	GeneB	MEScore
GSK3B	TP53	0.0
AKT1	ZHX1	3.490988962601558
GSK3B	ZHX1	0.0
CCNE1	RB1	9.240719994904236
AKT1	TRAF6	3.490988962601558
AKT1	TERT	6.842012970314154
CTBP1	CTNNB1	3.9858260433375476
TFDP1	TBP	3.3660254037844384
UBE3A	SCAMP1	4.357388321059432
ATF2	RB1	4.8302124068042085
APC	CDC42	0.0
GSK3B	MAPK14	0.0
HIF1A	TP53	10.266012492312305
HIF1A	SMAD4	0.0
TP53	SCN3B	11.122457481846896
CDC42	TP53	0.0
TP53	RCHY1	0.0
TFDP1	MYC	8.461137990821959
AKT1	MCL1	6.56201920231798
ATF3	ATF2	3.3996891847537993
CDC42	CTNNB1	0.0
TP53	MLH1	9.797958971132712
APC	GSK3B	0.0
SMARCA2	MYC	10.275457847618803
HIF1A	TERT	5.631901510066842
TRAF6	TP53	9.797958971132712
MYC	TERT	9.895335971016529
RB1	SMARCA2	7.332219391407652
RB1	TFDP1	4.989131029402099
MAX	TAF9	3.6680835354440102
SMAD4	CDKN1A	0.0
APC	CTBP1	4.85985809223519
MYC	TAF9	9.245993688462136
NFYC	TP53	0.0
PPP1CA	TP53	0.0
JUN	TP53	0.0
RB1	MET	4.973944585073184
CDKN1A	RB1	0.0
MAPK14	ATF2	1.4142135623730951
TP53	CCNB1	10.819837944716022
CTBP1	TFDP1	4.1447446659354386
MYC	TK1	0.0
TP53	UBE2I	0.0
TP53	RB1	11.975769184412002
GSK3B	MYC	0.0
CTBP1	MYC	9.541551564499178
PRMT1	TAF9	0.0
APC	CTNNB1	2.2882456112707374
MYC	TAF4B	10.254772626910093
GSK3B	UBE2D1	0.0
SKP2	MAX	0.0
TP53	LIF	11.122457481846896
MAPK14	TP53	9.797958971132712
MAX	CCNB1	3.6680835354440102
MAX	BCAT1	5.569281670637281
TRIM28	TP53	10.819837944716022
SMYD2	TP53	11.096671927891638
PLK3	TRIP13	0.0
HIF1A	MCL1	5.347850497009249
CTNNB1	TERT	5.041475531146237
PIK3R1	AKT1	4.895144594570391
MAX	TP53	10.48591038899052
BRCA1	TBP	4.536426546961747
PRMT1	TP53	0.0
TP53	COL18A1	11.543155507121073
TP53	UBE2D1	0.0
TP53	XRCC6	10.297958971132712
CDKN1A	TFDP1	0.0
RB1	SKP2	0.0
TRAF6	UBE2D1	0.0
GSK3B	PIN1	0.0
CTNNB1	EGFR	1.9318516525781364
GSK3B	MAX	0.0
TP53	TP53I3	10.858413858138974
MET	CDC42	0.0
MAX	TAF4B	4.485153315700675
TAF9	TERT	6.693316993087285
TP53	PMS2	11.233961166965893
TP53	SFN	11.095285798378328
JUN	TERT	0.0
CDKN1A	UBE2D1	0.0
CCNE1	BRCA1	7.5677643628300215
HIF1A	JUN	0.0
JUN	MYC	0.0
UBE2I	RNF144B	0.0
TRAF2	TRAF6	3.215695122800054
UBE2I	TRIP13	0.0
TP53	BAX	10.47951692403258
TP53	APC	9.746794344808963
PIK3R1	PTEN	5.23606797749979
CTNNB1	MYC	8.46919412931656
MAX	MYC	8.428829386926799
MAX	SMAD4	0.0
PIK3R1	BCL2L1	5.477175961338567
FOXM1	CCNB1	6.256826079345359
PIN1	MAX	0.0
CSE1L	TP53	0.0
BAX	XRCC6	2.2802389661575337
CTNNB1	JUN	0.0
ATF2	BRCA1	2.82842712474619
TRAF2	TRAF6	3.215695122800054
AKT1	HIF1A	3.535294966792266
CTBP1	RB1	6.958039891549808
TP53	ZHX1	9.797958971132712
TERT	XRCC6	5.421242193356588
BRCA1	TP53	10.201803955966128
MYC	NFYC	0.0
PLK3	CCNE1	0.0
TP53	EGFR	10.49229967657701
TAF9	CDKN1A	0.0
PLK3	TP53	0.0
MYC	TP53	12.873328924432567
TP53	RNF144B	12.158900106284815
MYC	SMAD4	0.0
MYC	BAX	8.58774800952469
CSE1L	TP53I3	0.0
AKT1	MYC	9.640353394968063
MYC	CCNB1	9.245993688462136
