GeneSymbol	PosteriorP	Selected	ConvergenceIter	KnownCancerGene		BestSSN
TP53	0.5	true	-1	true	Set()	0.0
MYC	0.5	true	-1	true	Set()	0.0
RB1	0.5	true	-1	true	Set()	0.0
MAX	0.5	true	-1	true	Set()	0.0
AKT1	0.5	true	-1	true	Set()	0.0
CCNE1	0.5	true	-1	true	Set()	0.0
RNF144B	0.5	true	-1	false	Set()	0.0
BCL2L1	0.5	true	-1	false	Set()	0.0
MCL1	0.5	true	-1	false	Set()	0.0
TERT	0.5	true	-1	true	Set()	0.0
CCNB1	0.5	true	-1	false	Set()	0.0
UBE2I	0.5	true	-1	false	Set()	0.0
CTBP1	0.5	true	-1	false	Set()	0.0
TAF9	0.5	true	-1	false	Set()	0.0
TK1	0.5	true	-1	false	Set()	0.0
SMARCA2	0.5	true	-1	false	Set()	0.0
TFDP1	0.5	true	-1	true	Set()	0.0
BRCA1	0.5	true	-1	true	Set()	0.0
HIF1A	0.5	true	-1	true	Set()	0.0
STK11	0.5	true	-1	true	Set()	0.0
NFYC	0.5	true	-1	false	Set()	0.0
TRIP13	0.5	true	-1	false	Set()	0.0
PPP1CA	0.5	true	-1	false	Set()	0.0
SFN	0.5	true	-1	false	Set()	0.0
BCAT1	0.5	true	-1	false	Set()	0.0
PTEN	0.5	true	-1	true	Set()	0.0
APC	0.5	true	-1	true	Set()	0.0
SCAMP1	0.5	true	-1	false	Set()	0.0
XRCC6	0.5	true	-1	false	Set()	0.0
PIK3R1	0.5	true	-1	true	Set()	0.0
GSK3B	0.5	true	-1	false	Set()	0.0
SKP2	0.5	true	-1	true	Set()	0.0
PMS2	0.5	true	-1	true	Set()	0.0
JUN	0.5	true	-1	true	Set()	0.0
TRIM28	0.5	true	-1	false	Set()	0.0
ZNF512B	0.5	true	-1	false	Set()	0.0
LIF	0.5	true	-1	false	Set()	0.0
PLK3	0.5	true	-1	false	Set()	0.0
CSE1L	0.5	true	-1	false	Set()	0.0
SMYD2	0.5	true	-1	false	Set()	0.0
SCN3B	0.5	true	-1	false	Set()	0.0
TBP	0.5	true	-1	false	Set()	0.0
ATF3	0.5	true	-1	false	Set()	0.0
MLH1	0.5	true	-1	true	Set()	0.0
COL18A1	0.5	true	-1	false	Set()	0.0
CDKN1A	0.5	true	-1	true	Set()	0.0
EGFR	0.5	true	-1	true	Set()	0.0
CREB3	0.5	true	-1	false	Set()	0.0
ATF2	0.5	true	-1	false	Set()	0.0
TRAF2	0.5	true	-1	false	Set()	0.0
CDC42	0.5	true	-1	true	Set()	0.0
TP53I3	0.5	true	-1	false	Set()	0.0
PRMT1	0.5	true	-1	false	Set()	0.0
UBE3A	0.5	true	-1	false	Set()	0.0
CHD3	0.5	true	-1	true	Set()	0.0
CTNNB1	0.5	true	-1	true	Set()	0.0
BAX	0.5	true	-1	true	Set()	0.0
TAF4B	0.5	true	-1	false	Set()	0.0
MAPK14	0.5	true	-1	false	Set()	0.0
FOXM1	0.5	true	-1	false	Set()	0.0
TRAF6	0.5	true	-1	false	Set()	0.0
PIN1	0.5	true	-1	false	Set()	0.0
ZHX1	0.5	true	-1	false	Set()	0.0
SMAD4	0.5	true	-1	true	Set()	0.0
RCHY1	0.5	true	-1	false	Set()	0.0
MET	0.5	true	-1	true	Set()	0.0
UBE2D1	0.5	true	-1	true	Set()	0.0
