GeneA	GeneB	MEScore
GSK3B	TP53	0.0
NGFR	TK1	0.0
AKT1	ZHX1	3.490988962601558
GSK3B	ZHX1	0.0
CCNE1	RB1	9.240719994904236
MAX	DKK1	0.0
AKT1	TRAF6	3.490988962601558
AKT1	TERT	6.842012970314154
CTBP1	CTNNB1	3.9858260433375476
HIF1A	SERPINE1	2.121320343559643
ATM	TP53	10.644829011588412
TFDP1	TBP	3.3660254037844384
UBE3A	SCAMP1	4.357388321059432
ESR1	COL18A1	0.0
CDC42	RAC1	0.0
STK11	SIK1	3.352858092251138
ATF2	RB1	4.8302124068042085
APC	CDC42	0.0
GSK3B	MAPK14	0.0
HIF1A	TP53	10.266012492312305
HIF1A	SMAD4	0.0
TP53	SCN3B	11.122457481846896
CDC42	TP53	0.0
ATF2	DUSP5	2.2071067811865475
TP53	RCHY1	0.0
USP7	TP53	10.266012492312305
TFDP1	MYC	8.461137990821959
AKT1	MCL1	6.56201920231798
ATF3	ATF2	3.3996891847537993
CDC42	CTNNB1	0.0
TP53	MLH1	9.797958971132712
UBE2I	PIAS2	0.0
EGFR	PPP2CA	1.9318516525781364
CTNNB1	TRRAP	1.8251407699364424
APC	GSK3B	0.0
SMARCA2	MYC	10.275457847618803
HIF1A	TERT	5.631901510066842
TRAF6	TP53	9.797958971132712
MYC	TERT	9.895335971016529
RB1	SMARCA2	7.332219391407652
RB1	TFDP1	4.989131029402099
MAX	TAF9	3.6680835354440102
CCNA2	MAPK14	0.0
SMAD4	CDKN1A	0.0
GADD45A	TP53	0.0
SIK1	TP53	10.30433577556379
FOXA1	JUN	0.0
APC	CTBP1	4.85985809223519
ATF2	GADD45A	0.0
MYC	TAF9	9.245993688462136
KAT5	TRRAP	0.0
ABL1	SP1	0.0
NFYC	TP53	0.0
ESR1	AKT1	0.0
PPP1CA	TP53	0.0
JUN	TP53	0.0
RB1	MET	4.973944585073184
KAT5	TP53	0.0
CDKN1A	RB1	0.0
JUN	SP1	0.0
BRCA1	GADD45A	0.0
TP53	TRRAP	9.778803607803972
MAPK14	ATF2	1.4142135623730951
APC	CREBBP	4.393959225697556
TP53	CCNB1	10.819837944716022
CTBP1	TFDP1	4.1447446659354386
MYC	TK1	0.0
TP53	UBE2I	0.0
TP53	RB1	11.975769184412002
GSK3B	MYC	0.0
KAT5	MAX	0.0
TRIM28	E2F1	0.0
CTBP1	MYC	9.541551564499178
CDC42	KAT5	0.0
PRMT1	TAF9	0.0
APC	CTNNB1	2.2882456112707374
MYC	TAF4B	10.254772626910093
E2F1	MCL1	0.0
AKT1	TSC2	3.6499075851994496
GSK3B	UBE2D1	0.0
SKP2	MAX	0.0
MAX	GADD45A	0.0
TP53	LIF	11.122457481846896
MAPK14	TP53	9.797958971132712
MAX	CCNB1	3.6680835354440102
MAX	ERBB2	2.4409096442821903
MAX	BCAT1	5.569281670637281
TRIM28	TP53	10.819837944716022
SMYD2	TP53	11.096671927891638
PLK3	TRIP13	0.0
PPP2CA	MYC	8.46919412931656
HIF1A	MCL1	5.347850497009249
CTNNB1	TERT	5.041475531146237
PIK3R1	AKT1	4.895144594570391
E2F1	RB1	0.0
MYC	TRRAP	8.229812416870153
MAX	TP53	10.48591038899052
BRCA1	TBP	4.536426546961747
EGFR	ERBB2	2.342778860141484
CCNA2	TFDP1	0.0
PRMT1	TP53	0.0
TP53	SERPINE1	10.30433577556379
HIF1A	NDRG1	2.2802389661575337
TP53	COL18A1	11.543155507121073
TP53	UBE2D1	0.0
ATM	E2F1	0.0
TP53	XRCC6	10.297958971132712
CDKN1A	TFDP1	0.0
SP1	TBP	0.0
APC	RAC1	3.7605883018545265
SP1	TP53	0.0
RB1	SKP2	0.0
TP53	DKK1	0.0
ZNF274	TP53	10.800492354268437
MAX	SP1	0.0
ESR1	PIK3R1	0.0
TRAF6	UBE2D1	0.0
GSK3B	PIN1	0.0
CTNNB1	EGFR	1.9318516525781364
TP53	NDRG1	9.79157801378307
PIN1	TSC2	0.0
NGFR	SMN1	0.0
GSK3B	MAX	0.0
TP53	TP53I3	10.858413858138974
MET	CDC42	0.0
MAX	TAF4B	4.485153315700675
SMN1	TP53	0.0
CCNA2	TP53	0.0
CCNA2	CCNE1	0.0
TAF9	TERT	6.693316993087285
TP53	PMS2	11.233961166965893
TP53	SFN	11.095285798378328
JMY	TP53	10.94585591900338
MYC	SP1	0.0
JUN	TERT	0.0
TK1	TSC2	0.0
CDKN1A	UBE2D1	0.0
MYC	RCC1	0.0
CCNE1	BRCA1	7.5677643628300215
ESR1	FOXA1	0.0
E2F1	MYB	0.0
CREBBP	CTBP1	6.06879747395012
SMAD4	SP1	0.0
PRMT1	RIF1	0.0
ABL1	PIK3R1	4.318404623873926
E2F1	CCNA2	0.0
FOXA1	COL18A1	0.0
ATF3	RIF1	4.106795965940347
GSK3B	PPP2CA	0.0
ESR1	MYC	0.0
SP1	BAX	0.0
HIF1A	JUN	0.0
JUN	MYC	0.0
UBE2I	RNF144B	0.0
SP1	TAF9	0.0
TRAF2	TRAF6	3.215695122800054
E2F1	NGFR	0.0
PIN1	PPP2CA	0.0
UBE2I	TRIP13	0.0
TP53	BAX	10.47951692403258
TP53	APC	9.746794344808963
PPP1CA	RIF1	0.0
PIK3R1	PTEN	5.23606797749979
E2F1	CDKN1A	0.0
CTNNB1	MYC	8.46919412931656
MAX	MYC	8.428829386926799
MAX	SMAD4	0.0
PIK3R1	BCL2L1	5.477175961338567
FOXA1	TP53	0.0
FOXM1	CCNB1	6.256826079345359
CHD3	RIF1	2.121320343559643
RAC1	CTNNB1	2.8865562529568844
PIN1	MAX	0.0
CSE1L	TP53	0.0
BAX	XRCC6	2.2802389661575337
ESR1	SMAD4	0.0
TP53	PIAS2	10.297958971132712
CTNNB1	JUN	0.0
MYB	CCNB1	0.0
TP53	TSC2	10.297958971132712
ATF2	BRCA1	2.82842712474619
TRAF2	TRAF6	3.215695122800054
TRRAP	TERT	5.393717972853147
NFYC	SP1	0.0
COPS5	HIF1A	0.0
AKT1	HIF1A	3.535294966792266
CTBP1	RB1	6.958039891549808
TP53	ZHX1	9.797958971132712
GADD45A	ZHX1	0.0
NGFR	ZNF274	3.2071067811865475
MAX	NDRG1	2.188901059316734
CREBBP	MYB	0.0
RCC1	TP53	0.0
TERT	XRCC6	5.421242193356588
BRCA1	TP53	10.201803955966128
MAX	TSC2	2.188901059316734
CREBBP	CTNNB1	3.622582728609198
MYC	NFYC	0.0
PPP2CA	CTNNB1	1.4142135623730951
PLK3	CCNE1	0.0
ABL1	TERT	6.384696214703918
MYB	MYC	0.0
TRAF6	ZNF274	3.2071067811865475
SP1	TERT	0.0
TAF9	NDRG1	3.2112332836961537
FOXA1	SP1	0.0
TP53	EGFR	10.49229967657701
ATF2	CCNA2	0.0
TAF9	CDKN1A	0.0
CREBBP	JUN	0.0
PLK3	TP53	0.0
CHD3	GADD45A	0.0
MYC	TP53	12.873328924432567
TP53	RNF144B	12.158900106284815
MYC	SMAD4	0.0
TK1	RIF1	0.0
MYB	TRIM28	0.0
MYC	BAX	8.58774800952469
ATM	BRCA1	3.5355339059327378
CSE1L	TP53I3	0.0
MYC	NDRG1	7.73789377027108
AKT1	MYC	9.640353394968063
MYC	CCNB1	9.245993688462136
PIN1	TRAF2	0.0
TP53	DUSP5	10.638435546630472
TAF9	TP53	10.819837944716022
ATF2	KAT5	0.0
PRMT1	GADD45A	0.0
BRCA1	FOXA1	0.0
TFDP1	TP53	9.79157801378307
TAF9	TRRAP	3.4632418686616098
SP1	TFDP1	0.0
CTNNB1	GSK3B	0.0
TRIM28	MYC	9.492053887346843
ATF3	JUN	0.0
SMAD4	SERPINE1	0.0
UBE3A	TERT	6.450359194420656
NGFR	RAC1	2.8865562529568844
BRCA1	MAX	3.4441959990919377
UBE2I	PIAS2	0.0
CCNA2	ABL1	0.0
UBE2I	COPS5	0.0
MYC	BCAT1	10.952785771846727
MAX	MTA1	3.8939592256975564
MAX	TK1	0.0
TP53	PTEN	11.301963156170654
ATF2	JUN	0.0
MAPK14	JUN	0.0
SP1	APC	0.0
PIN1	UBE2D1	0.0
ATF2	SMAD4	0.0
ESR1	STK11	0.0
PIK3R1	RAC1	4.524657351682052
MAX	NFYC	0.0
CTNNB1	DKK1	0.0
ERBB2	PIK3R1	3.4632418686616098
XRCC6	ZNF512B	5.50283465153229
CCNE1	TFDP1	6.0677643628300215
GSK3B	TSC2	0.0
JMY	BAX	3.404194343161926
MYC	TSC2	8.245966692414834
SKP2	TP53	0.0
PPP2CA	TRIP13	5.2623235707586975
ABL1	EGFR	3.2862976842004192
PPP2CA	MAX	2.029982436718843
ATF3	TP53	11.182458365518542
STK11	MYC	9.933470136670117
NGFR	TRAF6	1.4142135623730951
SMAD4	STK11	0.0
TK1	TP53	0.0
CDC42	RIF1	0.0
CDKN1A	NGFR	0.0
SMAD4	UBE2I	0.0
PPP2CA	RB1	4.8302124068042085
MYC	MTA1	9.811618233007211
CHD3	GSK3B	0.0
FOXM1	SKP2	0.0
MAX	CDKN1A	0.0
RCC1	NGFR	0.0
ABL1	RB1	6.18465843842649
CTNNB1	MET	1.4354143466934852
PIN1	TRAF2	0.0
EGFR	PIK3R1	3.569952751303304
CREBBP	MYC	9.947984263034698
COPS5	TP53	0.0
JUN	SMAD4	0.0
TP53	SCAMP1	10.94585591900338
JMY	SP1	0.0
SP1	CCNB1	0.0
SMAD4	TFDP1	0.0
CHD3	ZHX1	1.1123724356957945
TP53	MET	9.785192895390463
JUN	RB1	0.0
RB1	MYC	10.449701923435656
CHD3	CTBP1	3.9858260433375476
RB1	TBP	6.5574089240719236
BCL2L1	ZHX1	3.8354160160315836
MAX	COPS5	0.0
SP1	TK1	0.0
ESR1	SP1	0.0
SP1	CDKN1A	0.0
RAC1	MYC	8.987730513910241
E2F1	TK1	0.0
MAX	RCC1	0.0
CCNA2	RB1	0.0
TFDP1	SERPINE1	1.5731321849709863
ESR1	JUN	0.0
NGFR	TP53	10.30433577556379
MCL1	TP53	11.969206125113065
MAPK14	COPS5	0.0
PIN1	TP53	0.0
BRCA1	PIK3R1	4.379957436682757
AKT1	GSK3B	0.0
TP53	CASP1	10.511442556750337
NGFR	PIK3R1	3.0523146610982623
BCL2L1	TP53	11.482020086757514
GADD45A	UBE2D1	0.0
TP53	NLRC4	10.297958971132712
PIN1	MYC	0.0
BRCA1	MYC	9.095359310241703
BCL2L1	CREB3	0.0
MYC	GADD45A	0.0
MAX	TBP	3.6996186055445053
EGFR	RAC1	3.404194343161926
E2F1	TERT	0.0
MAX	TERT	5.366025403784438
MAX	SERPINE1	2.029982436718843
AKT1	UBE2D1	0.0
ATF3	SMAD4	0.0
SKP2	MYC	0.0
MYC	TBP	9.388747223125655
HIF1A	SP1	0.0
MYC	DKK1	0.0
EGFR	TERT	5.659509519896132
MYC	CDKN1A	0.0
TAF9	GADD45A	0.0
CTBP1	SMAD4	0.0
MYC	ERBB2	8.75403120963541
MAX	BAX	2.7370892179053907
ABL1	ERBB2	3.03100960115899
KAT5	MYC	0.0
SP1	E2F1	0.0
CHD3	TP53	9.797958971132712
CHD3	TRIM28	3.0523146610982623
AKT1	CDKN1A	0.0
UBE2I	MYB	0.0
MAX	TRRAP	2.4409096442821903
CDKN1A	TP53	0.0
