GeneA	GeneB	MEScore
AKT1	MCL1	6.73280988946677
BRCA1	MYC	9.095359310241703
CTNNB1	IGF1R	0.0
MYC	TERT	9.82961964607691
RB1	MYC	10.573869033370336
TP53	RB1	12.013148795220223
CCNE1	BRCA1	7.5677643628300215
BRCA1	NF1	5.82557896962972
CCNE1	E2F5	0.0
MAX	TP53	0.0
TRIM28	MYC	9.483921385600603
BCL2L1	TP53	11.33022771779511
TP53	APC	9.746794344808963
MCL1	TP53	12.0
APC	CTNNB1	0.0
AKT1	TERT	6.9216256977827575
CTNNB1	MYC	0.0
APC	MACF1	3.267766952966369
CCNE1	MTOR	6.663302241954604
AKT1	MYC	9.701906207776894
NOTCH1	APC	4.08113883008419
TRIM28	TP53	10.813393703582554
MYC	TP53	12.836334282608767
MAX	MYC	0.0
NOTCH1	CTNNB1	0.0
TP53	PTEN	11.224789591077144
CCNE1	RB1	9.29492893125216
BRCA1	MAX	0.0
CTNNB1	TERT	0.0
MAX	TERT	0.0
AKT1	MTOR	4.2204566024535515
BRCA1	TP53	10.201803955966128
MTOR	TERT	5.8780924451044445
