Gene	TP53	MYC	RB1	CCNE1	MCL1	BRCA1	AKT1	CTNNB1	TERT	BCL2L1	TRIM28	APC	MAX	MTOR	VAV2	MACF1	PTEN	NF1	GRB2	IGF1R	CBX8	E2F5	NOTCH1
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0
GeneName	TP53	MYC	RB1	CCNE1	MCL1	BRCA1	AKT1	CTNNB1	TERT	BCL2L1	TRIM28	APC	MAX	MTOR	VAV2	MACF1	PTEN	NF1	GRB2	IGF1R	CBX8	E2F5	NOTCH1
MutualExclScore	186.97936507936532	89.51984126984121	26.689682539682526	48.70634920634927	24.723015873015857	5.5166666666666675	10.27857142857143	0.5333333333333333	25.929365079365056	14.481746031746031	7.742857142857143	2.0706349206349204	0.0	2.4095238095238094	1.25	4.037301587301587	10.085714285714289	21.192857142857136	0.7	13.691269841269841	13.30793650793651	0.9166666666666665	7.237301587301588
MutQty	385	241	71	125	73	18	32	2	84	45	23	10	0	9	4	13	36	62	2	48	47	3	25
TCGA-61-1740-01	1	1	1	1	1		1										1	1		1	1		
TCGA-25-2404-01	1	1	1	1																			
TCGA-25-1635-01	1	1	1	1																			
TCGA-13-0905-01	1	1	1		1		1		1								1						
TCGA-09-1665-01	1	1	1		1				1	1										1	1		1
TCGA-61-2008-01	1	1	1		1				1														
TCGA-24-2262-01	1	1	1		1						1						1						
TCGA-04-1651-01	1	1	1		1																		
TCGA-13-1482-01	1	1	1		1																		
TCGA-29-2427-01	1	1	1			1																	
TCGA-04-1365-01	1	1	1						1							1	1				1		
TCGA-24-1603-01	1	1	1						1									1					
TCGA-24-1463-01	1	1	1						1									1					
TCGA-13-0924-01	1	1	1														1	1					
TCGA-24-1470-01	1	1	1															1					
TCGA-09-1669-01	1	1	1															1					
TCGA-36-2538-01	1	1	1																	1			
TCGA-24-0980-01	1	1	1																				
TCGA-13-2071-01	1	1	1																				
TCGA-24-1474-01	1	1	1																				
TCGA-13-1505-01	1	1	1																				
TCGA-61-2016-01	1	1	1																				
TCGA-13-0791-01	1	1		1	1		1		1	1													
TCGA-61-1919-01	1	1		1	1				1			1											
TCGA-61-1738-01	1	1		1	1				1												1		1
TCGA-09-1673-01	1	1		1	1				1														
TCGA-13-1496-01	1	1		1	1				1														
TCGA-30-1714-01	1	1		1	1													1					
TCGA-13-0724-01	1	1		1	1																		
TCGA-25-1320-01	1	1		1	1																		
TCGA-13-0916-01	1	1		1			1													1			
TCGA-29-1781-01	1	1		1					1	1		1				1				1	1		
TCGA-23-1122-01	1	1		1					1					1									
TCGA-09-2050-01	1	1		1					1														1
TCGA-24-1418-01	1	1		1					1														
TCGA-23-1110-01	1	1		1						1										1	1		
TCGA-23-1030-01	1	1		1							1										1		
TCGA-57-1583-01	1	1		1							1												
TCGA-30-1855-01	1	1		1												1							
TCGA-04-1652-01	1	1		1																	1		
TCGA-23-1116-01	1	1		1																			
TCGA-29-1701-01	1	1		1																			
TCGA-61-1904-01	1	1		1																			
TCGA-61-2104-01	1	1		1																			
TCGA-20-1683-01	1	1		1																			
TCGA-29-1710-01	1	1		1																			
TCGA-61-2113-01	1	1		1																			
TCGA-29-1761-01	1	1		1																			
TCGA-20-0987-01	1	1		1																			
TCGA-29-1775-01	1	1			1		1										1						
TCGA-25-1318-01	1	1			1				1														
TCGA-13-0904-01	1	1			1				1														
TCGA-24-1435-01	1	1			1				1														
TCGA-24-1466-01	1	1			1					1													
TCGA-10-0934-01	1	1			1						1									1			
TCGA-04-1338-01	1	1			1							1		1									
TCGA-24-2289-01	1	1			1															1			
TCGA-13-1512-01	1	1			1																1		
TCGA-13-1498-01	1	1			1																1		
TCGA-29-1711-01	1	1			1																		
TCGA-42-2589-01	1	1			1																		
TCGA-25-2409-01	1	1			1																		
TCGA-24-0979-01	1	1			1																		
TCGA-25-1632-01	1	1				1			1											1			1
TCGA-61-1914-01	1	1				1			1														
TCGA-04-1357-01	1	1				1						1											
TCGA-36-2534-01	1	1				1												1		1			
TCGA-24-1847-01	1	1				1												1					
TCGA-13-0761-01	1	1				1														1			1
TCGA-25-1625-01	1	1				1														1			
