GeneA	GeneB	MEScore
CTR9	CNTNAP2	2.5616078995657556
ESR2	SPTBN2	0.0
ERBB3	AKT1	3.946461113496085
GRB14	INSR	2.118033988749895
HSP90AA1	TERT	0.0
CDC42	GRB2	0.0
ITGB2	LPA	0.0
AKT1	GLI2	4.32842712474619
CRK	SOS1	0.0
APC	SNRNP200	2.699172818834085
MAX	ITGB1	0.0
ABL1	GRB2	0.0
KDR	SRC	0.0
FYN	SP1	0.0
LRP1	SKIL	0.0
AKT1	MCL1	6.73280988946677
CDKN1A	UNC119	0.0
NCK1	SOS1	0.0
RB1	BRD2	5.331108875338074
LRP1	PDGFRB	0.0
HSP90AA1	SRC	0.0
ERBB2	PRKACA	0.0
PIK3CA	PIK3R1	0.0
RHOA	SDC2	0.0
MTOR	GSK3B	0.0
PIK3CA	SRC	0.0
CDH2	CTNNB1	0.0
ITGAM	LRP1	0.0
FYN	SOS1	0.0
CCNE1	RPTOR	0.0
MST1R	ITGAM	0.0
SDC2	SRC	0.0
PAK1	RHOA	0.0
SOX5	KAT5	0.0
CDKN1A	DOCK7	0.0
MLST8	MTOR	0.0
KDR	NCK1	0.0
SMAD3	SKIL	0.0
GFI1B	HECW1	0.0
GRB2	SMAD3	0.0
NCK1	BRD4	0.0
NRXN1	PDZD2	2.118033988749895
CDC42	RIF1	0.0
PIK3R1	PTEN	0.0
DCTN1	DISC1	0.0
STK36	GLI2	0.0
CTNNB1	RHOA	0.0
CDKN1A	VIM	0.0
GAB2	SOS1	2.118033988749895
AKT1	MLST8	0.0
MYC	HSP90AA1	0.0
APC	ANKRD17	2.8058837014757785
ATN1	VIM	0.0
SDC2	PIK3R1	0.0
DST	NFYC	0.0
FANCA	GRB2	0.0
NF1	PRKACA	0.0
PAK1	PIK3R1	0.0
KAT5	CBX8	0.0
GRB14	AKT1	3.8284271247461903
APC	NEB	3.08113883008419
CTNNB1	VCAN	0.0
SOS1	PAK1	0.0
ERBB3	SRC	0.0
DNMT3A	SP100	2.414213562373095
GRB2	SP1	0.0
MET	SRC	0.0
CDK2	E2F5	0.0
RBP2	BRD2	0.0
FYN	JAK3	0.0
SMAD2	SMAD9	0.0
ATM	BARD1	0.0
ABL1	FYN	0.0
COL1A2	ITGA2	0.0
JAK3	PIK3R1	0.0
FN1	PAK1	0.0
MAX	MGA	0.0
BRCA1	MYC	9.095359310241703
ANK2	TNIK	2.618033988749895
CDK2	CDKN1A	0.0
ITGB1	LAMA3	0.0
ABL1	PLCG1	0.0
PLCG1	CDC42	0.0
PEG3	USP7	2.8284271247461903
DISC1	EXOC1	0.0
CNTN1	NOTCH1	3.5929077229028112
GRB2	SNRNP200	0.0
GRB2	SOS1	0.0
ATXN1	WNK1	0.0
FYN	PIK3CA	0.0
EGFR	PLCG1	0.0
CDK12	PRPF40A	0.0
CRK	FANCA	0.0
ERBB2	HSP90AA1	0.0
MET	PTPRG	2.0
DYNC1H1	NDEL1	0.0
CTNNB1	CDKN1B	0.0
CTNNB1	TRRAP	0.0
KAT5	MAX	0.0
APC	DST	3.58113883008419
SP1	TP53	0.0
FANCA	SRC	0.0
BRCA1	FANCA	3.2393543323095373
BRCA1	NCK1	0.0
APC	EXPH5	2.58113883008419
MYC	PDGFRB	0.0
ITGB2	LRP1	0.0
EGFR	RAC1	0.0
CTNNB1	IGF1R	0.0
IGSF1	RANBP10	0.0
MET	RANBP10	0.0
MET	PLCG1	0.0
ERBB3	SYNGAP1	2.53224755112299
GAB2	AKT1	3.806243040080456
ESR2	ZNF512B	0.0
ERBB2	PIK3R1	0.0
AR	PIK3CA	0.0
MYC	TERT	9.82961964607691
BARD1	TOPBP1	0.0
ERBB2	GRB2	0.0
PIK3CA	PTEN	0.0
ITGA2	ITGB1	0.0
PLK3	CCNE1	0.0
ABL1	SRC	0.0
SMAD2	TGFBR1	0.0
PDGFRB	PTPRG	0.0
MYC	CAD	8.872065198385307
FYN	GRIN2B	0.0
CTNNB1	SRC	0.0
CRK	BRD4	0.0
CCNE1	BARD1	0.0
PIK3CA	RHOA	0.0
MLST8	RB1CC1	0.0
RB1	MYC	10.573869033370336
CDKN1B	RHOA	0.0
ERBB2	ERBB3	2.23606797749979
APC	NAV1	2.58113883008419
JAK3	SOS1	2.0
PPP2R2A	TGFBR1	0.0
PIK3CB	PIK3R1	0.0
TGFBR1	SMAD3	0.0
AKT1	MST1R	3.672268443864895
FGFR3	GTF3C1	4.5
ATM	TP53	10.644829011588412
EGFR	ERBB2	2.342778860141484
CDKN1A	RB1	0.0
ERBB2	VAV2	2.118033988749895
SDC2	PRKACA	0.0
ITGA2	SDC2	0.0
BRCA1	CDKN1B	0.0
CNTNAP2	ZMIZ1	0.0
MTOR	RPTOR	0.0
CDC42	CTNNB1	0.0
USP7	TP53	10.266012492312305
USP7	HECW1	2.8284271247461903
SMAD2	SKIL	0.0
IGF1R	SOS1	4.464101615137754
PIK3R1	BRD4	0.0
PPL	SKIL	0.0
FN1	ITGB1	0.0
TP53	RB1	12.013148795220223
ITGA6	PIK3CA	0.0
ATM	BRCA1	3.5355339059327378
LAMB1	GFI1B	0.0
ITGA6	PIK3R1	0.0
MYC	ITGA6	0.0
SP1	COL1A2	0.0
APC	TAF1	2.8058837014757785
APC	RAC1	0.0
ABL1	RB1	0.0
NF1	SDC2	0.0
CDK2	ABL1	0.0
INSR	PTPRG	2.118033988749895
HSP90AA1	MTOR	0.0
PIK3R1	MTOR	0.0
MST1R	ITGB2	0.0
PDE6C	CNGA3	2.224744871391589
DYNC1H1	DISC1	0.0
GRB2	NCKAP5	0.0
SMAD9	HUWE1	0.0
CCNE1	BRCA1	7.5677643628300215
AR	PIK3R1	0.0
CDH2	RHOA	0.0
HSP90AA1	SMG6	0.0
DYNC1H1	SMAD2	0.0
BRCA1	NF1	5.82557896962972
GSK3B	MAX	0.0
MAX	CAD	0.0
DYNC1H1	TNIK	2.850084796318772
AR	SRC	0.0
PIK3CA	MTOR	0.0
GAB2	PIK3CA	0.0
CCNE1	E2F5	0.0
CRK	SP1	0.0
CELSR3	NCK1	0.0
SDC2	SOS1	0.0
FN1	SMAD9	0.0
CTNNB1	KDR	0.0
INSR	SOS1	2.118033988749895
RB1	TAF1	5.316247894686561
ANK2	NCK1	0.0
SMG6	TERT	5.2623235707586975
RB1	MET	5.0642393097211045
CRK	ATXN1	0.0
TK1	TP53	0.0
RB1CC1	RPTOR	0.0
MAX	TP53	0.0
BARD1	BRCA1	0.0
CDC42	SYNE1	0.0
TRIM28	MYC	9.483921385600603
ESR2	GTF3C4	0.0
PRKDC	TP53	10.272410142846033
ALAS1	TK1	0.0
PDGFRB	PIK3R1	0.0
KAT5	TP53	0.0
MAX	NFYC	0.0
INSR	PPP1R3A	2.699172818834085
BCL2L1	ZFYVE1	0.0
PIK3CB	AKT1	3.946461113496085
CRK	EGFR	0.0
MAX	CDKN1B	0.0
ERBB2	TNS3	2.118033988749895
TGFBR1	CTNNB1	0.0
TP53	EGFR	10.49229967657701
DST	DISC1	0.0
ITGA6	MET	0.0
EGFR	IRS4	2.6389584337646843
CRK	RHOA	0.0
EGFR	PPP2R2A	4.876358083343122
JAK3	MYC	8.62005661341985
TP53	TRRAP	9.778803607803972
ERBB2	DOCK7	2.118033988749895
PRKACA	ITGB1	0.0
NCK1	SP1	0.0
VIM	RIF1	0.0
ZMIZ1	AR	0.0
CREBBP	KIT	3.072525957550795
STK36	GLI1	0.0
APC	GIGYF2	2.699172818834085
AKT1	GSK3B	0.0
PIK3CA	RAC1	0.0
PIK3CA	VAV2	0.0
MAX	COL1A2	0.0
KDR	RAC1	0.0
ANK2	NDEL1	0.0
BCL2L1	TP53	11.33022771779511
SMAD3	CDKN1A	0.0
TP53	BDKRB2	9.785192895390463
ERBB3	PRKACA	0.0
PDGFRB	AKT1	0.0
CDK2	TP53	0.0
PDGFRB	PIK3CA	0.0
ITGB1	ITGB2	0.0
ERBB3	SOS1	2.118033988749895
FYN	ATXN1	0.0
CDH2	RAC1	0.0
PLCG1	SOS1	0.0
TP53	APC	9.746794344808963
TNIK	MYC	8.445000551457628
GRB2	GAB2	0.0
CDC42	PAK1	0.0
ITGAM	LPA	0.0
ING5	NAV2	3.5
PLCG1	SRC	0.0
NF1	ALAS1	0.0
