SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
1	1	0	100	TP53
2	2	0	100	TP53,MYC
3	2	0	100	TP53,MYC
4	2	0	100	TP53,MYC
5	4	0	100	TP53,MYC,RB1,CCNE1
6	4	0	100	TP53,MYC,RB1,CCNE1
7	4	1	83	TP53,MYC,RB1,CCNE1,MCL1
8	4	1	83	TP53,MYC,RB1,CCNE1,MCL1
9	5	1	85	TP53,MYC,RB1,CCNE1,AKT1,MCL1
10	5	1	85	TP53,MYC,RB1,CCNE1,AKT1,MCL1
11	5	1	85	TP53,MYC,RB1,CCNE1,AKT1,MCL1
12	6	1	87	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,MCL1
13	7	1	88	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,TERT,MCL1
14	7	1	88	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,TERT,MCL1
15	7	1	88	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,TERT,MCL1
16	7	1	88	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,TERT,MCL1
17	8	2	81	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,TERT,APC,MCL1,BCL2L1
18	8	2	81	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,TERT,APC,MCL1,BCL2L1
19	8	2	81	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,TERT,APC,MCL1,BCL2L1
20	8	2	81	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,TERT,APC,MCL1,BCL2L1
21	8	2	81	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,TERT,APC,MCL1,BCL2L1
22	8	2	81	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,TERT,APC,MCL1,BCL2L1
23	8	2	81	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,TERT,APC,MCL1,BCL2L1
24	8	2	81	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,TERT,APC,MCL1,BCL2L1
25	9	2	83	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,TERT,APC,MAX,MCL1,BCL2L1
26	9	2	83	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,TERT,APC,MAX,MCL1,BCL2L1
27	9	2	83	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,TERT,APC,MAX,MCL1,BCL2L1
28	9	2	83	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,TERT,APC,MAX,MCL1,BCL2L1
29	9	2	83	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,TERT,APC,MAX,MCL1,BCL2L1
30	9	2	83	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,TERT,APC,MAX,MCL1,BCL2L1
31	9	4	71	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,TERT,APC,MAX,MCL1,BCL2L1,TRIM28,MTOR
32	9	4	71	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,TERT,APC,MAX,MCL1,BCL2L1,TRIM28,MTOR
33	9	4	71	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,TERT,APC,MAX,MCL1,BCL2L1,TRIM28,MTOR
34	9	4	71	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,TERT,APC,MAX,MCL1,BCL2L1,TRIM28,MTOR
35	10	4	73	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,CTNNB1,TERT,APC,MAX,MCL1,BCL2L1,TRIM28,MTOR
36	10	4	73	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,CTNNB1,TERT,APC,MAX,MCL1,BCL2L1,TRIM28,MTOR
37	10	4	73	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,CTNNB1,TERT,APC,MAX,MCL1,BCL2L1,TRIM28,MTOR
38	10	4	73	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,CTNNB1,TERT,APC,MAX,MCL1,BCL2L1,TRIM28,MTOR
39	10	4	73	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,CTNNB1,TERT,APC,MAX,MCL1,BCL2L1,TRIM28,MTOR
40	10	5	68	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,CTNNB1,TERT,APC,MAX,MCL1,BCL2L1,TRIM28,MTOR,GRB2
41	10	5	68	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,CTNNB1,TERT,APC,MAX,MCL1,BCL2L1,TRIM28,MTOR,GRB2
42	10	6	64	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,CTNNB1,TERT,APC,MAX,MCL1,BCL2L1,TRIM28,MTOR,MACF1,GRB2
43	10	6	64	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,CTNNB1,TERT,APC,MAX,MCL1,BCL2L1,TRIM28,MTOR,MACF1,GRB2
44	10	6	64	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,CTNNB1,TERT,APC,MAX,MCL1,BCL2L1,TRIM28,MTOR,MACF1,GRB2
45	10	6	64	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,CTNNB1,TERT,APC,MAX,MCL1,BCL2L1,TRIM28,MTOR,MACF1,GRB2
46	10	6	64	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,CTNNB1,TERT,APC,MAX,MCL1,BCL2L1,TRIM28,MTOR,MACF1,GRB2
47	11	6	66	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,CTNNB1,TERT,APC,MAX,NF1,MCL1,BCL2L1,TRIM28,MTOR,MACF1,GRB2
48	11	6	66	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,CTNNB1,TERT,APC,MAX,NF1,MCL1,BCL2L1,TRIM28,MTOR,MACF1,GRB2
49	11	7	63	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,CTNNB1,TERT,APC,MAX,NF1,MCL1,BCL2L1,TRIM28,MTOR,MACF1,GRB2,IGF1R
50	11	7	63	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,CTNNB1,TERT,APC,MAX,NF1,MCL1,BCL2L1,TRIM28,MTOR,MACF1,GRB2,IGF1R
51	12	8	61	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,CTNNB1,TERT,APC,MAX,PTEN,NF1,MCL1,BCL2L1,TRIM28,MTOR,MACF1,GRB2,IGF1R,CBX8
52	12	8	61	TP53,MYC,RB1,CCNE1,BRCA1,AKT1,CTNNB1,TERT,APC,MAX,PTEN,NF1,MCL1,BCL2L1,TRIM28,MTOR,MACF1,GRB2,IGF1R,CBX8
