GeneA	GeneB	MEScore
HDAC1	TERT	4.2002409902343825
AGAP2	CCND1	7.283580000169501
EGFR	ANKS1B	3.598076211353316
ERBB3	AKT1	0.0
CDC42	GRB2	0.0
SMAD4	CDKN1A	0.0
CRK	SOS1	0.0
E2F1	TERT	4.2002409902343825
ABL1	GRB2	0.0
CTNNB1	JUN	0.0
JUN	MACF1	0.0
JUN	TP53	0.0
SP1	E2F1	2.23606797749979
FYN	SP1	0.0
AKT1	MCL1	0.0
NCK1	SOS1	0.0
AR	CCND1	7.704003924909641
FYN	CDH1	0.0
PIK3CA	PIK3R1	10.260707733967616
PIK3CA	SRC	0.0
FYN	SOS1	0.0
ESR1	SMAD3	0.0
ESR1	SP1	0.0
PAK1	RHOA	0.0
FYN	CTNNA1	0.0
GRB2	SMAD3	0.0
NRXN1	PDZD2	3.1583123951777
FOXA1	SP1	3.4632418686616098
PIK3R1	PTEN	6.401728885430269
E2F1	TK1	0.0
CTNNB1	RHOA	0.0
ERBB3	OMA1	0.0
DST	NFYC	0.0
PAK1	PIK3R1	0.0
CTNNB1	VCAN	0.0
SOS1	PAK1	0.0
ERBB3	SRC	0.0
GRB2	SP1	0.0
ABL1	ERBB4	2.724744871391589
CTNNA1	IGF1R	4.7235852642138845
AR	HDAC1	2.342778860141484
SMAD2	SMAD9	0.0
ATM	BARD1	0.0
ABL1	FYN	0.0
CTNNA1	PIK3CA	9.626733137752055
BRCA1	MYC	9.469789571909176
ESR1	SOS1	0.0
ABL1	PLCG1	2.449489742783178
SRC	STAT3	0.0
PLCG1	CDC42	0.0
MYC	SMAD4	8.533259586659682
GRB2	SOS1	0.0
FYN	PIK3CA	0.0
EGFR	PLCG1	2.224744871391589
CHD3	HDAC1	2.618033988749895
CCND1	CDKN1A	0.0
CTNNB1	CDKN1B	0.0
CTNNB1	TRRAP	0.0
APC	DST	3.591650066335189
SP1	TP53	9.243792320668485
ERBB2	STAT3	0.0
MAP2K4	MAPK14	0.0
BRCA1	NCK1	0.0
MYC	PDGFRB	8.651293575409577
PAK1	MAP3K1	0.0
EGFR	RAC1	0.0
CTNNB1	IGF1R	0.0
HDAC1	RB1	5.2411396143675555
ERBB2	PIK3R1	7.486692463118654
AR	PIK3CA	9.453534623454498
MYC	TERT	9.61847950761649
ERBB2	GRB2	0.0
ESR1	SRC	0.0
PIK3CA	PTEN	13.104954031655307
ABL1	SRC	0.0
CCND1	RB1	10.516527393451284
ERBB4	ANKS1B	3.988121097619845
CTNNB1	SRC	0.0
CCNE1	BARD1	0.0
