SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
1	1	0	100	TP53
2	2	0	100	TP53,PIK3CA
3	3	0	100	TP53,PIK3CA,MYC
4	4	0	100	TP53,PIK3CA,MYC,CCND1
5	5	0	100	TP53,PIK3CA,MYC,CCND1,ERBB2
6	6	0	100	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1
7	6	0	100	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1
8	6	0	100	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1
9	7	0	100	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX
10	7	0	100	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX
11	7	0	100	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX
12	8	0	100	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1
13	9	0	100	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1
14	9	0	100	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1
15	9	0	100	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1
16	9	0	100	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1
17	9	0	100	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1
18	9	1	90	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,MCL1
19	10	1	91	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,CTNNB1,MCL1
20	12	1	92	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,BRCA1,CTNNB1,PTEN,MCL1
21	12	2	86	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,BRCA1,CTNNB1,PTEN,MCL1,NLRC4
22	13	2	87	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,MCL1,NLRC4
23	14	2	88	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,MCL1,NLRC4
24	14	2	88	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,MCL1,NLRC4
25	15	2	88	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,MCL1,NLRC4
26	15	3	84	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,MCL1,NLRC4,VAV2
27	15	3	84	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,MCL1,NLRC4,VAV2
28	17	3	85	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,MCL1,NLRC4,VAV2
29	17	3	85	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,MCL1,NLRC4,VAV2
30	17	3	85	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,MCL1,NLRC4,VAV2
31	17	3	85	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,MCL1,NLRC4,VAV2
32	17	3	85	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,MCL1,NLRC4,VAV2
33	17	4	81	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,MCL1,NLRC4,ATXN1,VAV2
34	18	5	79	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,TERT,ITIH1,MCL1,NLRC4,ATXN1,VAV2
35	18	5	79	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,TERT,ITIH1,MCL1,NLRC4,ATXN1,VAV2
36	18	5	79	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,TERT,ITIH1,MCL1,NLRC4,ATXN1,VAV2
37	18	5	79	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,TERT,ITIH1,MCL1,NLRC4,ATXN1,VAV2
38	18	5	79	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,TERT,ITIH1,MCL1,NLRC4,ATXN1,VAV2
39	18	5	79	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,TERT,ITIH1,MCL1,NLRC4,ATXN1,VAV2
40	18	5	79	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,TERT,ITIH1,MCL1,NLRC4,ATXN1,VAV2
41	18	6	76	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,TERT,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H
42	18	7	73	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,TERT,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H,IKBKB
43	18	8	70	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,TERT,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H,CRK,IKBKB
44	18	8	70	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,TERT,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H,CRK,IKBKB
45	18	8	70	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,TERT,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H,CRK,IKBKB
46	18	8	70	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,TERT,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H,CRK,IKBKB
47	18	8	70	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,TERT,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H,CRK,IKBKB
48	18	8	70	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,TERT,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H,CRK,IKBKB
49	20	8	72	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,CDC42,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H,CRK,IKBKB
50	20	8	72	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,CDC42,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H,CRK,IKBKB
