	TP53	PIK3CA	MYC	CCND1	ERBB2	PIK3R1	MAX	ITIH1	RB1	CDH1	EGFR	MCL1	MYST1	NLRC4	BRCA1	CTNNB1	PTEN	TYRP1	RNASEN	ERBB3	FOXA1	ATXN1	CDKN1B	APC	VAV2	GCN1L1	VCAN	TERT	SP1	SUPT6H	E2F1	ANKS1B	CRK	AKT1	MYB	ATM	IKBKB	CDC42	ONECUT1	CTNNA1	IREB2	MAPK14	CCNE1	ABL1	AGAP2	PDGFRB	SMAD4	RHOA	SETDB1	PRDM1	AR	MAP3K1	IGF1R	TTN	HDAC1	ESR1	GRB2	SMAD3	SOS1	MTOR	TNIK	PLCG1	GATA3	NCOR1	FYN	ITGB4	MACF1	TAF4B	SMAD2	RAC1	ERBB4	JAK1	ITGB3	SRC	NRXN1	MAPK6	NFKB1	RELN	MET	CACNA1A	MYO16	TRRAP	TNS3	DISC1	NFYC	CHD3	JUN	ITGA6	NCK1	RIF1	PAK1	JAK2	OMA1	NRCAM	IRS4	RANBP2	SIPA1L1	COL18A1	ITGB2	MAGI3	INTS4	PMS2	APOB	HSPA12A	PTPN12	HUWE1	DAB1	ITGAM	CDKN1A	PDZD2	SMAD9	CDC5L	SYNE1	MLL3	SETD7	CHGB	HGS	EPB41L1	ATN1	DST	MAP2K4	ESR2	TSC22D1	NOTCH1	TK1	DLG1	CREBBP	PTPRB	STAT3	ATXN7	PPP1CA	DSCAML1	TAF1	TSC2	HTT	NEB	PLXNB3	LPA	BCAR1	BARD1	PTPRJ	USP7	CDKN2A	UBQLN4	TBC1D4	GRIN2B	JAK3	AKAP13	TLN1	TRAF6	UBE2I	CELSR3	GFI1B	LRP1	ATR	PLK3	DMD	STAT6	CRMP1	WNK1	SPEN	KDR	MAGI2	PTPRG	ITGAV	MRE11A	ITGB1	BCAR3	CTNND1	SMAD5	SF3B1	LYN	SKIL	NBN	DNTT	ZFP36L1	PPARG	ABL2	CREB1	SYNGAP1	GSK3B	PRKDC	REL	NOTCH3	ZHX1	ATF7IP	AXIN1	GRIN2A	MEGF8	SIN3A	GOLGA2	TRIM28	TGFA	EGF	ARNT	RANBP10	PLXND1	NEDD9	PRPF40A	TOPBP1
0	10	-1	-1	-1	8	137	27	-1	168	167	9	-1	39	-1	-1	86	-1	-1	-1	33	-1	122	-1	111	115	-1	-1	-1	-1	69	78	121	42	-1	-1	156	-1	120	-1	28	-1	153	-1	161	-1	116	23	12	103	-1	-1	-1	26	-1	-1	70	52	-1	11	-1	-1	185	-1	-1	192	-1	74	-1	-1	183	-1	24	-1	158	-1	-1	134	-1	-1	6	-1	-1	-1	21	-1	-1	-1	-1	130	-1	104	-1	-1	-1	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	-1	13	-1	-1	-1	-1	-1	-1	-1	124	-1	-1	117	-1	-1	3	-1	54	-1	-1	145	91	-1	-1	-1	-1	-1	155	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	140	-1	-1	-1	-1	133	189	-1	147	44	38	-1	-1	81	-1	-1	-1	-1	-1	-1	-1	-1	-1	171	-1	-1	-1	-1	-1	-1	-1	76	-1	-1	-1	16	37	-1	30	-1	-1
1	106	190	-1	96	73	112	-1	-1	-1	-1	7	-1	-1	-1	101	-1	-1	-1	-1	10	-1	66	28	-1	160	-1	-1	-1	-1	-1	-1	-1	81	-1	-1	-1	-1	197	-1	-1	-1	32	-1	-1	-1	-1	-1	4	68	-1	186	-1	-1	-1	-1	-1	21	-1	-1	-1	-1	-1	-1	-1	103	-1	-1	-1	141	-1	-1	-1	-1	-1	-1	180	-1	-1	118	-1	-1	-1	-1	-1	-1	-1	34	-1	163	-1	46	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	54	-1	-1	-1	121	-1	-1	-1	-1	-1	-1	-1	-1	-1	52	8	-1	-1	29	-1	-1	69	-1	-1	-1	-1	-1	83	-1	-1	-1	-1	126	-1	-1	-1	-1	6	78	-1	-1	150	-1	179	-1	151	-1	-1	-1	-1	-1	56	-1	-1	-1	-1	-1	-1	65	-1	149	-1	-1	-1	-1	-1	-1	-1	-1	-1	76	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	133	161	-1	11	185	13	-1	-1	-1	-1
2	14	-1	23	169	29	168	88	-1	-1	107	80	-1	-1	-1	-1	160	96	-1	-1	-1	-1	36	173	25	-1	-1	-1	13	-1	-1	-1	-1	100	151	-1	-1	-1	34	-1	73	-1	-1	-1	58	-1	-1	6	109	83	112	-1	-1	-1	-1	-1	-1	21	-1	-1	56	-1	144	-1	-1	39	-1	-1	-1	53	198	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	24	-1	-1	-1	-1	91	-1	40	-1	-1	-1	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	49	-1	-1	-1	67	-1	-1	-1	-1	22	51	-1	186	-1	-1	106	-1	-1	50	-1	-1	-1	156	181	-1	-1	-1	-1	180	-1	-1	-1	-1	-1	4	75	-1	-1	28	-1	-1	194	-1	-1	119	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	47	-1	-1	120	-1	-1	-1	-1	54	8	-1	-1	-1	-1	149	66	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	85	-1	-1	-1	-1	99	-1	-1	-1	-1	-1
3	-1	56	-1	-1	154	79	-1	-1	-1	-1	137	-1	-1	-1	-1	138	-1	-1	-1	24	-1	98	-1	22	-1	-1	-1	17	-1	-1	-1	-1	12	131	-1	-1	-1	182	-1	-1	-1	166	-1	173	-1	90	83	108	-1	-1	-1	-1	-1	-1	-1	-1	39	-1	32	-1	-1	163	-1	-1	193	-1	-1	-1	112	-1	-1	-1	-1	140	-1	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	160	-1	129	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	104	-1	-1	-1	-1	-1	-1	-1	41	-1	-1	96	-1	47	-1	-1	-1	-1	-1	-1	150	-1	-1	-1	-1	-1	-1	-1	-1	-1	161	-1	-1	-1	29	-1	-1	-1	-1	-1	-1	-1	181	162	-1	-1	-1	62	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	178	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	117	-1
4	149	-1	18	-1	-1	166	51	-1	185	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	138	-1	124	-1	-1	-1	-1	169	-1	-1	-1	150	-1	-1	113	-1	123	-1	-1	-1	65	-1	-1	-1	-1	43	192	-1	-1	-1	-1	-1	-1	-1	-1	101	9	-1	-1	-1	32	-1	-1	164	-1	105	-1	125	-1	-1	-1	-1	190	-1	-1	-1	-1	36	62	-1	-1	-1	13	48	-1	-1	91	156	-1	28	-1	-1	174	-1	-1	-1	-1	-1	-1	-1	-1	-1	176	-1	-1	-1	52	-1	-1	154	-1	-1	-1	-1	121	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	151	-1	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73	-1	141	-1	-1	-1	-1	-1	-1	46	-1	-1	-1	-1	-1	-1	122	-1	109	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	12	83	-1	-1	-1	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	196	-1	-1	-1	-1	-1	-1	-1	79	-1
5	94	-1	96	-1	-1	23	78	-1	198	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	173	7	-1	115	-1	-1	-1	-1	-1	-1	-1	-1	52	-1	-1	-1	-1	-1	-1	-1	-1	195	-1	46	-1	-1	137	76	-1	-1	35	-1	190	-1	-1	-1	34	162	63	-1	-1	-1	-1	-1	99	-1	-1	-1	-1	177	-1	-1	-1	163	-1	98	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	97	44	122	89	-1	-1	-1	151	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22	70	-1	-1	-1	29	41	-1	56	155	-1	0	-1	75	87	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	57	-1	-1	-1	-1	-1	125	6	-1	146	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	82	-1	-1	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	178	187	-1	-1	-1	-1	-1	-1	-1	-1	-1	51	-1	-1	-1	-1
6	-1	-1	89	-1	-1	20	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	-1	133	-1	-1	-1	-1	-1	-1	-1	-1	7	30	-1	-1	-1	105	-1	-1	-1	28	-1	92	-1	-1	90	-1	-1	-1	74	-1	-1	-1	83	-1	49	174	-1	-1	-1	21	-1	-1	113	-1	-1	-1	2	-1	-1	-1	-1	167	-1	19	-1	-1	-1	52	-1	-1	-1	33	-1	120	-1	-1	79	-1	188	-1	-1	161	-1	-1	-1	-1	76	118	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	45	58	-1	-1	-1	-1	-1	-1	166	-1	-1	11	176	-1	39	-1	-1	-1	-1	48	-1	160	-1	-1	-1	-1	-1	-1	26	-1	-1	116	-1	178	-1	-1	-1	-1	-1	111	-1	-1	78	-1	-1	-1	-1	131	-1	-1	-1	-1	-1	-1	152	-1	86	-1	-1	-1	-1	-1	-1	-1	-1	100	-1	-1	-1	-1	-1	-1	-1	164	-1	189	-1	-1	-1	-1	154	-1	-1	-1	115	-1	-1	-1	63	-1
7	19	33	-1	-1	32	77	-1	-1	-1	-1	71	-1	-1	-1	-1	112	-1	-1	-1	35	-1	13	-1	134	-1	-1	-1	-1	-1	-1	-1	-1	63	25	-1	-1	-1	81	-1	24	-1	-1	-1	168	-1	-1	12	6	30	-1	103	-1	179	-1	-1	-1	3	123	126	79	82	170	-1	-1	113	133	146	-1	149	153	-1	61	-1	-1	-1	36	-1	-1	28	-1	-1	-1	-1	65	-1	-1	-1	-1	137	-1	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	67	-1	-1	-1	-1	74	-1	-1	37	-1	-1	-1	-1	-1	-1	-1	183	-1	-1	85	96	-1	181	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	145	-1	-1	62	-1	-1	16	-1	-1	-1	-1	-1	-1	172	-1	-1	-1	-1	-1	-1	-1	58	147	199	50	-1	-1	-1	-1	-1	-1	40	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	174	-1	41	-1	-1	5	-1	-1	-1	-1	11	-1	-1	-1	-1	-1	-1	-1	110	-1
8	136	-1	182	-1	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	177	117	78	-1	-1	84	-1	2	-1	152	-1	-1	-1	-1	-1	-1	54	-1	42	-1	-1	91	-1	158	-1	17	-1	-1	-1	18	-1	69	-1	10	-1	-1	45	-1	93	-1	-1	-1	31	48	39	-1	-1	121	-1	-1	43	-1	-1	-1	53	99	-1	127	198	134	-1	34	-1	-1	72	107	-1	-1	-1	150	-1	-1	-1	-1	59	-1	145	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	157	-1	-1	1	-1	-1	-1	-1	138	-1	-1	109	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	71	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	115	-1	-1	-1	-1	-1	-1	164	-1	128	-1	-1	-1	-1	-1	-1	122	-1	-1	-1	-1	186	3	85	-1	61	-1	-1	179	24	16	-1	-1	-1	-1	41	-1	-1	-1	131	-1	-1	11	-1	-1	-1	-1	197	142	-1	-1	-1	-1	-1	-1	20	-1
9	-1	38	28	-1	71	134	140	-1	-1	34	4	-1	-1	-1	112	21	-1	-1	-1	52	-1	74	-1	84	-1	128	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	102	-1	-1	-1	-1	-1	-1	-1	-1	76	101	-1	-1	17	-1	174	-1	-1	-1	75	166	175	-1	-1	153	-1	-1	168	131	-1	-1	65	172	-1	-1	-1	129	-1	-1	-1	-1	-1	19	-1	-1	-1	151	-1	-1	-1	-1	110	-1	150	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	122	-1	-1	10	35	-1	-1	-1	-1	-1	-1	20	-1	-1	8	-1	92	-1	-1	-1	139	-1	141	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	155	-1	-1	81	-1	-1	138	-1	-1	105	135	-1	-1	-1	-1	-1	-1	-1	69	-1	173	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91	-1	-1	-1	-1	-1	-1	40	-1	-1	-1	-1	93	-1	-1	-1	-1	160	-1	-1	104	-1
