GeneA	GeneB	MEScore
ESR1	MAPK14	1.2071067811865475
AKT1	ERBB3	3.08113883008419
IGF1R	WT1	4.374007517977754
IL6ST	PIK3CA	8.427670798898767
SP1	SP3	1.5731321849709863
CDKN2A	MAPK14	3.1457513110645907
MAPK3	SP1	1.2071067811865475
AKT1	MAPK3	2.08113883008419
MAPK1	RB1	2.845207879911715
IGF1R	RPS6KB1	6.669917634315125
ERBB3	STAT3	3.03439873697506
CDKN2A	MYC	7.803832340329811
AR	CCND1	6.5
IKBKB	NFKB1	3.8890872965260113
EGFR	SP1	2.643598454290256
MDM2	RB1	4.794697622694892
IKBKB	MAP3K1	6.970164213100334
PIK3CA	PIK3R1	8.631025779605826
MAPK14	MAPK3	1.0
MYC	TBP	6.957589490324617
ATM	CREB1	2.1583123951777
EGFR	WT1	3.8073203664906794
IL6ST	STAT3	3.3166247903554
MAPK14	MDM2	2.949489742783178
GAB2	STAT5B	5.470226126610201
CCND1	SP1	6.207106781186548
CCND1	SP3	5.977225575051661
MAPK3	MDM2	2.949489742783178
ESR1	SP1	1.4142135623730951
ABL1	CREB1	1.5
ERBB2	PAK1	8.640054944640259
RB1	SP3	3.2112332836961537
CCND1	NFKB1	6.0
CREB1	TBP	2.0
MAPK3	NFKB1	1.0
AKT2	EGFR	3.9364916731037085
MAPK3	STAT5A	2.1583123951777
STAT3	TP53	8.068244437148316
MAPK1	MAPK3	1.0
AKT1	MAPK14	2.08113883008419
MAPK14	SP1	1.2071067811865475
PIK3R1	PTEN	4.516580004451561
GAB2	SOS1	4.905124837953327
EGFR	SP3	2.6110500576525246
IL6ST	PIK3R1	3.4364916731037085
ATM	MDM2	4.004978758792355
IL8	PIK3CA	8.5327860619366
MAPK1	SOS1	1.5
AR	PTEN	3.692582403567252
MAPK3	RPS6KB1	4.887482193696061
GAB2	STAT5A	5.563437233131027
IL8	MAPK14	2.6213203435596424
BRCA1	MYC	7.18247795568621
ESR1	SOS1	1.7071067811865475
AKT1	AR	2.58113883008419
PIK3R1	RPS6KB1	6.229727636927644
EGFR	STAT5A	3.5948040682814084
ERBB2	PIK3CA	11.123820649745884
MAP2K4	PIK3CA	8.999491779977289
ERBB2	TFAP2A	6.001685049827973
AKT2	ERBB2	6.914037712797213
SP1	TP53	6.7638746292343415
CDKN2A	RB1	4.913309967903299
ABL1	MYC	6.511820299102546
ERBB2	STAT3	6.062114182829147
MAP2K4	MAPK14	3.5413812651491097
MAPK14	RB1	2.845207879911715
MAP3K1	PAK1	7.3166247903554
ABL1	STAT5A	2.6583123951777
NFKB1	PIK3R1	2.5
AKT1	SP1	2.2882456112707374
AKT1	PTEN	4.273721233651441
AKT1	GAB2	5.486263668037517
CCND1	SOS1	6.5
AKT2	MDM2	4.449489742783178
ERBB2	PIK3R1	6.745059882521651
AKT1	STAT5B	3.23945122526189
PIK3R1	RB1	4.254896296977634
ERBB2	TP53	10.585652096593341
ERBB2	STAT5B	6.1924797712960045
AR	PIK3CA	7.54450394677522
PIK3CA	STAT5B	8.337397165588673
PIK3CA	PTEN	9.377759898670224
MLLT4	PIK3CA	8.755582521596637
PIK3CA	RPS6KB1	10.896214217689693
BRCA1	STAT5A	2.992511824357958
CCND1	RB1	7.779912447502957
AKT1	STAT3	3.23945122526189
MYC	RB1	7.733806423720555
ERBB2	ERBB3	6.217053502342679
ATM	TP53	8.26387462923434
TBP	TP53	7.863402770365916
AKT1	NFKB1	2.08113883008419
EGFR	ERBB2	6.757331908770484
ERBB3	PTEN	4.192582403567252
MYC	STAT3	7.037824501974091
AR	TP53	7.254628043053148
AKT1	CDKN2A	4.226890141148781
IGF1R	SOS1	3.7838821814150108
CREB1	MAP3K1	3.3726843908080104
IGF1R	STAT3	4.342479084381005
RB1	TP53	8.421594887698703
AR	TBP	2.5
MAPK1	MYC	6.156854249492381
ATM	BRCA1	3.5948040682814084
AKT2	NFKB1	2.5
NFKB1	STAT3	2.1583123951777
ABL1	RB1	3.345207879911715
BRCA1	STAT3	2.992511824357958
EGFR	STAT5B	3.485082106550167
AKT2	STAT5A	3.5496407985871423
ERBB3	RB1	3.732618186247021
ESR1	STAT3	2.3654191763642474
ERBB3	ESR1	2.2071067811865475
AR	PIK3R1	3.0
MAPK3	TP53	7.282329983125268
MAP2K4	MAP3K1	6.312141857799492
MAPK1	STAT5A	2.1583123951777
EGFR	STAT3	3.5948040682814084
MAPK14	MYC	6.156854249492381
GAB2	PIK3CA	10.062305898749054
NFKB1	WT1	2.3708286933869704
ERBB3	GAB2	5.303300858899107
CREB1	MAPK1	1.0
EGFR	MAPK14	2.4364916731037085
BRCA1	ESR1	2.403943276465977
MAP3K1	SP1	4.0982717727491815
ABL1	TP53	7.470981410420889
AKT1	SP3	2.4471642338686284
IL6ST	STAT5A	3.3166247903554
IGF1R	MAPK1	3.2838821814150108
EGFR	TP53	7.5368574358476055
ABL1	STAT5B	2.6583123951777
MAPK1	PAK1	4.531128874149275
AKT1	ERBB2	6.72895390057769
CREB1	SOS1	1.5
EGFR	TFAP2A	2.9364916731037085
IL8	NFKB1	2.6213203435596424
ESR1	PIK3CA	7.562761381587592
MDM2	TBP	3.949489742783178
STAT3	STAT5B	2.3693063937629155
AR	EGFR	2.9364916731037085
AKT2	CDKN2A	4.558513793529087
SOS1	STAT5A	2.6583123951777
