GeneA	GeneB	MEScore
SHC1	SP1	0.0
ANK1	SLC4A1	5.347850497009249
CASP3	AKT1	3.08113883008419
NCOA3	TBP	2.724744871391589
AKT1	CALM1	0.0
MAPK14	ESR1	0.0
ERBB3	AKT1	3.08113883008419
BRCA1	SMAD3	0.0
WRN	PRKDC	0.0
GAB2	SRC	0.0
GAB2	LYN	4.905124837953327
RAC1	ACTA1	0.0
NCOA3	RELA	0.0
SRC	MAPK8	0.0
MDM2	ESR1	0.0
MAX	ITGB1	0.0
MYC	RELA	0.0
ABL1	GRB2	0.0
MCL1	BAK1	0.0
CASP3	PSME3	2.724744871391589
CTNNB1	JUN	0.0
CLNS1A	ITGA2B	5.384894857850275
MYC	CCNB1	6.870539766709696
EGFR	CALM1	0.0
JUN	TP53	0.0
PRKCA	SHC1	0.0
MAPK1	RB1	0.0
IGF1R	RPS6KB1	6.721491615441943
EP300	SMAD3	0.0
AKT1	MCL1	5.58113883008419
TP73	TP53	0.0
MAP3K7	TRAF6	0.0
PRKCD	EP300	0.0
MAPK8	TP53	0.0
EP300	STAT3	0.0
CDKN2A	MYC	7.803832340329811
AR	CCND1	6.5
MCL1	PCNA	0.0
OBSCN	ANK1	6.602801674242215
IKBKB	NFKB1	0.0
HSP90AA1	SRC	0.0
ERBB3	MAPK8	0.0
ITGB1	IGF1R	0.0
FYN	CDH1	0.0
ERBB2	PRKACA	0.0
RB1	MDM2	4.794697622694892
IGF1R	SHC1	0.0
MAPK1	SMAD3	0.0
PIK3R1	PIK3CA	8.83502283197903
PIK3R1	CTNNB1	0.0
LRP2	ALB	4.123105625617661
MYC	TBP	6.957589490324617
PIK3CA	SRC	0.0
-	SMAD9	0.0
SOS1	FYN	0.0
ITGA2B	PIK3R1	3.5
RPS6KB1	PPP2CA	0.0
SMAD2	CTNNB1	0.0
JUN	MAPK1	0.0
IKBKB	HSP90AA1	0.0
PPP2CA	EIF4EBP1	0.0
SP1	CCND1	0.0
ERBB2	CTNNB1	0.0
TRAF6	MAPK8	0.0
ATXN1	MYST3	0.0
SHC1	EGFR	0.0
ESR1	SMAD3	0.0
MFN1	BAK1	0.0
ESR1	SP1	0.0
PAK1	FLNA	5.1491628628991695
PAK1	ERBB2	8.75785171272887
MAP3K14	TRAF2	0.0
SMAD2	ESR1	0.0
PAK1	RHOA	0.0
ERBB3	JAK2	2.618033988749895
PCNA	CCNB1	0.0
AR	HMGB1	3.0
YWHAG	ALB	0.0
SORBS2	MLLT4	3.882632124329534
JAK2	PIK3CA	7.830219542376498
FOXO3	MAX	0.0
NFKB1	NFKBIA	0.0
SRC	NFKBIA	0.0
FOXA1	SP1	0.0
IKBKB	PRKCA	0.0
JAK2	BRCA1	3.0545256618536034
ITGA2B	PIK3CA	8.48212002188447
TP53	HDAC1	0.0
ATM	EIF4EBP1	6.480137775674177
PIK3R1	PTEN	4.605761236111537
PRKCD	RELA	0.0
CTNNB1	RHOA	0.0
PPP1CA	PRKCD	0.0
CTNNB1	DLG1	0.0
GAB2	SOS1	4.905124837953327
MYC	HSP90AA1	0.0
CSNK2A1	RELA	0.0
CASP3	CTNNB1	0.0
IKBKB	CTNNB1	0.0
ESR1	FOXO3	0.0
-	RAC1	0.0
GRIN2B	ACTN2	2.914213562373095
PRDM1	TLE1	0.0
PPP2CA	PRKCD	0.0
ITGB1	JAK2	0.0
SMAD3	FLNA	0.0
BCL10	TRAF2	0.0
FOXO3	IKBKB	6.218191226119131
PAK1	PIK3R1	6.031128874149275
TP73	MDM2	0.0
PPP2CA	MAX	0.0
PRKDC	HSP90AA1	0.0
CTNNB1	TLE1	0.0
RELA	PPP2CA	0.0
TP53	SMAD2	0.0
CTNNB1	VCAN	0.0
BRCA1	PCNA	0.0
-	FLNA	0.0
SOS1	PAK1	5.031128874149275
ATM	MDM2	4.107802137960878
RHOA	SHC1	0.0
MAP3K7	MAP3K1	4.76831552862278
PRKCA	EGFR	0.0
MAPK1	SOS1	0.0
SP1	CCNB1	0.0
FYN	CTNNB1	0.0
MUC4	ERBB2	7.233593029203131
AR	PTEN	3.692582403567252
JUN	STAT3	0.0
HDAC1	AR	0.0
SMAD2	SMAD9	0.0
GRB2	ESR1	0.0
CSNK2A1	PTEN	0.0
ZNF274	TP53	9.064396439549952
EP300	MYB	0.0
NFKB1	BRCA1	0.0
CREBBP	TLE1	0.0
MAPK1	GRB2	0.0
JAK2	STAT3	2.776346383927595
TAF1	HMGB1	3.414213562373095
AKT1	SMAD4	0.0
CDH1	DLG1	4.097026194660604
MYC	BRCA1	7.516623588705078
MAP3K7	BCL10	2.8058837014757785
HDAC1	BRCA1	0.0
EP300	ABL1	0.0
CDK1	RB1	0.0
TLE1	SERPINB9	0.0
WRN	TP53	0.0
TRAF2	TRAF6	0.0
TRAF6	RELA	0.0
ESR1	SOS1	0.0
DLG1	GRIN2B	2.724744871391589
ABL1	PLCG1	2.118033988749895
SRC	STAT3	0.0
PLCG1	CDC42	0.0
MYC	SMAD4	0.0
PRKCA	ACTA1	0.0
AKT1	AR	2.58113883008419
PIK3R1	RPS6KB1	6.387482193696061
SOS1	GRB2	0.0
FYN	PIK3CA	0.0
EGFR	PLCG1	3.0545256618536034
EGFR	PPP2CA	0.0
SRC	RELA	0.0
MAP2K4	FLNA	4.020761493398643
ERBB2	HSP90AA1	0.0
JUN	AFP	0.0
MAPK8	MAPK1	0.0
YWHAG	PRKDC	0.0
PIK3R1	CDC42	0.0
TP53	SP1	0.0
MAP2K4	MAPK14	0.0
CDH1	ITGB4	3.8722813232690143
RELA	STAT3	0.0
RUNX1	CCND1	7.621320343559642
MAPK14	MAP3K7	0.0
EP300	CCND1	0.0
PAK1	MAP3K1	7.369696567301937
SMARCA4	TP53	7.7638746292343415
MAP3K14	TRAF6	0.0
MAP3K7	MAP2K4	4.414213562373095
EGFR	RAC1	0.0
CTNNB1	IGF1R	0.0
HDAC1	RB1	0.0
MAPK14	PRKACA	0.0
NFKB1	PIK3R1	0.0
ATM	PRKDC	2.9430608301342605
AKT1	PTEN	4.273721233651441
MAP3K7	STAT3	3.23945122526189
PCNA	CDK1	0.0
FYN	MAPK8	0.0
-	PRDX1	0.0
AKT1	GAB2	5.486263668037517
PAK1	CSNK2A1	0.0
PIK3R1	ERBB2	7.018643763880471
PIK3R1	RB1	4.254896296977634
TRAF2	RELA	0.0
MTOR	RPS6KB1	5.801695756069156
AKT1	MAP3K7	3.1622776601683795
FOXO3	SMAD4	0.0
ESR1	CALM1	0.0
SMARCA4	ESR1	0.0
PRKCA	NFKBIA	0.0
AR	PIK3CA	7.6713009197786075
RPS6KB1	RAC1	0.0
CTNNB1	NFKB1	0.0
SRC	FRS2	0.0
MAPK1	EIF4EBP1	0.0
PRKDC	PRKCD	0.0
-	SRC	0.0
AKT1	BRCA1	3.517630503187898
ITGB4	PIK3R1	3.0
ITGB4	PIK3CA	7.98212002188447
TBP	RELA	0.0
BCL10	IKBKB	4.872983346207417
MYST4	RUNX1	4.570810086342821
ERBB2	GRB2	0.0
SRC	ESR1	0.0
PIK3CA	PTEN	9.50472362841817
CREBBP	HDAC1	0.0
CCNB1	BRCA1	3.259367328636004
JAK2	PPP2CA	0.0
TRAF6	NFKB1	0.0
EGFR	ITGB4	2.9364916731037085
CALM1	PRKACA	0.0
SRC	ABL1	0.0
PIK3CA	RPS6KB1	11.256376505143091
CSNK2A1	SP1	0.0
RB1	CCND1	7.779912447502957
ATN1	RERE	0.0
LYN	MAPK8	0.0
PIK3R1	JAK2	3.118033988749895
CREBBP	BRCA1	0.0
FYN	GRIN2B	0.0
MAPK1	SMAD2	0.0
SRC	CTNNB1	0.0
PIK3CA	RHOA	0.0
TAF1	CCND1	6.914213562373095
MCL1	HUWE1	5.5
CDH1	ERBB2	7.81605778654705
TRAF2	MAP2K4	0.0
SMAD4	MAX	0.0
TP53	HMGB1	8.782329983125269
PRKACA	NFKB1	0.0
MYC	RB1	7.870781812292112
HDAC1	NFKBIA	0.0
TP53	COX17	0.0
ERBB3	ERBB2	6.574155422510668
AKT1	MAP3K14	2.8058837014757785
FRS2	GRB2	0.0
CCND1	MYB	6.914213562373095
CSNK2A1	NFKBIA	0.0
PRKCD	PIK3CA	0.0
IKBKB	TRAF2	0.0
ATM	TP53	8.26387462923434
TBP	TP53	8.282329983125269
AKT1	NFKB1	0.0
EGFR	ERBB2	6.867710453612412
CDK1	BRCA1	0.0
SHC1	ITGB4	0.0
HDAC1	NCOR1	0.0
TP53	PRKAB1	0.0
LYN	PLCG1	2.118033988749895
SHC1	JAK2	0.0
GSK3B	MCL1	0.0
-	CDH1	0.0
CDC42	CTNNB1	0.0
STAT3	MYC	7.037824501974091
TP53	SERPINB9	8.363468813209458
ITGB1	VCAN	0.0
SRC	GRIN2B	0.0
PRKDC	ABL1	2.414213562373095
IGF1R	SOS1	3.8284271247461903
MAPK14	JUN	0.0
EP300	MDM2	0.0
ATN1	MYST4	3.863703305156273
AR	RELA	0.0
ESR1	RELA	0.0
PIK3R1	NFKBIA	0.0
RAC1	FLNA	0.0
STAT3	IGF1R	4.387381870164646
TBP	HMGB1	3.5
ERBB3	FLNA	2.618033988749895
TP53	RB1	8.866689125175663
ATN1	TEP1	2.914213562373095
SRC	ERBB2	0.0
BRCA1	SMAD4	0.0
EP300	ESR1	0.0
ATM	BRCA1	3.5948040682814084
JUN	MYC	0.0
PRKCD	NFKBIA	0.0
CDC42	CDH1	0.0
NFKB1	STAT3	0.0
CREBBP	SMAD3	0.0
CDKN2A	WRN	0.0
RB1	EP300	0.0
GATA3	SMAD3	0.0
ABL1	RB1	3.345207879911715
TRAF6	MAPK14	0.0
DLG4	FYN	0.0
CDH1	RHOA	0.0
MAP3K7	MAPK8	0.0
NCOA3	PSME3	2.449489742783178
BRCA1	STAT3	2.992511824357958
SP1	JUN	0.0
NCOR1	SMAD2	0.0
-	HDAC1	0.0
FYN	CDK1	0.0
PIK3R1	PRKCD	0.0
HSP90AA1	MTOR	0.0
PIK3R1	MTOR	3.291377624035248
DLG1	LRP2	3.149043589908885
PLK1	RHOA	0.0
SMAD2	TP73	0.0
SMAD9	HUWE1	0.0
CDH1	PIK3CA	9.03510407217138
AR	PIK3R1	3.0
CASP3	ATN1	2.914213562373095
CREBBP	RELA	0.0
SMAD4	CDKN2B	0.0
FOXA1	COL18A1	3.2862976842004192
GSK3B	MAX	0.0
MAP3K1	MAP2K4	6.312141857799492
CTNNB1	TBL1XR1	0.0
JUN	ESR1	0.0
PAK1	ESR1	0.0
GPS2	EP300	0.0
EGFR	STAT3	3.5948040682814084
PIK3CA	SHC1	0.0
SORBS2	PAK1	5.6583123951777
MAPK1	SMAD4	0.0
JAK2	NFKBIA	0.0
NCOA3	ESR1	0.0
AR	SRC	0.0
PIK3CA	MTOR	8.296038496022971
GAB2	PIK3CA	10.763100424553732
AKT1	RAC1	0.0
PRKACA	RHOA	0.0
CTNNB1	PLK1	0.0
CCNB1	CDK1	0.0
TAF1	RB1	3.7594214422848102
CDH1	SRC	0.0
CTNNB1	HDAC1	0.0
SMAD3	CTNNB1	0.0
RAC1	MAP3K1	0.0
PRKCA	HMGB1	0.0
FOXO3	MYC	7.7114902873091165
TRAF6	IKBKB	0.0
PSME3	TP53	8.007074854516857
AR	PRDX1	0.0
ERBB2	ITGB4	6.172040216394301
ESR1	BRCA1	0.0
MAP3K14	MAP3K7	2.8058837014757785
SMAD3	MAPK8	0.0
MAX	TP53	0.0
LYN	MAPK14	0.0
SMAD2	SP1	0.0
DLG1	ACTN2	2.6389584337646843
PRKDC	TP53	7.98861950062593
CASP3	PRKDC	2.914213562373095
TP53	ABL1	7.470981410420889
GSK3B	MAPK14	0.0
HDAC1	CDH1	0.0
YWHAG	TP53	0.0
MTOR	STAT3	3.072525957550795
SLC4A1	CDKN2A	4.059964873437686
ESR1	SMAD4	0.0
JAK2	EGFR	3.0545256618536034
LYN	NFKB1	0.0
PPP2CA	AKT1	0.0
HDAC1	CCND1	0.0
MAPK14	NCOA3	0.0
TP53	EGFR	8.317235622737929
PRDX1	MYC	0.0
MAPK1	PPP1CA	0.0
MAPK1	PAK1	0.0
-	MAP2K4	0.0
MDM2	CREBBP	0.0
PLK1	CCNB1	0.0
SP1	CDKN2B	0.0
GSK3B	NFKB1	0.0
PRKACA	ITGB1	0.0
PRKACA	SRC	0.0
ATN1	ECM1	5.476232764691075
PRKCA	RELA	0.0
-	HSP90AA1	0.0
CASP3	MDM2	3.949489742783178
