GeneSymbol	PosteriorP	Selected	ConvergenceIter	KnownCancerGene	BestSSN
TP53	0.990607473	TRUE	2300	TRUE	Set()
PIK3CA	0.997896264	TRUE	2309	TRUE	Set()
MYC	0.984114808	TRUE	2347	TRUE	Set()
CCND1	0.949140848	TRUE	2480	TRUE	Set()
ERBB2	0.934198216	TRUE	2589	TRUE	Set()
PIK3R1	0.810225158	TRUE	2934	TRUE	Set()
CDKN2A	0.788381444	TRUE	3653	TRUE	Set()
RPS6KB1	0.878883862	TRUE	4101	TRUE	Set()
AKT1	NA	TRUE	NA	TRUE	Set()
PTEN	NA	TRUE	NA	TRUE	Set()
GAB2	NA	TRUE	NA	FALSE	Set()
PAK1	NA	TRUE	NA	TRUE	Set()
RB1	NA	TRUE	NA	TRUE	Set()
EGFR	NA	TRUE	NA	TRUE	Set()
STAT3	NA	TRUE	NA	TRUE	Set()
BRCA1	NA	TRUE	NA	TRUE	Set()
AR	NA	TRUE	NA	TRUE	Set()
IGF1R	NA	TRUE	NA	TRUE	Set()
MAP2K4	NA	TRUE	NA	TRUE	Set()
AKT2	NA	TRUE	NA	TRUE	Set()
MAP3K1	NA	TRUE	NA	TRUE	Set()
SP1	NA	TRUE	NA	TRUE	Set()
MDM2	NA	TRUE	NA	TRUE	Set()
STAT5A	NA	TRUE	NA	TRUE	Set()
IKBKB	NA	TRUE	NA	FALSE	Set()
ERBB3	NA	TRUE	NA	TRUE	Set()
TBP	NA	TRUE	NA	FALSE	Set()
IL8	NA	TRUE	NA	FALSE	Set()
CREB1	NA	TRUE	NA	TRUE	Set()
WT1	NA	TRUE	NA	TRUE	Set()
MLLT4	NA	TRUE	NA	TRUE	Set()
MAPK1	NA	TRUE	NA	TRUE	Set()
SOS1	NA	TRUE	NA	TRUE	Set()
ESR1	NA	TRUE	NA	TRUE	Set()
PSMC4	NA	TRUE	NA	FALSE	Set()
STAT5B	NA	TRUE	NA	TRUE	Set()
NFKB1	NA	TRUE	NA	TRUE	Set()
IL6ST	NA	TRUE	NA	TRUE	Set()
SP3	NA	TRUE	NA	FALSE	Set()
MAPK3	NA	TRUE	NA	TRUE	Set()
ABL1	NA	TRUE	NA	TRUE	Set()
MAPK14	NA	TRUE	NA	FALSE	Set()
TFAP2A	NA	TRUE	NA	FALSE	Set()
ATM	NA	TRUE	NA	TRUE	Set()
RIPK1	NA	TRUE	NA	FALSE	Set()
PIK3CB	NA	TRUE	NA	FALSE	Set()
STAT4	NA	TRUE	NA	TRUE	Set()
EP300	NA	TRUE	NA	TRUE	Set()
NFIC	NA	TRUE	NA	FALSE	Set()
CDK7	NA	TRUE	NA	FALSE	Set()
CDH1	NA	TRUE	NA	TRUE	Set()
HMGB1	NA	TRUE	NA	TRUE	Set()
HDAC1	NA	TRUE	NA	FALSE	Set()
RELA	NA	TRUE	NA	FALSE	Set()
CDC42	NA	TRUE	NA	TRUE	Set()
ACTA1	NA	TRUE	NA	FALSE	Set()
LYN	NA	TRUE	NA	FALSE	Set()
FRS2	NA	TRUE	NA	TRUE	Set()
PLCG1	NA	TRUE	NA	TRUE	Set()
JUN	NA	TRUE	NA	TRUE	Set()
CTNNB1	NA	TRUE	NA	TRUE	Set()
GRB2	NA	TRUE	NA	TRUE	Set()
PRKDC	NA	TRUE	NA	FALSE	Set()
CREBBP	NA	TRUE	NA	TRUE	Set()
SRC	NA	TRUE	NA	TRUE	Set()
HTT	NA	TRUE	NA	FALSE	Set()
HIF1A	NA	TRUE	NA	TRUE	Set()
RAC1	NA	TRUE	NA	TRUE	Set()
ACTN2	NA	TRUE	NA	FALSE	Set()
PLCD3	NA	TRUE	NA	FALSE	Set()
CASP3	NA	TRUE	NA	FALSE	Set()
MAPK8	NA	TRUE	NA	TRUE	Set()
ETS1	NA	TRUE	NA	TRUE	Set()
JAK2	NA	TRUE	NA	TRUE	Set()
GLI3	NA	TRUE	NA	TRUE	Set()
SESN1	NA	TRUE	NA	FALSE	Set()
CCNB1	NA	TRUE	NA	FALSE	Set()
PCNA	NA	TRUE	NA	TRUE	Set()
NGF	NA	TRUE	NA	FALSE	Set()
ZMAT3	NA	TRUE	NA	FALSE	Set()
THBS1	NA	TRUE	NA	FALSE	Set()
RPS27A	NA	TRUE	NA	FALSE	Set()
USF1	NA	TRUE	NA	FALSE	Set()
ATR	NA	TRUE	NA	TRUE	Set()
NCL	NA	TRUE	NA	FALSE	Set()
GNAS	NA	TRUE	NA	TRUE	Set()
CDKN2B	NA	TRUE	NA	FALSE	Set()
GNB1	NA	TRUE	NA	FALSE	Set()
GNGT1	NA	TRUE	NA	FALSE	Set()
SMAD3	NA	TRUE	NA	TRUE	Set()
WWOX	NA	TRUE	NA	FALSE	Set()
BRCA2	NA	TRUE	NA	TRUE	Set()
VCAN	NA	TRUE	NA	TRUE	Set()
PLCB1	NA	TRUE	NA	FALSE	Set()
PRKCA	NA	TRUE	NA	FALSE	Set()
XRCC1	NA	TRUE	NA	TRUE	Set()
HSP90AA1	NA	TRUE	NA	TRUE	Set()
TRAF6	NA	TRUE	NA	FALSE	Set()
HUWE1	NA	TRUE	NA	FALSE	Set()
ETS2	NA	TRUE	NA	FALSE	Set()
