Gene	TP53	PIK3CA	MYC	ERBB2	CCND1	PAK1	AKT1	RPS6KB1	PIK3R1	CDKN2A	MCL1	MAX	ATN1	SESN1	RB1	HUWE1	MUC4	EIF4EBP1	EGFR	PTEN	RUNX1	MDM2	BRCA1	CDH1	AR	TBP	IKBKB	HMGB1	ESR1	CASP3	YWHAG	RAC1	GAB2	IGF1R	CTNNB1	EP300	PRDM1	MYST3	MAP2K4	MYB	STAT3	FOXA1	ATM	SMAD3	ANK1	DLG1	NCOR1	CREBBP	MAP3K1	ATXN1	LIN28B	SRC	JUN	CSNK2A1	BAK1	PRKCA	MAPK14	MAPK1	SMARCA4	ECM1	ITGA2B	SMAD2	CDC42	PLAT	TLE1	PRKACA	MTOR	ABL1	NFKB1	AFP	RHOA	FOXO3	JAK2	MFN1	MAPK8	PPP1CA	RELA	CCNB1	LYN	SOS1	PSME3	BCL10	HSPG2	PRDX1	LRP2	NLRC4	GRIN2B	HIPK1	ITGB4	SLC4A1	PLCG1	PLK1	SERPINB9	SMAD4	MAP3K7	OBSCN	ITGB1	FYN	PRKDC	-	ZNF274	TEP1	FRS2	VCAN	HDAC1	BLM	NCOA3	SP1	MLLT4	GRB2	CDKN2AIP	PCNA	HSP90AA1	CALM1	MYST4	TP73	TRAF2	MAGI3	GPS2	SMAD9	MYCBP2	ERBB3	TRAF6	TAF1	ACTA1	MAGI2	PRKAB1	PRKCD	CLNS1A	WRN	COX17	NFKBIA	SHC1	CDKN2B	NFASC	GATA3	GSK3B	FLNA	CDK1	MAP3K14	COL18A1	RELN	ANKRD12	PPP2CA	ALB	DLG4	RERE	RYR2	SORBS2	ACTN2	ERCC6	TBL1XR1	KATNAL1
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0	101.0	102.0	103.0	104.0	105.0	106.0	107.0	108.0	109.0	110.0	111.0	112.0	113.0	114.0	115.0	116.0	117.0	118.0	119.0	120.0	121.0	122.0	123.0	124.0	125.0	126.0	127.0	128.0	129.0	130.0	131.0	132.0	133.0	134.0	135.0	136.0	137.0	138.0	139.0	140.0	141.0	142.0	143.0	144.0	145.0	146.0	147.0	148.0	149.0	150.0	151.0	152.0
GeneName	TP53	PIK3CA	MYC	ERBB2	CCND1	PAK1	AKT1	RPS6KB1	PIK3R1	CDKN2A	MCL1	MAX	ATN1	SESN1	RB1	HUWE1	MUC4	EIF4EBP1	EGFR	PTEN	RUNX1	MDM2	BRCA1	CDH1	AR	TBP	IKBKB	HMGB1	ESR1	CASP3	YWHAG	RAC1	GAB2	IGF1R	CTNNB1	EP300	PRDM1	MYST3	MAP2K4	MYB	STAT3	FOXA1	ATM	SMAD3	ANK1	DLG1	NCOR1	CREBBP	MAP3K1	ATXN1	LIN28B	SRC	JUN	CSNK2A1	BAK1	PRKCA	MAPK14	MAPK1	SMARCA4	ECM1	ITGA2B	SMAD2	CDC42	PLAT	TLE1	PRKACA	MTOR	ABL1	NFKB1	AFP	RHOA	FOXO3	JAK2	MFN1	MAPK8	PPP1CA	RELA	CCNB1	LYN	SOS1	PSME3	BCL10	HSPG2	PRDX1	LRP2	NLRC4	GRIN2B	HIPK1	ITGB4	SLC4A1	PLCG1	PLK1	SERPINB9	SMAD4	MAP3K7	OBSCN	ITGB1	FYN	PRKDC	-	ZNF274	TEP1	FRS2	VCAN	HDAC1	BLM	NCOA3	SP1	MLLT4	GRB2	CDKN2AIP	PCNA	HSP90AA1	CALM1	MYST4	TP73	TRAF2	MAGI3	GPS2	SMAD9	MYCBP2	ERBB3	TRAF6	TAF1	ACTA1	MAGI2	PRKAB1	PRKCD	CLNS1A	WRN	COX17	NFKBIA	SHC1	CDKN2B	NFASC	GATA3	GSK3B	FLNA	CDK1	MAP3K14	COL18A1	RELN	ANKRD12	PPP2CA	ALB	DLG4	RERE	RYR2	SORBS2	ACTN2	ERCC6	TBL1XR1	KATNAL1
MutualExclScore	94.5813492063492	89.33724053724053	55.5301337551338	41.99267399267402	47.40376984126987	12.818228993228994	5.291666666666666	28.536956099456084	6.499999999999999	6.6677960927960935	17.41130952380952	0.5	3.166666666666667	3.9036075036075037	11.316666666666668	3.266666666666667	6.05952380952381	29.00318986568985	5.227380952380953	11.092857142857145	8.283333333333333	6.737734487734487	3.9475579975579977	15.633333333333335	0.9857142857142855	2.5583333333333336	11.534178321678318	3.733766233766234	0.6666666666666666	1.2740079365079364	0.0	0.0	12.87580475080475	13.68568931068931	0.0	0.6444444444444444	6.498448773448772	10.97465451215451	14.776190476190475	2.9499999999999997	1.8066239316239314	6.087301587301588	4.333333333333333	0.6666666666666666	12.293702131202126	2.642857142857143	6.833333333333333	0.5333333333333333	20.253968253968257	0.8666666666666667	3.5698773448773453	0.0	0.3333333333333333	0.2	0.16666666666666666	0.0	0.3333333333333333	0.3333333333333333	2.3666666666666667	17.41130952380952	1.3158119658119658	0.7499999999999999	0.0	10.182987845487846	0.0	0.3333333333333333	2.8944444444444444	1.0416666666666665	0.25	3.825595238095238	0.6666666666666666	4.279797979797979	1.3095238095238095	6.415018315018315	0.625	0.0	0.3333333333333333	2.5	1.676190476190476	1.3428571428571427	1.0213675213675213	2.7912087912087915	3.042857142857143	0.3333333333333333	6.50952380952381	2.783333333333333	3.5333333333333337	1.1569444444444446	3.0	1.8158119658119658	2.333333333333333	0.29166666666666663	4.5555555555555545	0.125	1.912301587301587	9.608333333333333	0.5333333333333333	0.0	3.583333333333334	0.0	7.361544011544011	3.583333333333333	5.687734487734487	2.592857142857143	0.5833333333333333	1.2595238095238095	2.033333333333333	0.75	5.528968253968253	0.5	1.8668650793650792	0.0	0.5833333333333333	0.0	8.75995670995671	0.2	0.0	2.2569444444444446	1.8095238095238095	1.3333333333333333	2.426190476190476	2.083333333333333	0.5833333333333333	2.8444444444444446	0.3333333333333333	1.976190476190476	0.5	0.0	13.492471417471418	0.5833333333333333	0.0	0.3333333333333333	0.25	6.6677960927960935	1.7499999999999998	31.199999999999992	0.0	1.8333333333333333	0.0	0.5658119658119658	2.3666666666666667	4.427777777777778	1.9166666666666665	0.5	2.9922619047619046	0.0	1.0	6.833333333333334	1.9767857142857144	2.25	2.25	7.108272283272283	5.192099567099566
MutQty	184	195	128	107	121	65	10	77	16	28	64	2	8	21	22	9	17	93	15	29	18	24	15	33	4	9	61	16	2	9	0	0	61	32	0	3	32	66	37	8	11	17	11	2	69	6	17	2	46	3	21	0	1	1	1	0	1	1	6	66	9	3	0	60	0	1	8	4	1	19	2	24	5	30	2	0	1	7	4	4	6	6	9	1	17	7	9	7	4	8	5	2	10	1	10	24	2	0	8	0	22	9	22	9	2	6	6	2	19	1	12	0	2	0	24	1	0	8	6	2	8	9	2	8	1	7	1	0	67	2	0	1	1	28	6	54	0	5	0	6	6	13	6	1	17	0	2	22	13	8	6	29	19
TCGA-A8-A06Q-01	1	1							1																																																		1																																																														1																																
TCGA-A8-A07B-01	1	1										1					1																																																																																																																																								
TCGA-D8-A143-01	1	1													1																																																																																	1																																																									
TCGA-BH-A0B0-01	1	1														1																									1																																																																																																																
TCGA-A8-A08R-01	1	1															1																														1																																																																																																										
