GeneA	GeneB	MEScore
IGF1R	WT1	4.374007517977754
MAPK3	SP1	1.2071067811865475
AKT1	MAPK3	2.08113883008419
MAPK1	RB1	2.845207879911715
IGF1R	RPS6KB1	6.669917634315125
CCND1	CDKN2B	8.026735331848053
CDKN2A	MYC	7.803832340329811
AR	CCND1	6.5
IKBKB	NFKB1	3.8890872965260113
EGFR	SP1	2.643598454290256
MDM2	RB1	4.794697622694892
IKBKB	MAP3K1	6.970164213100334
PIK3CA	PIK3R1	8.631025779605826
EGFR	WT1	3.8073203664906794
GAB2	STAT5B	5.470226126610201
CCND1	SP1	6.207106781186548
MAPK3	MDM2	2.949489742783178
ERBB2	PAK1	8.640054944640259
CCND1	NFKB1	6.0
MAPK3	NFKB1	1.0
AKT2	EGFR	3.9364916731037085
MAPK3	STAT5A	2.1583123951777
STAT3	TP53	8.068244437148316
AR	HMGB1	3.0
MAPK1	MAPK3	1.0
PIK3R1	PTEN	4.516580004451561
ATM	MDM2	4.004978758792355
IL8	PIK3CA	8.5327860619366
ERBB2	MUC4	6.7327581777238095
AR	PTEN	3.692582403567252
MAPK3	RPS6KB1	4.887482193696061
GAB2	STAT5A	5.563437233131027
TP53	ZNF274	8.65400609437591
TP53	ZMAT3	8.319768692414815
BRCA1	MYC	7.18247795568621
AKT1	AR	2.58113883008419
PIK3R1	RPS6KB1	6.229727636927644
EGFR	STAT5A	3.5948040682814084
ERBB2	PIK3CA	11.123820649745884
MAP2K4	PIK3CA	8.999491779977289
AKT2	ERBB2	6.914037712797213
SP1	TP53	6.7638746292343415
CDKN2A	RB1	4.913309967903299
ERBB2	STAT3	6.062114182829147
MAP3K1	PAK1	7.3166247903554
NFKB1	PIK3R1	2.5
AKT1	SP1	2.2882456112707374
AKT1	PTEN	4.273721233651441
AKT1	GAB2	5.486263668037517
AKT2	MDM2	4.449489742783178
ERBB2	PIK3R1	6.745059882521651
AKT1	STAT5B	3.23945122526189
PIK3R1	RB1	4.254896296977634
ERBB2	TP53	10.585652096593341
ERBB2	STAT5B	6.1924797712960045
AR	PIK3CA	7.54450394677522
PIK3CA	STAT5B	8.337397165588673
PIK3CA	PTEN	9.377759898670224
MLLT4	PIK3CA	8.755582521596637
PIK3CA	RPS6KB1	10.896214217689693
BRCA1	STAT5A	2.992511824357958
CCND1	RB1	7.779912447502957
BRCA1	CREBBP	2.643598454290256
CREBBP	SP1	1.4142135623730951
AKT1	STAT3	3.23945122526189
HMGB1	TP53	8.477419589184898
MYC	RB1	7.733806423720555
ATM	TP53	8.26387462923434
AKT1	NFKB1	2.08113883008419
EGFR	ERBB2	6.757331908770484
MYC	STAT3	7.037824501974091
AR	TP53	7.254628043053148
AKT1	CDKN2A	4.226890141148781
IGF1R	STAT3	4.342479084381005
RB1	TP53	8.421594887698703
MAPK1	MYC	6.156854249492381
ATM	BRCA1	3.5948040682814084
AKT2	NFKB1	2.5
NFKB1	STAT3	2.1583123951777
BRCA1	STAT3	2.992511824357958
EGFR	STAT5B	3.485082106550167
AKT2	STAT5A	3.5496407985871423
AR	PIK3R1	3.0
MAPK3	TP53	7.282329983125268
MAP2K4	MAP3K1	6.312141857799492
MAPK1	STAT5A	2.1583123951777
EGFR	STAT3	3.5948040682814084
GAB2	PIK3CA	10.062305898749054
NFKB1	WT1	2.3708286933869704
MAP3K1	SP1	4.0982717727491815
IGF1R	MAPK1	3.2838821814150108
MAP3K1	RIPK1	5.0494773867403335
EGFR	TP53	7.5368574358476055
MAPK1	PAK1	4.531128874149275
CREBBP	MDM2	3.1565965239697253
AKT1	ERBB2	6.72895390057769
CDKN2B	SP1	3.352858092251138
IL8	NFKB1	2.6213203435596424
FRS2	MAPK1	2.845207879911715
STAT3	STAT5B	2.3693063937629155
AR	EGFR	2.9364916731037085
AKT2	CDKN2A	4.558513793529087
MAP3K1	MAPK3	3.891164991562634
AR	MDM2	3.449489742783178
MAP2K4	PAK1	6.958039891549808
MAPK1	STAT3	2.1583123951777
FRS2	GAB2	5.961893217493946
AKT2	PTEN	4.605761236111537
BRCA1	MAPK3	2.4364916731037085
CCND1	CDKN2A	8.026735331848053
AKT1	STAT5A	3.23945122526189
CCND1	TP53	11.197731264436161
HIPK3	TP53	8.131727983645296
NFKB1	RIPK1	2.1583123951777
CCND1	MYC	10.456328056160553
FRS2	PAK1	6.23606797749979
AKT1	EGFR	3.403943276465977
CCND1	MAPK3	6.0
IGF1R	SP1	3.490988962601558
AKT1	PIK3CA	8.346531968814578
MAPK1	RPS6KB1	4.887482193696061
SP1	WT1	2.3371173070873836
IKBKB	MAPK3	4.405124837953327
MAPK3	PAK1	4.531128874149275
EGFR	PIK3CA	8.391058066022307
AKT2	GAB2	5.7438120395943875
CCND1	STAT5A	6.977225575051661
AKT1	RPS6KB1	5.873213921133975
IKBKB	RIPK1	5.470226126610201
CDKN2A	PIK3R1	4.558513793529087
CDKN2B	MYC	7.803832340329811
AKT1	PIK3R1	3.58113883008419
MYC	SP1	6.145794895318107
CDKN2A	MDM2	5.019937882081738
AR	NFKB1	1.5
MAPK1	PIK3R1	2.5
IGF1R	PIK3CA	9.417167059846243
IGF1R	PIK3R1	4.783882181415011
STAT3	STAT5A	2.188901059316734
AKT2	STAT5B	3.6583123951777
AR	MYC	6.656854249492381
ERBB2	MAPK1	5.6478150704935
CREBBP	NFKB1	1.2071067811865475
MAPK3	PIK3CA	7.355654600401044
EGFR	MYC	7.355661747169874
CCND1	STAT3	7.069763430109227
CDKN2A	TP53	8.878329975257468
AKT1	MAP2K4	4.414213562373095
ATM	CDKN2A	4.203160950509568
TP53	WT1	8.14102558590995
NFKB1	TP53	6.773108592072033
BRCA1	IGF1R	4.720373854518719
FRS2	PIK3R1	4.254896296977634
AKT2	PIK3R1	4.0
NFKB1	PIK3CA	6.846531968814577
CREBBP	STAT3	2.3654191763642474
PIK3CA	SP1	7.562761381587592
MAP2K4	PIK3R1	5.041381265149109
AKT1	TP53	8.178088191607436
CREBBP	MYC	6.3639610306789285
BRCA1	CCND1	7.436491673103708
AR	MAPK1	1.5
HMGB1	NFKB1	2.5
