GeneSymbol	PosteriorP	Selected	ConvergenceIter	KnownCancerGene	BestSSN
TP53	0.978532368	TRUE	2461	TRUE	Set()
PIK3CA	0.986729604	TRUE	2493	TRUE	Set()
MYC	NA	TRUE	NA	TRUE	Set()
ERBB2	NA	TRUE	NA	TRUE	Set()
CCND1	NA	TRUE	NA	TRUE	Set()
CDKN2A	NA	TRUE	NA	TRUE	Set()
RPS6KB1	NA	TRUE	NA	TRUE	Set()
PIK3R1	NA	TRUE	NA	TRUE	Set()
PAK1	NA	TRUE	NA	TRUE	Set()
STAT3	NA	TRUE	NA	TRUE	Set()
GAB2	NA	TRUE	NA	FALSE	Set()
EGFR	NA	TRUE	NA	TRUE	Set()
AKT2	NA	TRUE	NA	TRUE	Set()
SESN1	NA	TRUE	NA	FALSE	Set()
AR	NA	TRUE	NA	TRUE	Set()
ZMAT3	NA	TRUE	NA	FALSE	Set()
RB1	NA	TRUE	NA	TRUE	Set()
AKT1	NA	TRUE	NA	TRUE	Set()
BRCA1	NA	TRUE	NA	TRUE	Set()
CDKN2B	NA	TRUE	NA	FALSE	Set()
MAP2K4	NA	TRUE	NA	TRUE	Set()
MAP3K1	NA	TRUE	NA	TRUE	Set()
IKBKB	NA	TRUE	NA	FALSE	Set()
MUC4	NA	TRUE	NA	TRUE	Set()
PTEN	NA	TRUE	NA	TRUE	Set()
ZNF274	NA	TRUE	NA	FALSE	Set()
STAT5A	NA	TRUE	NA	TRUE	Set()
MDM2	NA	TRUE	NA	TRUE	Set()
NFKB1	NA	TRUE	NA	TRUE	Set()
CREBBP	NA	TRUE	NA	TRUE	Set()
IGF1R	NA	TRUE	NA	TRUE	Set()
STAT5B	NA	TRUE	NA	TRUE	Set()
MLLT4	NA	TRUE	NA	TRUE	Set()
IL8	NA	TRUE	NA	FALSE	Set()
HIPK3	NA	TRUE	NA	FALSE	Set()
ATM	NA	TRUE	NA	TRUE	Set()
FRS2	NA	TRUE	NA	TRUE	Set()
HMGB1	NA	TRUE	NA	TRUE	Set()
ANK1	NA	TRUE	NA	FALSE	Set()
SP1	NA	TRUE	NA	TRUE	Set()
WT1	NA	TRUE	NA	TRUE	Set()
RIPK1	NA	TRUE	NA	FALSE	Set()
MAPK1	NA	TRUE	NA	TRUE	Set()
MAPK3	NA	TRUE	NA	TRUE	Set()
ECM1	NA	TRUE	NA	FALSE	Set()
WRN	NA	TRUE	NA	TRUE	Set()
KLKB1	NA	TRUE	NA	FALSE	Set()
IL6ST	NA	TRUE	NA	TRUE	Set()
PSMC4	NA	TRUE	NA	FALSE	Set()
BRCA2	NA	TRUE	NA	TRUE	Set()
MAP3K10	NA	TRUE	NA	FALSE	Set()
EGF	NA	TRUE	NA	TRUE	Set()
SPTA1	NA	TRUE	NA	TRUE	Set()
ANK3	NA	TRUE	NA	TRUE	Set()
WNK1	NA	TRUE	NA	FALSE	Set()
POLB	NA	TRUE	NA	FALSE	Set()
SRC	NA	TRUE	NA	TRUE	Set()
EIF4EBP1	NA	TRUE	NA	FALSE	Set()
RELN	NA	TRUE	NA	FALSE	Set()
FGFR2	NA	TRUE	NA	TRUE	Set()
NEUROD1	NA	TRUE	NA	FALSE	Set()
MUC2	NA	TRUE	NA	TRUE	Set()
WRNIP1	NA	TRUE	NA	FALSE	Set()
CTCF	NA	TRUE	NA	TRUE	Set()
ATG5	NA	TRUE	NA	FALSE	Set()
RUNX1	NA	TRUE	NA	TRUE	Set()
RREB1	NA	TRUE	NA	FALSE	Set()
ETS1	NA	TRUE	NA	TRUE	Set()
NME2	NA	TRUE	NA	FALSE	Set()
MCL1	NA	TRUE	NA	FALSE	Set()
ACLY	NA	TRUE	NA	FALSE	Set()
MYST3	NA	TRUE	NA	FALSE	Set()
CPM	NA	TRUE	NA	FALSE	Set()
PLAT	NA	TRUE	NA	FALSE	Set()
LIG3	NA	TRUE	NA	FALSE	Set()
POLD1	NA	TRUE	NA	FALSE	Set()
NCOR1	NA	TRUE	NA	TRUE	Set()
MAPK14	NA	TRUE	NA	FALSE	Set()
RSF1	NA	TRUE	NA	FALSE	Set()
ERC1	NA	TRUE	NA	TRUE	Set()
CDH1	NA	TRUE	NA	TRUE	Set()
SERTAD1	NA	TRUE	NA	FALSE	Set()
MYST4	NA	TRUE	NA	TRUE	Set()
DMD	NA	TRUE	NA	TRUE	Set()
EP300	NA	TRUE	NA	TRUE	Set()
RAD52	NA	TRUE	NA	FALSE	Set()
GATA3	NA	TRUE	NA	TRUE	Set()
ABL1	NA	TRUE	NA	TRUE	Set()
ZNF639	NA	TRUE	NA	TRUE	Set()
JUN	NA	TRUE	NA	TRUE	Set()
DYRK1B	NA	TRUE	NA	FALSE	Set()
ABCC8	NA	TRUE	NA	FALSE	Set()
SMAD3	NA	TRUE	NA	TRUE	Set()
ENSA	NA	TRUE	NA	FALSE	Set()
BCAR3	NA	TRUE	NA	TRUE	Set()
NMI	NA	TRUE	NA	FALSE	Set()
CACNA1E	NA	TRUE	NA	TRUE	Set()
SPTBN4	NA	TRUE	NA	TRUE	Set()
FOXO3	NA	TRUE	NA	TRUE	Set()
IFI35	NA	TRUE	NA	FALSE	Set()
