GeneA	GeneB	MEScore
CTNNB1	JUN	0.0
MYC	CCNB1	6.870539766709696
JUN	TP53	7.282329983125268
AKT1	MCL1	5.58113883008419
MTOR	GSK3B	0.0
JAK2	PIK3CA	7.70342256937311
FOXO3	MAX	3.1565965239697253
IKBKB	FOXO3	6.218191226119131
RPS6KB1	CRK	0.0
ATM	MDM2	4.004978758792355
JAK2	STAT3	2.620185174601965
BRCA1	MYC	7.18247795568621
TRRAP	MDM2	3.4238399287081647
CTNNB1	TRRAP	0.0
ERBB2	STAT3	6.0373604199024715
MYC	PDGFRB	6.3639610306789285
GAB2	AKT1	5.486263668037517
MTOR	RPS6KB1	5.696089576666271
PIK3CA	PTEN	9.377759898670224
PIK3CA	RPS6KB1	10.896214217689693
CDH1	ERBB2	7.647828680534355
RB1	MYC	7.733806423720555
ATM	TP53	8.26387462923434
EGFR	ERBB2	6.7327581777238095
CDKN1A	RB1	0.0
STAT3	MYC	7.037824501974091
TP53	RB1	8.421594887698703
ATM	BRCA1	3.5948040682814084
JUN	MYC	6.156854249492381
CDH1	PIK3CA	8.906261495307191
GSK3B	MAX	0.0
EGFR	STAT3	3.5948040682814084
PIK3CA	MTOR	8.169407624346873
GAB2	PIK3CA	10.062305898749054
FOXO3	MYC	7.7114902873091165
TK1	TP53	0.0
MAX	TP53	7.273108592072033
MAX	NFYC	1.2071067811865475
MTOR	STAT3	3.072525957550795
CRK	EGFR	0.0
EGFR	JAK2	3.0545256618536034
TP53	EGFR	7.5368574358476055
TP53	TRRAP	7.773108592072033
AKT1	GSK3B	0.0
PDGFRB	AKT1	2.2882456112707374
PDGFRB	PIK3CA	7.346531968814577
TP53	APC	7.480215373258581
MCL1	TP53	9.816843568186883
MYC	CDKN1A	0.0
APC	GSK3B	0.0
MAX	CDKN1A	0.0
FOXA1	JUN	2.5615528128088303
APC	CTNNB1	0.0
NFYC	PDGFRB	1.2071067811865475
MYC	TK1	0.0
PDGFRB	PTEN	3.3996891847537993
GSK3B	TP53	0.0
PIK3CA	AKT1	8.346531968814578
DDX5	TP53	7.282329983125268
MYC	NFYC	6.156854249492381
MYC	ERBB2	10.00244654212554
AKT1	RPS6KB1	5.873213921133975
CDH1	CTNNB1	0.0
GSK3B	MYC	0.0
PIK3CA	UFD1L	7.355654600401044
CTNNB1	MYC	0.0
ERBB2	JAK2	6.111262075065218
JUN	RB1	2.845207879911715
CDKN1A	TP53	0.0
JAK2	MAP3K1	4.509198980312529
TP53	UFD1L	6.773108592072033
MAX	CCNB1	2.029982436718843
BRCA1	FOXA1	3.998044485912539
FRS2	PIK3CA	8.728030526706771
AKT1	MYC	7.237993079576571
MAX	TRRAP	1.8251407699364424
FOXO3	CCNB1	3.7723653983154732
CDH1	EGFR	4.808772996372722
PIK3CA	STAT3	8.427670798898767
AKT1	CDKN1A	0.0
CTNNB1	GSK3B	0.0
MDM2	TP53	8.848132367096497
MYC	TP53	10.758762678815339
CTNNB1	EGFR	0.0
MAX	ERBB2	5.611262075065218
MAX	MYC	6.3639610306789285
TP53	PTEN	8.934948480986922
AKT1	MDM2	4.030628572867368
BRCA1	MAX	2.643598454290256
AKT1	IKBKB	5.486263668037517
MYC	TRRAP	6.7748882382422755
CRK	ERBB2	0.0
MAX	TK1	0.0
EGFR	MTOR	3.2268189319982725
NFYC	TP53	6.773108592072033
CRK	PIK3CA	0.0
DDX5	PIK3CA	6.846531968814577
MAX	PDGFRB	1.4142135623730951
FOXA1	TP53	8.385124418714554
AKT1	MTOR	2.995352392457285
AKT1	FOXO3	4.030628572867368
BRCA1	TP53	8.131727983645296
TP53	CCNB1	7.611394185400459
