GeneA	GeneB	MEScore
AGAP2	CCND1	0.0
ERBB3	AKT1	3.08113883008419
HTT	TP53	7.639133995856471
CDC42	GRB2	0.0
NEDD8	TP53	0.0
CRK	SOS1	0.0
ABL1	GRB2	0.0
CTNNB1	JUN	0.0
MYC	CCNB1	6.870539766709696
JUN	TP53	0.0
SP1	E2F1	0.0
IGF1R	RPS6KB1	6.669917634315125
AKT1	MCL1	5.58113883008419
CHD3	GSK3B	0.0
HTT	ZHX1	2.118033988749895
NGF	PIK3CA	7.54450394677522
AR	CCND1	6.5
CHD3	HTT	2.118033988749895
SORT1	ZNF274	3.345207879911715
PIK3CA	PIK3R1	8.631025779605826
ATXN1	ZHX1	0.0
MTOR	GSK3B	0.0
MYC	TBP	6.957589490324617
PIK3CA	SRC	0.0
ESR1	SP1	0.0
SERPINB9	SETDB1	2.765848372133833
PAK1	RHOA	0.0
ERBB3	JAK2	2.618033988749895
SMARCA4	CDKN1A	0.0
JAK2	PIK3CA	7.70342256937311
FOXO3	MAX	0.0
FOXA1	SP1	0.0
CDC42	RIF1	0.0
PIK3R1	PTEN	4.516580004451561
E2F1	TK1	0.0
CTNNB1	RHOA	0.0
GAB2	SOS1	4.905124837953327
SMARCA4	TAF9	2.224744871391589
IKBKB	FOXO3	6.218191226119131
PAK1	PIK3R1	5.9520862741559615
RPS6KB1	CRK	0.0
SP1	TAF9	0.0
CTNNB1	VCAN	0.0
SOS1	PAK1	5.031128874149275
ATM	MDM2	4.004978758792355
ERBB3	SRC	0.0
MAP3K7	MAP3K1	4.76831552862278
GRB2	SP1	0.0
SP1	CCNB1	0.0
ZNF274	TP53	8.65400609437591
JAK2	STAT3	2.620185174601965
BRCA1	MYC	7.18247795568621
AKT1	ZHX1	2.541103500742244
ESR1	SOS1	0.0
ABL1	PLCG1	2.118033988749895
SRC	STAT3	0.0
PLCG1	CDC42	0.0
GRB2	ZNF274	0.0
PIK3R1	RPS6KB1	6.229727636927644
GRB2	SOS1	0.0
TRRAP	MDM2	3.4238399287081647
EGFR	PLCG1	2.903943276465977
MAP3K7	HIPK2	2.58113883008419
JUN	AFP	0.0
CCND1	CDKN1A	0.0
CTNNB1	CDKN1B	0.0
CTNNB1	TRRAP	0.0
SP1	TP53	0.0
ERBB2	STAT3	6.0373604199024715
MAP2K4	MAPK14	0.0
CDH1	ITGB4	3.8722813232690143
MYC	PDGFRB	0.0
PAK1	MAP3K1	7.3166247903554
SMARCA4	TP53	7.7638746292343415
MAP3K7	MAP2K4	4.414213562373095
EGFR	RAC1	0.0
CTNNB1	IGF1R	0.0
GAB2	AKT1	5.486263668037517
ERBB2	PIK3R1	6.720426578006847
NGF	EPB41L1	2.0
MTOR	RPS6KB1	5.696089576666271
AKT1	MAP3K7	3.1622776601683795
AR	PIK3CA	7.54450394677522
CHD3	RIF1	2.342778860141484
SRC	FRS2	0.0
ITGB4	PIK3R1	3.0
ITGB4	PIK3CA	7.855654600401044
ERBB2	GRB2	0.0
ESR1	SRC	0.0
PIK3CA	PTEN	9.377759898670224
HIPK2	TP53	7.639133995856471
EGFR	ITGB4	2.9364916731037085
ABL1	SRC	0.0
PIK3CA	RPS6KB1	10.896214217689693
CCND1	RB1	7.779912447502957
JAK2	PIK3R1	3.118033988749895
CTNNB1	SRC	0.0
PIK3CA	RHOA	0.0
CDH1	ERBB2	7.647828680534355
RB1	MYC	7.733806423720555
CDKN1B	RHOA	0.0
ERBB2	ERBB3	6.1924797712960045
CCND1	MYB	6.914213562373095
ATM	TP53	8.26387462923434
EGFR	ERBB2	6.7327581777238095
AGAP2	EPB41L1	0.0
CDKN1A	RB1	0.0
ERBB2	VAV2	0.0
LYN	PLCG1	2.118033988749895
BRCA1	CDKN1B	3.0545256618536034
CDC42	CTNNB1	0.0
STAT3	MYC	7.037824501974091
SERPINB9	TP53	7.854130781403635
IGF1R	SOS1	3.7838821814150108
MAPK14	JUN	0.0
NGF	SORT1	1.801439750477924
TP53	RB1	8.421594887698703
ATM	BRCA1	3.5948040682814084
SP1	COL1A2	0.0
JUN	MYC	0.0
APC	SETDB1	0.0
CDC42	CDH1	0.0
RNASEN	TP53	7.62990003301878
APC	RAC1	0.0
ABL1	RB1	3.345207879911715
CDH1	RHOA	0.0
JUN	SP1	0.0
PIK3R1	MTOR	3.291377624035248
MAX	TAF9	0.0
CDH1	PIK3CA	8.906261495307191
CDKN1A	SETDB1	0.0
AR	PIK3R1	3.0
FOXA1	COL18A1	3.2862976842004192
GSK3B	MAX	0.0
MAP3K1	MAP2K4	6.312141857799492
ESR1	JUN	0.0
EGFR	STAT3	3.5948040682814084
AR	SRC	0.0
PIK3CA	MTOR	8.169407624346873
GAB2	PIK3CA	10.062305898749054
CRK	SP1	0.0
E2F1	CDKN1B	0.0
ERBB2	TGFA	0.0
CDH1	SRC	0.0
TK1	SETDB1	0.0
RAC1	MAP3K1	0.0
FOXO3	MYC	7.7114902873091165
CRK	ATXN1	0.0
TK1	TP53	0.0
ERBB2	SUPT6H	6.241509371729694
MAX	TP53	0.0
LYN	MAPK14	0.0
PDGFRB	PIK3R1	0.0
GSK3B	MAPK14	0.0
MAX	NFYC	0.0
MTOR	STAT3	3.072525957550795
CRK	EGFR	0.0
E2F1	MCL1	0.0
EGFR	JAK2	3.0545256618536034
MAX	CDKN1B	0.0
GSK3B	ZHX1	0.0
TP53	EGFR	7.5368574358476055
EGFR	IRS4	2.9364916731037085
CRK	RHOA	0.0
TP53	TRRAP	7.773108592072033
SP1	CDKN2B	0.0
FOXO3	CDKN1B	3.567523731533073
ESR1	PIK3CA	0.0
AKT1	GSK3B	0.0
PIK3CA	RAC1	0.0
PIK3CA	VAV2	0.0
LYN	PIK3CA	7.855654600401044
MAX	COL1A2	0.0
TP53	PRDM1	8.782776640796756
SORT1	TP53	7.639133995856471
AR	MDM2	3.449489742783178
PDGFRB	AKT1	0.0
PDGFRB	PIK3CA	0.0
ERBB3	SOS1	2.323763377495764
PLCG1	SOS1	2.118033988749895
TP53	APC	0.0
GRB2	GAB2	0.0
HTT	SETDB1	2.3228756555322954
CDC42	PAK1	0.0
PLCG1	SRC	0.0
RAC1	MYC	0.0
MCL1	TP53	9.816843568186883
CDH1	PIK3R1	4.786930235851553
PIK3R1	RAC1	0.0
CCND1	CDKN1A	0.0
PAK1	MAP2K4	6.958039891549808
MAP3K7	RAC1	0.0
CRK	PIK3R1	0.0
TK1	RIF1	0.0
NGF	ZNF274	3.345207879911715
PAK1	CCND1	7.524937810560445
ESR1	IGF1R	0.0
ABL1	PIK3R1	2.8345273722873916
SP1	SRC	0.0
MYC	CDKN1A	0.0
SERPINB9	ZHX1	2.699172818834085
VAV2	RHOA	0.0
APC	GSK3B	0.0
MAX	CDKN1A	0.0
FOXA1	JUN	0.0
APC	CDC42	0.0
SETDB1	RIF1	2.5476205269238843
APC	CTNNB1	0.0
NFYC	PDGFRB	0.0
MYC	TK1	0.0
CRK	MAP2K4	0.0
SP1	TBP	0.0
CDC42	VAV2	0.0
PDGFRB	PTEN	0.0
FRS2	PAK1	6.23606797749979
MYB	NCOR1	3.4757663751819257
E2F1	NGF	0.0
SOS1	SRC	0.0
EGFR	ERBB3	3.4364916731037085
E2F1	RB1	0.0
TP53	TGFA	0.0
ESR1	COL18A1	0.0
MYB	COL1A2	2.53224755112299
ERBB2	IRS4	6.123475382979799
AR	FOXA1	3.0615528128088303
PDGFRB	PLCG1	0.0
GSK3B	TP53	0.0
ADAMTSL4	ZNF417	6.10566470618695
PAK1	PIK3CA	10.297526237808281
LYN	VAV2	0.0
RHOA	GAB2	0.0
TP53	AFP	8.189544080129826
PIK3CA	AKT1	8.346531968814578
MAPK14	AR	0.0
TAF9	TP53	7.254628043053148
DDX5	TP53	0.0
ESR1	COL1A2	0.0
ERBB3	PIK3R1	3.382715530876048
PRDM1	ATXN1	0.0
MYC	NFYC	0.0
MYC	ERBB2	10.00244654212554
AKT1	RPS6KB1	5.873213921133975
AKT1	EIF4EBP1	6.324555320336759
CDH1	CTNNB1	0.0
LYN	PIK3R1	3.0
MYC	CDKN2B	7.803832340329811
GSK3B	MYC	0.0
NGF	PLCG1	2.118033988749895
MAP3K7	IKBKB	5.486263668037517
PIK3R1	AKT1	3.58113883008419
MYC	SP1	0.0
ABL1	SP1	0.0
EGFR	SOS1	2.9364916731037085
NCOR1	MYC	7.57120550789603
EGFR	TGFA	0.0
CTNNB1	MYC	0.0
MAPK14	STAT3	0.0
DDX5	RNASEN	0.0
ERBB2	JAK2	6.111262075065218
ERBB3	ITGB4	2.5
ERBB2	SOS1	5.977287478849656
CDC42	RAC1	0.0
STAT3	CCND1	7.069763430109227
PIK3R1	CCND1	7.348054268438632
ABL1	ERBB2	6.123475382979799
PIK3CA	RELN	8.409388971958021
IGF1R	CRK	0.0
JUN	RB1	0.0
CRK	ERBB3	0.0
MTOR	EIF4EBP1	5.94173543741989
ESR1	PIK3R1	0.0
MAX	LIN28B	0.0
FRS2	PIK3R1	4.254896296977634
SOS1	RAC1	0.0
MAP3K1	MAPK14	0.0
MAX	SP1	0.0
VAV2	PAK1	0.0
CDKN1A	TP53	0.0
JAK2	MAP3K1	4.509198980312529
ESR1	FOXA1	0.0
PIK3R1	SRC	0.0
PIK3CA	SOS1	7.54450394677522
JAK2	VAV2	0.0
SOS1	AKT1	2.58113883008419
PIK3CA	CCND1	10.98074069840786
GRB2	GAB2	0.0
MAX	TBP	0.0
MAX	CCNB1	0.0
E2F1	MYB	0.0
RHOA	RAC1	0.0
E2F1	SORT1	0.0
BRCA1	FOXA1	3.998044485912539
PAK1	STAT3	5.398557925000402
FRS2	PIK3CA	8.728030526706771
PIK3R1	STAT3	3.6583123951777
PPP1CA	RIF1	0.0
CHD3	TP53	7.461734824239696
CHD3	ZHX1	2.23606797749979
AKT1	MYC	7.237993079576571
TP53	ZHX1	7.461734824239696
VAV2	RAC1	0.0
SERPINB9	RIF1	2.8058837014757785
MYC	COL1A2	6.7748882382422755
ESR1	MYC	0.0
MAX	TRRAP	0.0
RB1	TBP	3.845207879911715
CRK	SRC	0.0
ITGB4	ATXN1	0.0
CCND1	CDKN1B	6.488624600025037
FOXO3	CCNB1	3.7723653983154732
CDH1	EGFR	4.808772996372722
PIK3CA	STAT3	8.427670798898767
PIK3R1	RELN	3.802775637731995
GRB2	RIF1	0.0
GAB2	PIK3R1	5.82557896962972
EGFR	SRC	0.0
PAK1	RAC1	0.0
EPB41L1	PIK3CA	7.54450394677522
NEDD9	PIK3CA	7.837397165588672
MAX	ITGB4	0.0
TP53	VCAN	7.73609679265374
AKT1	CDKN1A	0.0
PAK1	AKT1	5.5155946010522525
PPP1CA	TP53	0.0
SRC	VAV2	0.0
PIK3R1	RHOA	0.0
MAPK14	TP53	0.0
MYC	TAF9	6.511820299102546
JAK2	SRC	0.0
CTNNB1	GSK3B	0.0
APC	PAK1	0.0
MDM2	TP53	8.848132367096497
ERBB3	VAV2	0.0
AGAP2	PIK3CA	0.0
E2F1	CDKN1A	0.0
ESR1	AKT1	0.0
AR	CTNNB1	0.0
SRC	IGF1R	0.0
MYC	TP53	10.758762678815339
CTNNB1	EGFR	0.0
ERBB3	TGFA	0.0
PIK3R1	SOS1	3.0
GRB2	PIK3R1	0.0
MYC	LIN28B	7.60133912560202
MYB	MYC	7.0710678118654755
MAX	ERBB2	0.0
MAX	MYC	0.0
ERBB3	PLCG1	2.618033988749895
GRB2	JAK2	0.0
CDC42	MTOR	0.0
JAK2	PLCG1	2.23606797749979
TP53	PTEN	8.934948480986922
AKT1	MDM2	4.030628572867368
MAX	CDKN2B	0.0
BRCA1	PIK3R1	3.9364916731037085
CTNNB1	SMARCA4	0.0
TAF9	TRRAP	2.118033988749895
RELN	ABL1	2.6337923567508073
MYB	CCNB1	2.7370892179053907
CDKN1B	RB1	3.4632418686616098
EGFR	PIK3R1	3.9364916731037085
FOXA1	AFP	4.150581316760657
EIF4EBP1	GSK3B	0.0
TAF9	CDKN1A	0.0
RHOA	SOS1	0.0
FRS2	SOS1	3.1844300276583644
CDC42	RPS6KB1	0.0
CRK	PAK1	0.0
BRCA1	MAX	0.0
ABL1	ERBB3	2.5
SP1	CDKN1A	0.0
MYC	CDKN1B	6.7748882382422755
EGFR	GRB2	0.0
AKT1	IKBKB	5.486263668037517
MYC	TRRAP	6.7748882382422755
CRK	ERBB2	0.0
NGF	AGAP2	0.0
TP53	NLRC4	7.754628043053148
MAX	TK1	0.0
NFYC	SP1	0.0
EGFR	MTOR	3.2268189319982725
ATM	E2F1	0.0
RAC1	CDH1	0.0
NFYC	TP53	0.0
PIK3R1	VAV2	0.0
TP53	COL18A1	7.620653446837586
RAC1	CTNNB1	0.0
SRC	AKT1	0.0
CRK	PIK3CA	0.0
DDX5	PIK3CA	0.0
