GeneSymbol	PosteriorP	Selected	ConvergenceIter	KnownCancerGene	
PIK3CA	0.997908616	TRUE	2299	TRUE	Set()
TP53	0.984119227	TRUE	2311	TRUE	Set()
MYC	0.965718758	TRUE	2362	TRUE	Set()
CCND1	0.935774865	TRUE	2671	TRUE	Set()
ERBB2	0.880277	TRUE	2704	TRUE	Set()
PAK1	0.894091678	TRUE	2724	TRUE	Set()
PIK3R1	0.868878815	TRUE	2980	TRUE	Set()
RPS6KB1	NA	TRUE	NA	TRUE	Set()
AKT1	NA	TRUE	NA	TRUE	Set()
PTEN	NA	TRUE	NA	TRUE	Set()
RB1	NA	TRUE	NA	TRUE	Set()
CDH1	NA	TRUE	NA	TRUE	Set()
GAB2	NA	TRUE	NA	FALSE	Set()
STAT3	NA	TRUE	NA	TRUE	Set()
MYB	NA	TRUE	NA	TRUE	Set()
MCL1	NA	TRUE	NA	FALSE	Set()
EGFR	NA	TRUE	NA	TRUE	Set()
DDX5	NA	TRUE	NA	TRUE	Set()
MDM2	NA	TRUE	NA	TRUE	Set()
BRCA1	NA	TRUE	NA	TRUE	Set()
MAX	NA	TRUE	NA	TRUE	Set()
MAP3K1	NA	TRUE	NA	TRUE	Set()
UFD1L	NA	TRUE	NA	FALSE	Set()
CRK	NA	TRUE	NA	FALSE	Set()
VAV2	NA	TRUE	NA	FALSE	Set()
AR	NA	TRUE	NA	TRUE	Set()
CCNB1	NA	TRUE	NA	FALSE	Set()
MTOR	NA	TRUE	NA	TRUE	Set()
FOXA1	NA	TRUE	NA	TRUE	Set()
CDC42	NA	TRUE	NA	TRUE	Set()
CDKN1A	NA	TRUE	NA	TRUE	Set()
FOXO3	NA	TRUE	NA	TRUE	Set()
TK1	NA	TRUE	NA	FALSE	Set()
RAC1	NA	TRUE	NA	TRUE	Set()
APC	NA	TRUE	NA	TRUE	Set()
JAK2	NA	TRUE	NA	TRUE	Set()
ATM	NA	TRUE	NA	TRUE	Set()
TRRAP	NA	TRUE	NA	TRUE	Set()
IKBKB	NA	TRUE	NA	FALSE	Set()
SOS1	NA	TRUE	NA	TRUE	Set()
NFYC	NA	TRUE	NA	FALSE	Set()
RHOA	NA	TRUE	NA	TRUE	Set()
PDGFRB	NA	TRUE	NA	TRUE	Set()
GSK3B	NA	TRUE	NA	TRUE	Set()
JUN	NA	TRUE	NA	TRUE	Set()
FRS2	NA	TRUE	NA	TRUE	Set()
CTNNB1	NA	TRUE	NA	TRUE	Set()
NCOR1	NA	TRUE	NA	TRUE	Set()
GRB2	NA	TRUE	NA	TRUE	Set()
ZNF274	NA	TRUE	NA	FALSE	Set()
BCL2L1	NA	TRUE	NA	FALSE	Set()
RELN	NA	TRUE	NA	FALSE	Set()
ADAMTSL4	NA	TRUE	NA	FALSE	Set()
TGFBR1	NA	TRUE	NA	TRUE	Set()
AES	NA	TRUE	NA	FALSE	Set()
PRDM1	NA	TRUE	NA	TRUE	Set()
NGF	NA	TRUE	NA	FALSE	Set()
CDKN1B	NA	TRUE	NA	TRUE	Set()
HIF1A	NA	TRUE	NA	TRUE	Set()
ITGB4	NA	TRUE	NA	FALSE	Set()
FYN	NA	TRUE	NA	TRUE	Set()
NGFR	NA	TRUE	NA	FALSE	Set()
MAP2K4	NA	TRUE	NA	TRUE	Set()
TAF9	NA	TRUE	NA	FALSE	Set()
PIN1	NA	TRUE	NA	FALSE	Set()
ESR1	NA	TRUE	NA	TRUE	Set()
DAB1	NA	TRUE	NA	FALSE	Set()
ITGB1	NA	TRUE	NA	FALSE	Set()
ABL1	NA	TRUE	NA	TRUE	Set()
MAPK14	NA	TRUE	NA	FALSE	Set()
NEDD9	NA	TRUE	NA	FALSE	Set()
SMAD4	NA	TRUE	NA	TRUE	Set()
RCHY1	NA	TRUE	NA	FALSE	Set()
LYN	NA	TRUE	NA	FALSE	Set()
SESN1	NA	TRUE	NA	FALSE	Set()
USP7	NA	TRUE	NA	FALSE	Set()
RNASEN	NA	TRUE	NA	FALSE	Set()
AFP	NA	TRUE	NA	FALSE	Set()
CHD3	NA	TRUE	NA	TRUE	Set()
E2F1	NA	TRUE	NA	TRUE	Set()
IGF1R	NA	TRUE	NA	TRUE	Set()
UBE2I	NA	TRUE	NA	FALSE	Set()
ERBB3	NA	TRUE	NA	TRUE	Set()
ATXN1	NA	TRUE	NA	FALSE	Set()
KAT5	NA	TRUE	NA	FALSE	Set()
CREB1	NA	TRUE	NA	TRUE	Set()
TFDP1	NA	TRUE	NA	FALSE	Set()
CHGB	NA	TRUE	NA	TRUE	Set()
BAK1	NA	TRUE	NA	FALSE	Set()
DVL2	NA	TRUE	NA	FALSE	Set()
JAK1	NA	TRUE	NA	TRUE	Set()
TLE1	NA	TRUE	NA	FALSE	Set()
PDPK1	NA	TRUE	NA	FALSE	Set()
EIF4EBP1	NA	TRUE	NA	FALSE	Set()
TBP	NA	TRUE	NA	FALSE	Set()
PPP1CA	NA	TRUE	NA	FALSE	Set()
ARIH2	NA	TRUE	NA	FALSE	Set()
SP1	NA	TRUE	NA	TRUE	Set()
TRAF6	NA	TRUE	NA	FALSE	Set()
HTT	NA	TRUE	NA	FALSE	Set()
