GeneA	GeneB	MEScore
AKT1	MCL1	4.7382356553358225
AR	CCND1	6.724744871391589
PIK3CA	PIK3R1	10.602584305176858
PAK1	RHOA	4.691451143813855
TP53	EPHA2	9.536685539481937
PIK3R1	PTEN	4.991652010170202
PAK1	PIK3R1	5.802775637731995
RPS6KB1	CRK	4.944097208657794
ATM	MDM2	4.8727894958092755
NGFR	UFD1L	1.0
EPHA2	PAK1	5.2090892340188955
BRCA1	MYC	7.537830798705729
PIK3R1	RPS6KB1	6.246872846389789
CDH1	EPHA2	6.1924797712960045
ERBB2	STAT3	6.504422891877308
PAK1	MAP3K1	8.2671309559281
GAB2	AKT1	4.6441107181924535
ERBB2	PIK3R1	6.907957768249819
MTOR	RPS6KB1	6.074192828341624
AR	PIK3CA	9.637392330932423
PIK3CA	PTEN	11.81069938475125
PIK3CA	RPS6KB1	12.89115144748395
CCND1	RB1	8.134375911089627
PIK3CA	RHOA	9.658363676170627
CDH1	ERBB2	10.053937764610565
RB1	MYC	7.988085705405834
CCND1	MYB	7.232050807568877
ATM	TP53	10.56155281280883
EGFR	ERBB2	6.985131333343329
ERBB2	VAV2	6.069009428568352
STAT3	MYC	7.204749769685186
TP53	RB1	9.999867950325557
ATM	BRCA1	4.73606797749979
CDC42	CDH1	0.0
CDH1	RHOA	5.793854268530499
PIK3R1	MTOR	3.605551275463989
CDH1	PIK3CA	12.193333294122823
AR	PIK3R1	3.0275205091235833
EGFR	STAT3	3.6736043311189652
PIK3CA	MTOR	10.602584305176858
GAB2	PIK3CA	12.192936731081529
MTOR	STAT3	3.605551275463989
CRK	EGFR	2.3708286933869704
TP53	EGFR	9.48528137423857
CRK	RHOA	1.3660254037844386
PIK3CA	VAV2	9.451256894984079
NGFR	PIK3CA	8.951256894984079
BCL2L1	TP53	0.0
AR	MDM2	3.674234614174767
TP53	APC	9.958217307690626
NGFR	PIK3R1	2.302775637731995
CDC42	PAK1	0.0
MCL1	TP53	11.393027809394143
CDH1	PIK3R1	6.7327581777238095
CRK	PIK3R1	2.302775637731995
PAK1	CCND1	7.5373604199024715
VAV2	RHOA	1.5731321849709863
APC	CDC42	0.0
CDC42	VAV2	0.0
AR	FOXA1	4.0086270528066
PAK1	PIK3CA	12.352965604812887
RHOA	GAB2	4.628203566526079
PIK3CA	AKT1	9.451256894984079
NGFR	TP53	9.058621384311845
DDX5	TP53	9.051315688243536
MYC	ERBB2	10.192589809543446
AKT1	RPS6KB1	4.930011286667337
PIK3CA	UFD1L	9.458236433584458
PIK3R1	AKT1	2.5098824189185422
STAT3	CCND1	7.220675407593914
PIK3R1	CCND1	7.220675407593914
VAV2	PAK1	4.707106781186548
PIK3R1	BCL2L1	0.0
TP53	UFD1L	9.058621384311845
PIK3CA	CCND1	13.139603866679437
NGFR	RHOA	1.3660254037844386
BRCA1	FOXA1	4.940789726067152
PAK1	STAT3	5.533985905294664
PIK3R1	STAT3	3.605551275463989
AKT1	MYC	6.3639610306789285
EPHA2	PIK3CA	10.281112089116753
EPHA2	PIK3R1	3.1256512932642897
CDH1	EGFR	6.969848206979755
PIK3CA	STAT3	10.602584305176858
GAB2	PIK3R1	5.7397795747379
PIK3CA	BCL2L1	0.0
PAK1	AKT1	4.707106781186548
PIK3R1	RHOA	2.668801041516433
APC	PAK1	5.58113883008419
MDM2	TP53	10.568902576395608
MYC	TP53	12.038633162381373
MYB	MYC	7.388905057061258
CDC42	MTOR	0.0
TP53	PTEN	11.148349666211134
AKT1	MDM2	3.1565965239697253
BRCA1	PIK3R1	4.038843615231785
EGFR	PIK3R1	3.6736043311189652
CDC42	RPS6KB1	0.0
CRK	PAK1	4.5
EPHA2	RHOA	2.188901059316734
CRK	ERBB2	5.861902647381804
EGFR	MTOR	3.569168114656261
PIK3R1	VAV2	2.5098824189185422
CRK	PIK3CA	9.458236433584458
DDX5	PIK3CA	9.451256894984079
AR	BRCA1	3.4608128488913787
FOXA1	TP53	11.014693182963201
AKT1	MTOR	2.5098824189185422
BRCA1	TP53	10.232050807568877
EGFR	PAK1	5.5181427670900955
CDC42	TP53	0.0
RHOA	AKT1	1.5731321849709863
CDC42	MAP3K1	0.0
