GeneSymbol	PosteriorP	Selected	ConvergenceIter	KnownCancerGene	BestSSNScore	BestSSN
PIK3CA	0.5	true	-1	true	0.0	Set()
TP53	0.5	true	-1	true	0.0	Set()
CCND1	0.5	true	-1	true	0.0	Set()
PTEN	0.5	true	-1	true	0.0	Set()
MYC	0.5	true	-1	true	0.0	Set()
PAK1	0.5	true	-1	true	0.0	Set()
PIK3R1	0.5	true	-1	true	0.0	Set()
CDH1	0.5	true	-1	true	0.0	Set()
DDX5	0.5	true	-1	true	0.0	Set()
ERBB2	0.5	true	-1	true	0.0	Set()
STAT3	0.5	true	-1	true	0.0	Set()
RB1	0.5	true	-1	true	0.0	Set()
FOXA1	0.5	true	-1	true	0.0	Set()
APC	0.5	true	-1	true	0.0	Set()
AKT1	0.5	true	-1	true	0.0	Set()
EGFR	0.5	true	-1	true	0.0	Set()
RHOA	0.5	true	-1	true	0.0	Set()
MDM2	0.5	true	-1	true	0.0	Set()
BRCA1	0.5	true	-1	true	0.0	Set()
ATM	0.5	true	-1	true	0.0	Set()
MAP3K1	0.5	true	-1	true	0.0	Set()
AR	0.5	true	-1	true	0.0	Set()
MTOR	0.5	true	-1	true	0.0	Set()
BCL2L1	0.5	true	-1	false	0.0	Set()
MYB	0.5	true	-1	true	0.0	Set()
CDC42	0.5	true	-1	true	0.0	Set()
RPS6KB1	0.5	true	-1	true	0.0	Set()
UFD1L	0.5	true	-1	false	0.0	Set()
EPHA2	0.5	true	-1	false	0.0	Set()
GAB2	0.5	true	-1	false	0.0	Set()
VAV2	0.5	true	-1	false	0.0	Set()
MCL1	0.5	true	-1	false	0.0	Set()
CRK	0.5	true	-1	false	0.0	Set()
NGFR	0.5	true	-1	false	0.0	Set()
