Gene	TP53	PIK3CA	MYC	PIK3R1	PAK1	ERBB2	CCND1	AKT1	SESN1	MAX	FOXA1	PRDM1	CTNNB1	MCL1	RPS6KB1	EGFR	PTEN	NLRC4	GAB2	RB1	MYB	BRCA1	CDH1	ATXN1	CRK	MDM2	CDC42	IKBKB	MAP3K1	RAC1	GRB2	ABL1	APC	JUN	EIF4EBP1	STAT3	COL18A1	LIN28B	AFP	FYN	MTOR	VCAN	ERBB3	FOXO3	GSK3B	CDKN1A	RHOA	ATM	AR	MAP2K4	TBP	VAV2	SOS1	CCNB1	MAP3K7	JAK2	FRS2	NEDD9	ESR1	RELN	MAPK14	BCAR3	IGF1R	SRC	NCK1	SMAD4	ZNF274	E2F1	NCOR1	DYRK1B	ADAMTSL4	PLCG1	TK1	TLE1	SMAD3	ZNF417	SERPINB9	REL	ITGA2B	GATA3	PPP1CA	SMAD1	GADD45A	CHGB	UBE2I	SMAD2	SP1	DLG1	SMAD9	ATN1	CDKN2B	TGFBR1	TRAF6	XRCC6	BCL10	PLK1	PDGFRB	ZFP36L1	ITGB1	PDPK1	USP7	TRAF2	SF3B1	TCF4	PRKDC	TYK2	RIF1	HUWE1	CSDE1	PTPN12	SETDB1	GIT1	ERC1	AES	RIPK1	ANXA7	SMARCA4	NFKB1	PTPN22	ZNF587	YEATS4
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0	101.0	102.0	103.0	104.0	105.0	106.0	107.0	108.0	109.0	110.0	111.0	112.0	113.0	114.0	115.0	116.0	117.0	118.0	119.0	120.0
GeneName	TP53	PIK3CA	MYC	PIK3R1	PAK1	ERBB2	CCND1	AKT1	SESN1	MAX	FOXA1	PRDM1	CTNNB1	MCL1	RPS6KB1	EGFR	PTEN	NLRC4	GAB2	RB1	MYB	BRCA1	CDH1	ATXN1	CRK	MDM2	CDC42	IKBKB	MAP3K1	RAC1	GRB2	ABL1	APC	JUN	EIF4EBP1	STAT3	COL18A1	LIN28B	AFP	FYN	MTOR	VCAN	ERBB3	FOXO3	GSK3B	CDKN1A	RHOA	ATM	AR	MAP2K4	TBP	VAV2	SOS1	CCNB1	MAP3K7	JAK2	FRS2	NEDD9	ESR1	RELN	MAPK14	BCAR3	IGF1R	SRC	NCK1	SMAD4	ZNF274	E2F1	NCOR1	DYRK1B	ADAMTSL4	PLCG1	TK1	TLE1	SMAD3	ZNF417	SERPINB9	REL	ITGA2B	GATA3	PPP1CA	SMAD1	GADD45A	CHGB	UBE2I	SMAD2	SP1	DLG1	SMAD9	ATN1	CDKN2B	TGFBR1	TRAF6	XRCC6	BCL10	PLK1	PDGFRB	ZFP36L1	ITGB1	PDPK1	USP7	TRAF2	SF3B1	TCF4	PRKDC	TYK2	RIF1	HUWE1	CSDE1	PTPN12	SETDB1	GIT1	ERC1	AES	RIPK1	ANXA7	SMARCA4	NFKB1	PTPN22	ZNF587	YEATS4
MutualExclScore	110.84285714285711	105.95357142857137	60.06273448773454	8.226190476190476	16.84011544011544	46.35317460317465	52.593253968254004	6.309523809523809	4.211580086580087	0.6666666666666666	6.560714285714285	8.032611832611833	0.0	18.262337662337657	30.211940836940823	5.626190476190477	12.674242424242427	3.083333333333333	16.582972582972584	10.892857142857144	4.25	4.921428571428572	17.726190476190474	0.9166666666666665	0.0	5.980555555555555	0.0	23.057936507936507	21.31904761904762	0.0	0.5	1.1428571428571428	1.6666666666666665	0.5	37.48412698412697	2.1503968253968253	2.8333333333333335	3.9314213564213563	5.038492063492064	0.0	3.1166666666666667	3.25	2.6595238095238094	4.8226911976911975	0.0	0.0	0.8333333333333333	4.916666666666666	1.2833333333333332	16.376190476190477	3.069047619047619	0.3333333333333333	1.3666666666666665	2.4166666666666665	2.0607142857142855	1.9166666666666665	4.847222222222221	2.333333333333333	0.6666666666666666	4.783333333333333	0.3333333333333333	3.502380952380953	14.27265512265512	0.0	0.25	0.14285714285714285	4.506818181818182	1.0	7.166666666666665	5.911904761904761	18.262337662337657	2.6666666666666665	0.0	0.0	0.5333333333333333	3.6972943722943716	2.8785714285714286	0.25	1.7630952380952378	33.666666666666664	0.0	0.0	0.0	2.392857142857143	0.0	0.65	0.8333333333333333	2.75	1.3333333333333333	4.166666666666666	10.384523809523808	0.5833333333333333	0.8333333333333333	0.5333333333333333	2.9250000000000003	0.47619047619047616	0.6666666666666666	2.25	0.75	0.0	0.5	0.0	3.75	0.9166666666666665	3.833333333333334	2.25	2.033333333333333	3.5595238095238098	1.336111111111111	1.1666666666666665	1.8166666666666664	1.0	7.070634920634921	0.0	2.695238095238095	0.0	2.833333333333333	0.3333333333333333	3.0361111111111114	5.397294372294374	5.680555555555555
MutQty	184	195	128	16	65	107	121	10	21	2	17	32	0	64	77	15	29	7	61	22	8	15	33	3	0	24	0	61	46	0	1	4	3	1	93	11	6	21	19	0	8	9	9	24	0	0	2	11	4	37	9	1	4	7	10	5	22	6	2	13	1	14	32	0	1	1	22	2	17	18	64	5	0	0	2	19	10	1	9	54	0	0	0	7	0	3	2	6	2	8	28	2	2	2	6	2	2	7	2	0	1	0	9	3	8	4	6	9	6	3	7	1	19	0	11	0	6	1	11	24	25
TCGA-A8-A06Q-01	1	1		1																																																																																																											1						1		1		
TCGA-A8-A07B-01	1	1								1																																																																																																															
TCGA-AO-A03N-01	1	1																	1																														1																																																																								
TCGA-D8-A143-01	1	1																		1																																																																																																					
TCGA-AR-A1AS-01	1	1																						1																										1																																																																							
TCGA-BH-A0B0-01	1	1																																		1																																																																								1													
TCGA-B6-A0RH-01	1	1																																			1													1																																															1																						1		
TCGA-B6-A0IE-01	1	1																																								1																																																																															
TCGA-A2-A04P-01	1	1																																									1										1																																																										1										
TCGA-B6-A0IK-01	1	1																																									1																																											1																																		1	
TCGA-BH-A0GY-01	1	1																																																1																																																																							
TCGA-A8-A092-01	1	1																																																				1																																																																			
TCGA-BH-A0BT-01	1	1																																																								1																																																															
TCGA-AN-A0AJ-01	1	1																																																										1																																																													
TCGA-A8-A084-01	1	1																																																															1																																	1																							
TCGA-A8-A08R-01	1	1																																																																			1																																																				
TCGA-AN-A04C-01	1	1																																																																												1																																	1										
TCGA-A8-A075-01	1	1																																																																																																					1																		
TCGA-C8-A12L-01	1	1																																																																																																													1										
TCGA-A2-A0EQ-01	1	1																																																																																																																			1				
TCGA-A2-A0YH-01	1	1																																																																																																																				1			
TCGA-AO-A0JE-01	1	1																																																																																																																						1	
TCGA-A2-A0EY-01	1	1																																																																																																																						1	
TCGA-C8-A131-01	1	1																																																																																																																							
TCGA-A8-A08P-01	1	1																																																																																																																							
TCGA-BH-A0DL-01	1	1																																																																																																																							
TCGA-BH-A0BF-01	1	1																																																																																																																							
TCGA-C8-A1HF-01	1	1																																																																																																																							
TCGA-E2-A15E-06	1	1																																																																																																																							
TCGA-AO-A03O-01	1	1																																																																																																																							
TCGA-AO-A03L-01	1	1																																																																																																																							
TCGA-E2-A14Y-01	1	1																																																																																																																							
TCGA-C8-A130-01	1	1																																																																																																																							
TCGA-A2-A0CW-01	1	1																																																																																																																							
TCGA-A8-A06U-01	1	1																																																																																																																							
TCGA-A7-A0CJ-01	1	1																																																																																																																							
TCGA-AR-A1AW-01	1	1																																																																																																																							
TCGA-A8-A081-01	1	1																																																																																																																							
TCGA-BH-A0BC-01	1	1																																																																																																																							
TCGA-A2-A0D1-01	1	1																																																																																																																							
TCGA-E2-A15E-01	1	1																																																																																																																							
TCGA-BH-A18H-01	1	1																																																																																																																							
TCGA-A2-A04W-01	1	1																																																																																																																							
TCGA-D8-A147-01	1		1																																																																																																																						
TCGA-C8-A135-01	1			1		1																																																																																																																			
TCGA-C8-A12Z-01	1			1																																																																																																																					
TCGA-BH-A0DI-01	1			1																																																																																																																					
TCGA-A2-A0SW-01	1			1																																																																																																																					
TCGA-AR-A0U0-01	1			1																																																																																																																					
TCGA-A2-A0CX-01	1				1																																																																																			1																																	
TCGA-C8-A1HM-01	1				1																																																																																									1																					1				1		
TCGA-BH-A0BP-01	1						1											1																																																																																																							
TCGA-A8-A094-01	1							1								1																1																																		1																		1												1																									
TCGA-BH-A0BR-01	1							1																																																																								1																																									
TCGA-BH-A18T-01	1										1																																																																																																			1											
TCGA-B6-A0I9-01	1											1																																																																																																													
TCGA-A8-A09N-01	1											1																																																																																																													
TCGA-AO-A12G-01	1															1	1																								1																																																																																
TCGA-AR-A0TV-01	1															1																																																					1																																																				
TCGA-BH-A0B7-01	1															1																																																																																								1																	
TCGA-C8-A1HG-01	1															1																																																																																																									
TCGA-A2-A0SV-01	1																1																																																														1																																										
TCGA-E2-A14Z-01	1																1																																																																																																								
TCGA-A8-A06O-01	1																1																																																																																																								
TCGA-D8-A13Z-01	1																1																																																																																																								
TCGA-AR-A1AJ-01	1																1																																																																																																								
TCGA-E2-A155-01	1																	1																																																														1																																									
TCGA-A2-A0YM-01	1																	1																																																																																																							
TCGA-AN-A0FY-01	1																			1																																																				1																																																	
TCGA-AR-A1AQ-01	1																			1																																																																						1																															
TCGA-E2-A159-01	1																			1																																																																																																					
TCGA-D8-A142-01	1																				1																																																																																																				
TCGA-B6-A0RE-01	1																				1																																																																																																				
TCGA-A1-A0SO-01	1																					1						1																					1																																																														1										
TCGA-AR-A0U4-01	1																					1																																													1																															1																							
TCGA-BH-A0WA-01	1																					1																																																																																																			
TCGA-B6-A0X1-01	1																					1																																																																																																			
TCGA-AN-A0XU-01	1																					1																																																																																																			
TCGA-A8-A09X-01	1																						1																																																																																																		
TCGA-BH-A0B3-01	1																							1								1																																																																																									
TCGA-A8-A07O-01	1																							1																								1																																																																									
TCGA-E2-A158-01	1																									1											1																																																																																				
TCGA-BH-A0DZ-01	1																												1												1														1					1																																																													
TCGA-AN-A0AS-01	1																												1																																																																																												
TCGA-AO-A0J6-01	1																														1																																																																																										
TCGA-C8-A12K-01	1																																1																																																																							1																	
TCGA-E2-A14R-01	1																																				1																																																																																				
TCGA-AR-A1AY-01	1																																						1																																																																																		
TCGA-BH-A0E6-01	1																																								1																																																																																
TCGA-AR-A0TX-01	1																																									1											1																															1				1																															1		
TCGA-A2-A0YG-01	1																																									1																		1																																																													
TCGA-A7-A0CE-01	1																																									1																																																																															
TCGA-C8-A12P-01	1																																									1																																																																															
TCGA-AN-A0FV-01	1																																										1																																																																														
TCGA-AN-A0FX-01	1																																										1																																																																														
TCGA-BH-A0E0-01	1																																														1																																																																										
TCGA-AO-A129-01	1																																															1																																																																									
TCGA-A8-A07R-01	1																																																1							1																																																																	
TCGA-A2-A0SX-01	1																																																				1																																																																				
TCGA-BH-A0AW-01	1																																																							1																																																																	
TCGA-AN-A0FT-01	1																																																									1																																			1																												
TCGA-A8-A07W-01	1																																																									1																																																															
TCGA-AR-A0U1-01	1																																																									1																																																															
TCGA-A2-A0D2-01	1																																																											1		1																																																											
TCGA-AN-A0XN-01	1																																																											1																								1															1																						
TCGA-D8-A13Y-01	1																																																											1																																																													
TCGA-BH-A1F0-01	1																																																													1																																																											
TCGA-BH-A0C3-01	1																																																														1																																																										
TCGA-AO-A0J2-01	1																																																																					1																																																			
TCGA-AO-A12D-01	1																																																																							1																				1																													
TCGA-BH-A18U-01	1																																																																							1																																																	
TCGA-E2-A152-01	1																																																																										1											1																					1								1						
TCGA-AR-A1AP-01	1																																																																															1																																									
TCGA-AQ-A04H-01	1																																																																															1																																									
TCGA-AR-A0U2-01	1																																																																															1																																									
TCGA-AN-A0FJ-01	1																																																																																						1																		1																
TCGA-AN-A0AR-01	1																																																																																						1																																		
TCGA-C8-A12Q-01	1																																																																																													1																	1										
TCGA-BH-A0HY-01	1																																																																																																						1																		
TCGA-B6-A0I2-01	1																																																																																																						1																		
TCGA-A7-A13D-01	1																																																																																																								1																
TCGA-AO-A0JL-01	1																																																																																																										1														
TCGA-E2-A109-01	1																																																																																																												1												
TCGA-A8-A07U-01	1																																																																																																													1											
TCGA-AR-A0TP-01	1																																																																																																																								
TCGA-A2-A0CM-01	1																																																																																																																								
TCGA-B6-A0WX-01	1																																																																																																																								
TCGA-A8-A09Q-01	1																																																																																																																								
TCGA-B6-A0RS-01	1																																																																																																																								
TCGA-E2-A15M-01	1																																																																																																																								
TCGA-AR-A1AH-01	1																																																																																																																								
TCGA-A2-A0YJ-01	1																																																																																																																								
TCGA-BH-A0RX-01	1																																																																																																																								
TCGA-AO-A03V-01	1																																																																																																																								
TCGA-AN-A0FL-01	1																																																																																																																								
TCGA-B6-A0IJ-01	1																																																																																																																								
TCGA-A8-A08X-01	1																																																																																																																								
TCGA-A8-A079-01	1																																																																																																																								
TCGA-C8-A138-01	1																																																																																																																								
TCGA-C8-A12W-01	1																																																																																																																								
TCGA-A8-A08I-01	1																																																																																																																								
TCGA-A2-A0T2-01	1																																																																																																																								
TCGA-C8-A12O-01	1																																																																																																																								
TCGA-BH-A1EV-01	1																																																																																																																								
TCGA-C8-A134-01	1																																																																																																																								
TCGA-A7-A0DA-01	1																																																																																																																								
TCGA-BH-A0HX-01	1																																																																																																																								
TCGA-A2-A0T1-01	1																																																																																																																								
TCGA-B6-A0IQ-01	1																																																																																																																								
TCGA-AO-A0J4-01	1																																																																																																																								
TCGA-BH-A18Q-01	1																																																																																																																								
TCGA-E2-A1B0-01	1																																																																																																																								
TCGA-A2-A0D0-01	1																																																																																																																								
TCGA-AN-A0XT-01	1																																																																																																																								
TCGA-E2-A14P-01	1																																																																																																																								
TCGA-AO-A0JD-01	1																																																																																																																								
TCGA-BH-A0H7-01	1																																																																																																																								
TCGA-E2-A14N-01	1																																																																																																																								
TCGA-AQ-A04L-01	1																																																																																																																								
TCGA-AR-A1AI-01	1																																																																																																																								
TCGA-BH-A0BL-01	1																																																																																																																								
TCGA-BH-A0B9-01	1																																																																																																																								
TCGA-E2-A14X-01	1																																																																																																																								
TCGA-AQ-A04J-01	1																																																																																																																								
TCGA-BH-A0AV-01	1																																																																																																																								
TCGA-B6-A0RU-01	1																																																																																																																								
TCGA-BH-A18V-01	1																																																																																																																								
TCGA-E2-A108-01	1																																																																																																																								
TCGA-AR-A0U3-01	1																																																																																																																								
TCGA-BH-A0BG-01	1																																																																																																																								
TCGA-E2-A150-01	1																																																																																																																								
TCGA-AN-A0AL-01	1																																																																																																																								
TCGA-A2-A0T3-01	1																																																																																																																								
TCGA-A1-A0SK-01	1																																																																																																																								
TCGA-AR-A1AN-01	1																																																																																																																								
TCGA-BH-A0C0-01	1																																																																																																																								
TCGA-E2-A1B6-01	1																																																																																																																								
TCGA-AR-A0TS-01	1																																																																																																																								
TCGA-AO-A03R-01	1																																																																																																																								
TCGA-A8-A097-01	1																																																																																																																								
TCGA-AO-A124-01	1																																																																																																																								
TCGA-A2-A04U-01	1																																																																																																																								
TCGA-AO-A0JB-01	1																																																																																																																								
TCGA-AN-A0G0-01	1																																																																																																																								
TCGA.C8.A12P.01		0	0			0					0			0	0																																																								0																																																		
