>HSPG2,4.752558666545615
HSPG2,ATF7IP,any
ATF7IP,SMAD4,any
SMAD4,PAPPA2,any
>HSPG2,4.882648623670933
HSPG2,ATF7IP,any
LAMA4,TP53,any
ATF7IP,LAMA4,any
>HSPG2,4.660561303681721
CSPG4,ATF7IP,any
ATF7IP,HSPG2,any
ATF7IP,SMAD4,any
>HSPG2,4.751939971837265
CACNA1A,HSPG2,any
MATK,ERBB2,any
MATK,CACNA1A,any
>HSPG2,4.651086710817095
HSPG2,ATF7IP,any
ATF7IP,SMAD4,any
ATF7IP,PAPPA,any
>ARID3A,4.935372951867587
TP53,APC,any
ARID3A,TP53,any
APC,CTNNB1,any
>ARID3A,4.924555289940328
HDAC2,SKIL,any
ARID3A,TP53,any
TP53,HDAC2,any
>ARID3A,4.690054562884515
SERPINE1,TP53,any
TP53,ARID3A,any
SERPINE1,SMAD4,any
>ARID3A,4.799744988038835
TP53,APC,any
ARID3A,TP53,any
TP53,HDAC2,any
>ARID3A,4.922740671135901
TP53,HGF,any
HGF,CDH1,any
ARID3A,TP53,any
>PMS2,5.498391553952188
PNISR,APC,any
APC,TP53,any
TP53,PMS2,any
>PMS2,5.549020785856904
TP53,APC,any
PMS2,TP53,any
APC,CTNNB1,any
>PMS2,5.481789815105497
PMS2,TP53,any
TP53,RNF4,any
RNF4,SKIL,any
>PMS2,5.608147748954313
TP53,PTEN,any
PMS2,TP53,any
PTEN,PIK3CA,any
>PMS2,5.473953879533608
HDAC2,SKIL,any
PMS2,TP53,any
TP53,HDAC2,any
>STAT1,5.338958975033728
EGFR,TP53,any
STAT1,EGFR,any
STAT1,ERBB2,any
>STAT1,5.114772343794642
ERBB2,CDH1,any
EGFR,TP53,any
STAT1,EGFR,any
STAT1,ERBB2,any
>STAT1,5.193743508567634
CTNNB1,EGFR,any
EGFR,TP53,any
EGFR,STAT1,any
>STAT1,4.976959746674578
EGFR,TP53,any
STAT1,EGFR,any
IRF1,STAT1,any
>STAT1,5.078866859296337
EGFR,JAK2,any
EGFR,TP53,any
STAT1,EGFR,any
>CRK,4.832426328586625
CDH1,PIK3CA,any
HGF,TP53,any
CDH1,HGF,any
PIK3CA,CRK,any
>CRK,5.020755483822564
HGF,TP53,any
HGF,CRK,any
CRK,PIK3CA,any
>CRK,4.99669819123325
PTEN,TP53,any
PTEN,PIK3CA,any
PIK3CA,CRK,any
>CRK,4.862122252545279
EPHA2,TP53,any
PIK3CA,CRK,any
EPHA2,PIK3CA,any
