GeneA	GeneB	MEScore
GSK3B	TP53	0.0
ATM	TP53	8.395982542468793
EGFR	TLN1	4.81616408206844
CDC42	RAC1	0.0
APC	CDC42	0.0
CTNNB1	CCND1	4.721267256134816
CDC42	TP53	0.0
USP7	TP53	6.893355926272211
CDC42	CTNNB1	0.0
TP53	UFD1L	0.0
LAMA4	TP53	7.354132513569417
CTNNB1	TRRAP	3.872983346207417
APC	GSK3B	0.0
CDH1	CTNNB1	4.345702427539887
CHD3	SLC38A1	2.682482845102914
JAK2	PIK3CA	5.364965690205828
PPP1CA	TP53	0.0
TP53	TRRAP	7.84428877022476
UBE2I	SETDB1	0.0
RAC1	CDH1	4.411365407256625
TP53	UBE2I	0.0
PIK3CA	RAC1	5.0
AR	PIK3CA	4.616352286727508
APC	CTNNB1	4.973247104884685
TP53	ZCCHC10	7.59851926338257
MAX	ERBB2	0.0
CTNNB1	HGF	3.4519675234711604
CTNNB1	TERT	4.49285081381235
AR	SMAD4	5.477010251906762
MAX	TP53	0.0
RNF4	UBE2I	0.0
EGFR	ERBB2	6.328744363436015
EEF1A1	LAMA4	3.109796058154412
TP53	XRCC6	0.0
APC	RAC1	5.038910084601422
EGFR	JAK2	5.047565954136494
SP1	TP53	7.2201579173538555
CDC42	CDH1	0.0
EEF1A1	SMAD4	5.221193774724449
MAX	SP1	0.0
CTNNB1	EGFR	4.486001429900101
GSK3B	MAX	0.0
XRCC6	SKIL	0.0
TP53	PMS2	7.627635761991542
EEF1A1	ZCCHC10	3.232050807568877
SMAD4	SP1	5.088448176547862
HDAC2	SKIL	4.216834881229852
HDAC2	TRRAP	3.4519675234711604
CREB3	SLC38A1	3.1256512932642897
HGF	CDC42	0.0
HDAC2	TP53	7.873774391990981
PIK3CA	RHOA	4.739610668849677
AR	XRCC6	0.0
TP53	APC	8.246211251235321
MAX	SMAD4	0.0
RAC1	CTNNB1	3.9364916731037085
SKIL	SETDB1	5.0793602351094504
HDAC2	SMAD4	5.406285421743645
TRRAP	TERT	4.5822429841683
CTNNB1	RHOA	3.8393306618899237
PIK3CA	CCND1	5.807520946699436
SETDB1	SLC38A1	3.5023251273026323
GSK3B	AR	0.0
RNF4	IKBKG	3.789079046666152
TERT	XRCC6	0.0
EEF1A1	IKBKG	3.866252611759662
PIK3CA	PTEN	4.286494885642109
APC	LAMA4	4.516631973870809
SP1	TERT	3.944897775957674
ERBB2	TLN1	6.244425969177303
TP53	EGFR	7.913310396776102
CDH1	PIK3CA	5.355955653206168
TP53	HGF	7.7781745930520225
APC	SETDB1	5.123414991287802
TERT	CCND1	5.159256015953175
SMAD4	SKIL	6.495125509816374
CTNNB1	GSK3B	0.0
HDAC2	SP1	3.018458151313612
ERBB2	JAK2	6.0
TP53	PTEN	7.945099860763118
SP1	APC	4.306951872876077
HDAC2	TERT	4.179215041437506
ITGAV	RHOA	4.854549806768077
TP53	VCAN	7.569033641616349
CASP1	CASP3	3.105022542842907
ATM	IKBKG	4.685557720282968
AR	CTNNB1	3.739267310835703
SMAD4	UBE2I	0.0
CHD3	GSK3B	0.0
EEF1A1	GSK3B	0.0
CDH1	RHOA	3.9263467099959044
AR	CCND1	4.675056961001009
CHD3	SKIL	4.0760738802997025
RNF4	TP53	7.787987954364076
HDAC2	MAX	0.0
PIK3CA	UFD1L	0.0
CDH1	ERBB2	6.551227693115397
AR	UBE2I	0.0
CDH1	HGF	4.133186129330616
TP53	CASP1	6.893355926272211
EGFR	RAC1	3.9790545917405495
DDX5	PIK3CA	3.7071067811865475
MAX	TERT	0.0
RNF4	SKIL	4.458039891549808
TP53	SESN1	7.945099860763118
CDH1	EGFR	5.049509756796392
CHD3	HDAC2	2.9203273671729058
ITGAV	TLN1	5.39834563766817
EGFR	TERT	4.73606797749979
DDX5	TP53	6.893355926272211
SKIL	UBE2I	0.0
TP53	SLC38A1	7.4819950194288225
CHD3	TP53	7.061239294755965
RHOA	RAC1	4.0
CTNNB1	VCAN	3.6685424806725857
MAX	TRRAP	0.0
