GeneSymbol	PosteriorP	Selected	ConvergenceIter	KnownCancerGene		BestSSN
TP53	0.5	true	-1	true	Set()	0.0
APC	0.5	true	-1	true	Set()	0.0
SMAD4	0.5	true	-1	true	Set()	0.0
PIK3CA	0.5	true	-1	true	Set()	0.0
EGFR	0.5	true	-1	true	Set()	0.0
CTNNB1	0.5	true	-1	true	Set()	0.0
ERBB2	0.5	true	-1	true	Set()	0.0
SKIL	0.5	true	-1	false	Set()	0.0
HDAC2	0.5	true	-1	false	Set()	0.0
ATM	0.5	true	-1	true	Set()	0.0
CDH1	0.5	true	-1	true	Set()	0.0
PTEN	0.5	true	-1	true	Set()	0.0
RNF4	0.5	true	-1	false	Set()	0.0
VCAN	0.5	true	-1	false	Set()	0.0
SESN1	0.5	true	-1	false	Set()	0.0
HGF	0.5	true	-1	false	Set()	0.0
IKBKG	0.5	true	-1	false	Set()	0.0
RAC1	0.5	true	-1	true	Set()	0.0
TRRAP	0.5	true	-1	true	Set()	0.0
RHOA	0.5	true	-1	true	Set()	0.0
ZCCHC10	0.5	true	-1	false	Set()	0.0
TERT	0.5	true	-1	true	Set()	0.0
TLN1	0.5	true	-1	false	Set()	0.0
UBE2I	0.5	true	-1	false	Set()	0.0
SP1	0.5	true	-1	false	Set()	0.0
CASP3	0.5	true	-1	true	Set()	0.0
CREB3	0.5	true	-1	false	Set()	0.0
CDC42	0.5	true	-1	true	Set()	0.0
SLC38A1	0.5	true	-1	false	Set()	0.0
AR	0.5	true	-1	true	Set()	0.0
DDX5	0.5	true	-1	true	Set()	0.0
PMS2	0.5	true	-1	true	Set()	0.0
ITGAV	0.5	true	-1	false	Set()	0.0
UFD1L	0.5	true	-1	false	Set()	0.0
SETDB1	0.5	true	-1	false	Set()	0.0
JAK2	0.5	true	-1	true	Set()	0.0
CCND1	0.5	true	-1	true	Set()	0.0
CASP1	0.5	true	-1	false	Set()	0.0
XRCC6	0.5	true	-1	false	Set()	0.0
LAMA4	0.5	true	-1	true	Set()	0.0
EEF1A1	0.5	true	-1	false	Set()	0.0
PPP1CA	0.5	true	-1	false	Set()	0.0
CHD3	0.5	true	-1	true	Set()	0.0
MAX	0.5	true	-1	true	Set()	0.0
GSK3B	0.5	true	-1	false	Set()	0.0
USP7	0.5	true	-1	false	Set()	0.0
