GeneA	GeneB	MEScore
SYNE1	DTNBP1	4.3471617258268065
APH1A	ZNF274	2.7368540971714093
SIRT1	CDKN1A	0.0
ITGB3	PAK1	0.0
AR	NCOA1	2.802775637731995
ATF2	MMP2	0.0
CRMP1	MCM3AP	1.7677669529663689
HDAC1	SMAD4	0.0
APC	NOSTRIN	3.8296057803857466
BARD1	XRCC5	0.0
HDAC1	KAT5	0.0
PAFAH1B3	ZBTB16	0.0
NGF	ZNF274	1.7320508075688772
RHOA	FYN	2.7071067811865475
HDLBP	SMAD4	4.980060365114244
PTPRB	TEK	2.802775637731995
CBL	HGF	3.232050807568877
GSK3B	TP53	0.0
SMAD7	SMAD2	0.0
EDNRA	AKT1	1.8251407699364424
LAMA4	RIF1	2.618033988749895
PIAS3	SMAD2	2.7699686802504155
CAV1	TGFBR1	2.224744871391589
EGF	CAV1	1.8660254037844386
EWSR1	TRAF2	0.0
SDC2	PIK3R1	0.0
NCOA2	KLK3	0.0
ERBB2	VAV2	0.0
SREBF2	PIAS2	1.7071067811865475
MDM2	YY1	0.0
CBL	EGF	2.3660254037844384
CTNNB1	PTPN12	3.0545256618536034
EHMT2	NCOA2	2.7370892179053907
NGFR	TK1	0.0
CARM1	GADD45A	0.0
TP53	IGFBP3	6.893355926272211
CDC42	EPS8	0.0
GOLGA2	PIN1	0.0
DLEU1	COPS6	0.0
APC	LRP6	4.347243870590788
AXIN1	MAX	0.0
SPTBN1	SREBF2	1.8660254037844386
ERBB3	JAK2	4.280334515603078
PRKDC	XRCC5	2.618033988749895
AKT1	ZHX1	0.0
ESR1	COL1A2	0.0
ITGB4	SREBF2	2.0
CDKN1A	TLE1	0.0
EGFR	PIK3R2	3.5495097567963922
TEK	CDKN1A	0.0
GSK3B	ZHX1	0.0
CHD3	BHLHE40	3.0618621784789726
CDK6	TGFBR1	4.182784762941397
ITGA4	TLN1	3.4632418686616098
ITGB1	ITGB4	2.3228756555322954
CCNE1	RB1	4.588175023601831
RBBP4	TFDP1	0.0
HDAC2	CDKN1A	0.0
EGFR	SYK	0.0
MAX	DKK1	0.0
RBBP4	SMAD4	4.381341395361315
