SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
0	0	0	0	
1	1	0	100	TP53
2	2	0	100	TP53,APC
3	3	0	100	TP53,APC,SMAD4
6	6	0	100	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA
7	7	0	100	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2
8	7	1	87	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,SKIL
9	7	2	77	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,HDAC2,SKIL
10	8	2	80	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,HDAC2,SKIL
11	9	2	81	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,HDAC2,SKIL
12	10	2	83	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,HDAC2,SKIL
13	10	3	76	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,HDAC2,SKIL,RNF4
14	10	4	71	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,HDAC2,SKIL,VCAN,RNF4
15	10	5	66	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,HDAC2,SKIL,VCAN,RNF4,SESN1
16	10	6	62	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,HDAC2,SKIL,VCAN,RNF4,SESN1,HGF
17	10	7	58	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,HDAC2,SKIL,VCAN,RNF4,SESN1,HGF,IKBKG
18	11	7	61	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,RAC1,HDAC2,SKIL,VCAN,RNF4,SESN1,HGF,IKBKG
19	12	7	63	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,TRRAP,RAC1,HDAC2,SKIL,VCAN,RNF4,SESN1,HGF,IKBKG
20	13	7	65	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,TRRAP,RAC1,RHOA,HDAC2,SKIL,VCAN,RNF4,SESN1,HGF,IKBKG
22	14	8	63	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,TRRAP,RAC1,TERT,RHOA,HDAC2,SKIL,VCAN,RNF4,SESN1,HGF,ZCCHC10,IKBKG
23	14	9	60	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,TRRAP,RAC1,TERT,RHOA,HDAC2,SKIL,VCAN,RNF4,SESN1,HGF,ZCCHC10,TLN1,IKBKG
24	14	10	58	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,TRRAP,RAC1,TERT,RHOA,HDAC2,SKIL,VCAN,RNF4,SESN1,HGF,ZCCHC10,TLN1,IKBKG,UBE2I
26	15	11	57	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,TRRAP,CASP3,RAC1,TERT,RHOA,HDAC2,SKIL,VCAN,RNF4,SP1,SESN1,HGF,ZCCHC10,TLN1,IKBKG,UBE2I
27	15	12	55	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,TRRAP,CASP3,RAC1,TERT,RHOA,HDAC2,SKIL,VCAN,RNF4,SP1,SESN1,HGF,CREB3,ZCCHC10,TLN1,IKBKG,UBE2I
29	16	13	55	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,TRRAP,CASP3,RAC1,TERT,RHOA,CDC42,HDAC2,SKIL,VCAN,RNF4,SP1,SESN1,HGF,CREB3,ZCCHC10,SLC38A1,TLN1,IKBKG,UBE2I
30	17	13	56	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,TRRAP,CASP3,RAC1,TERT,RHOA,AR,CDC42,HDAC2,SKIL,VCAN,RNF4,SP1,SESN1,HGF,CREB3,ZCCHC10,SLC38A1,TLN1,IKBKG,UBE2I
32	19	13	59	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,TRRAP,DDX5,CASP3,PMS2,RAC1,TERT,RHOA,AR,CDC42,HDAC2,SKIL,VCAN,RNF4,SP1,SESN1,HGF,CREB3,ZCCHC10,SLC38A1,TLN1,IKBKG,UBE2I
33	19	14	57	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,TRRAP,DDX5,CASP3,PMS2,RAC1,TERT,RHOA,AR,CDC42,HDAC2,SKIL,VCAN,RNF4,SP1,SESN1,HGF,CREB3,ZCCHC10,SLC38A1,TLN1,IKBKG,UBE2I,ITGAV
34	19	15	55	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,TRRAP,DDX5,CASP3,PMS2,RAC1,TERT,RHOA,AR,CDC42,HDAC2,SKIL,VCAN,RNF4,SP1,SESN1,HGF,CREB3,ZCCHC10,SLC38A1,TLN1,IKBKG,UFD1L,UBE2I,ITGAV
35	19	16	54	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,TRRAP,DDX5,CASP3,PMS2,RAC1,TERT,RHOA,AR,CDC42,HDAC2,SKIL,VCAN,RNF4,SP1,SESN1,HGF,CREB3,ZCCHC10,SLC38A1,TLN1,SETDB1,IKBKG,UFD1L,UBE2I,ITGAV
36	20	16	55	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,TRRAP,DDX5,CASP3,PMS2,RAC1,TERT,RHOA,AR,CDC42,JAK2,HDAC2,SKIL,VCAN,RNF4,SP1,SESN1,HGF,CREB3,ZCCHC10,SLC38A1,TLN1,SETDB1,IKBKG,UFD1L,UBE2I,ITGAV
37	21	16	56	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,TRRAP,DDX5,CASP3,PMS2,RAC1,TERT,RHOA,AR,CDC42,CCND1,JAK2,HDAC2,SKIL,VCAN,RNF4,SP1,SESN1,HGF,CREB3,ZCCHC10,SLC38A1,TLN1,SETDB1,IKBKG,UFD1L,UBE2I,ITGAV
39	21	18	53	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,TRRAP,DDX5,CASP3,PMS2,RAC1,TERT,RHOA,AR,CDC42,CCND1,JAK2,HDAC2,SKIL,VCAN,RNF4,SP1,SESN1,HGF,CASP1,CREB3,ZCCHC10,SLC38A1,TLN1,SETDB1,IKBKG,UFD1L,UBE2I,ITGAV,XRCC6
41	22	19	53	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,TRRAP,DDX5,CASP3,PMS2,RAC1,TERT,LAMA4,RHOA,AR,CDC42,CCND1,JAK2,HDAC2,SKIL,VCAN,RNF4,SP1,SESN1,HGF,CASP1,CREB3,ZCCHC10,SLC38A1,TLN1,SETDB1,IKBKG,UFD1L,UBE2I,ITGAV,XRCC6,EEF1A1
42	22	20	52	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,TRRAP,DDX5,CASP3,PMS2,RAC1,TERT,LAMA4,RHOA,AR,CDC42,CCND1,JAK2,HDAC2,SKIL,VCAN,RNF4,SP1,SESN1,HGF,CASP1,CREB3,ZCCHC10,SLC38A1,TLN1,SETDB1,IKBKG,UFD1L,UBE2I,ITGAV,XRCC6,EEF1A1,PPP1CA
43	23	20	53	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,TRRAP,DDX5,CASP3,PMS2,CHD3,RAC1,TERT,LAMA4,RHOA,AR,CDC42,CCND1,JAK2,HDAC2,SKIL,VCAN,RNF4,SP1,SESN1,HGF,CASP1,CREB3,ZCCHC10,SLC38A1,TLN1,SETDB1,IKBKG,UFD1L,UBE2I,ITGAV,XRCC6,EEF1A1,PPP1CA
45	24	21	53	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,TRRAP,DDX5,CASP3,PMS2,CHD3,RAC1,TERT,LAMA4,RHOA,AR,CDC42,CCND1,JAK2,MAX,HDAC2,SKIL,VCAN,RNF4,SP1,SESN1,HGF,CASP1,CREB3,ZCCHC10,SLC38A1,TLN1,SETDB1,IKBKG,UFD1L,UBE2I,ITGAV,XRCC6,EEF1A1,GSK3B,PPP1CA
46	24	22	52	TP53,APC,CTNNB1,EGFR,SMAD4,PIK3CA,ERBB2,ATM,CDH1,PTEN,TRRAP,DDX5,CASP3,PMS2,CHD3,RAC1,TERT,LAMA4,RHOA,AR,CDC42,CCND1,JAK2,MAX,HDAC2,SKIL,VCAN,RNF4,SP1,SESN1,HGF,CASP1,CREB3,ZCCHC10,SLC38A1,USP7,TLN1,SETDB1,IKBKG,UFD1L,UBE2I,ITGAV,XRCC6,EEF1A1,GSK3B,PPP1CA
