Gene	TP53	APC	CTNNB1	EGFR	SMAD4	PIK3CA	ERBB2	HDAC2	ATM	SKIL	VCAN	CDH1	PTEN	RNF4	SP1	SESN1	HGF	TRRAP	DDX5	CASP1	CASP3	PLK3	CREB3	PMS2	ZCCHC10	SLC38A1	USP7	CHD3	RAC1	TERT	LAMA4	KAT2B	TLN1	E2F1	RHOA	AR	BRCA1	SETDB1	EPHA2	CDC42	ERBB3	IKBKG	UFD1L	HTT	CD82	SERPINE1	UBE2I	DKK1	ITGAV	XRCC6	PRKDC	EEF1A1	RFWD2	GSK3B	CCND1	ATR	RB1	PPP1CA	SMARCA4	JAK2	MAX	SORT1	ATF7IP	CCNE1	CAV1	ARNT	SYNE1	HIF1A	GRB2	MYC	MACF1	MDM2	IRS4	HSP90AA1	RBM48	FDXR	CTNNA1	JUN	TGFBR1	PIK3R1	DGCR8	CDKN1A	MCL1	PIAS2	CASP10	CSE1L	BARD1	BCL2L14	NAV3	AKT1	NFYC	ZNF274	SNAI2	PAK1	TRAF6	TK1	RIF1	VDR	MMP2	CDK2	ERBB4	XRCC5	NGFR	SRC	AIFM2	DST	SMAD3	SMAD2	RASA1	MAPK14	ATXN1	NLRC4	BDNF	TSC2	DYRK2	PRKAB1	TP73	SMYD2	PTPRB	HIC1	POU4F2	FOXA1	PRMT1	JMY	PCDHA4	PNISR	TRIP13	SPP1	SMAD9	SNRPN	CTNND1	YY1	SOS1	WDR33	UBE2D1	TP63	ANXA7	PCNA	BCL2L1	MYO6	PRKCD	ZHX1	SAT1	CHGB	TGFBR2	ARIH2	MAGEB18	TFDP1	NLRP1	SYNGAP1	MAP4K4	KAT5	COPS5	BAX	STAT1	ESR2	COL18A1	SIK1	HINFP	NEB	APAF1	SIRT1	PLK1	IGFBP3	ATF3	CDKN1B	RANBP2	CARM1	CBL	FAS	SMN1	PRDM1	MLH1	PTPRJ	EGF	CHEK2	NRXN1	LRP6	SETD8	STEAP3	NUP88	TRIAP1	CX3CL1	PTPN12	DVL2	CDH2	LIF	SMAD5	NCK1	PIN1	PIAS3	CACNA1A	PAPPA2	PIK3R3	MSH2	OBSCN	STK11	GSTM4	CLNK	GOLGA2	CCNB1	CHEK1	SFN	NUP153	TERF2	ARID3A	ZNF24	TRIM28	ITGB1	TYRP1	E4F1	PERP	FBXO11	PIP5K1C	ABL1	ANKS1B	CRMP1	PTPRC	STAT3	MET	BCL6	TADA2B	ERH	HBEGF	PDZD2	NOTCH2NL	ZMYM2	GADD45A	VIM	TNFRSF10A	CRK	ANKS1A	SH3GL3	HIPK2	CCNK	EXOC3	PDGFRB	MEOX2	SERPINB5	MAP3K7	SAP18	UNC119	AURKA	CCL18	CCNA2	COL1A2	CDK6	NCOA2	MPHOSPH6	MYO16	RRM2B	MTOR	LNX1	NCOR1	NUP214	APBB3	PPP1R13L	DISC1	DAB1	PIAS4	TAF9	TP53I3	RBBP7	PAFAH1B3	EEF1G	ZNF512B	SNIP1	SIPA1L1	ATF2	AP2B1	S100A8	PYCARD	SERPINB9	DOK4	TRAF2	MBD5	PCBP4	MAPK6	DVL1	RAD50	NOTCH1	NGF	ABL2	EPAS1	NDRG1	SMAD1	GDF15	APH1A	UBQLN4	BLK	ACTN1	RCC1	SKP1	ANXA3	CEP63	APOH	SUPT6H	COPS6	VAV2	ZBTB16	CEBPZ	ZNF384	KIF5B	MEF2C	HGS	FN1	BMP1	TNIK	GLI3	PRPF40A	TDG	TNS3	ITGA4	CTSD	SPTBN2	AES	CDC25C	EWSR1	AFP	MATK	ANKRD17	APBA3	ASCC3	HDAC1	ARL3	DOK6	FBLN1	AXIN2	PEG3	CASP4	NUP98	SHC3	FXYD6	WNK1	ESR1	NRG2	GIGYF2	GRB7	APBB1	RBBP4	CDC5L	VAV1	PRKACA	DKC1	MAPK8IP2	ARHGEF4	UBE3A	SH2B3	IRS1	NCKAP5	APLP1	EREG	NRAS	BHLHE40	VAV3	FYN	KDR	CASP8	NUPL2	TCF7L2	WNT3A	LRIF1	PIP5K1A	PAPPA	EMX1	NR3C1	FRS2	AXIN1	SVEP1	SGTA	TFCP2	ARID2	EPS8	BCR	MAPK8IP1	CREBBP	FANCD2	RANBP10	DLG1	PPP1R13B	SREBF2	TLE1	PVRL2	GET4	HSPG2	CIC	COG5	KIAA1549	PVRL1	MAP2K1	EXPH5	CUL1	KIAA1377	NR4A3	NCKAP5L	RYR2	RELN	MTUS2	TAF1	FOXO3	TNS4	PTPN11	PREX2	NOSTRIN	CREB3L1	ZFYVE9	CELSR3	PLCG2	TGFBRAP1	FBXO30	FBXW11	MYH10	ZBTB3	PTPRG	LEF1	AKAP13	NID1	TEK	SH2D2A	ITGB4	LMNB1	PTPRZ1	XPO1	HDLBP	PLCG1	YWHAE	PTN	NCOA1	ITGB2	ARL5B	PSG3	SMAD7	TJP1	NBN	EHMT2	KPNB1	SH3GL2	PTPRO	ITK	TIMELESS	BCAR3	PIK3R2	MDM4	SPTBN1	SHC2	YLPM1	CASP6	EP300	SYK	ITGB3	GAB1	AREG	ADAM17	CGNL1	A2M	THSD7A	NAV2	PTPN3	ROCK1	CNTNAP4	MAPK8	ACTN2	NFATC2	ARL4D	APOB	CTBP1	MCM3AP	SNRNP200	VCL	DLEU1	LIMA1	PSG2	IQGAP1	KLK3	PTPRK	SPEG	ABI1	DTNBP1	ATP5C1	SMC3	NKD2	MED12	KRAS	MAGEE1	GAPDH	ITGAM	ITGB7	CEBPA	LAMA3	APBB2	BID	CD44	NAV1	PTP4A1	UBE2D2	SHC1	EDNRA	MED15	SDC2	PPHLN1
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0	101.0	102.0	103.0	104.0	105.0	106.0	107.0	108.0	109.0	110.0	111.0	112.0	113.0	114.0	115.0	116.0	117.0	118.0	119.0	120.0	121.0	122.0	123.0	124.0	125.0	126.0	127.0	128.0	129.0	130.0	131.0	132.0	133.0	134.0	135.0	136.0	137.0	138.0	139.0	140.0	141.0	142.0	143.0	144.0	145.0	146.0	147.0	148.0	149.0	150.0	151.0	152.0	153.0	154.0	155.0	156.0	157.0	158.0	159.0	160.0	161.0	162.0	163.0	164.0	165.0	166.0	167.0	168.0	169.0	170.0	171.0	172.0	173.0	174.0	175.0	176.0	177.0	178.0	179.0	180.0	181.0	182.0	183.0	184.0	185.0	186.0	187.0	188.0	189.0	190.0	191.0	192.0	193.0	194.0	195.0	196.0	197.0	198.0	199.0	200.0	201.0	202.0	203.0	204.0	205.0	206.0	207.0	208.0	209.0	210.0	211.0	212.0	213.0	214.0	215.0	216.0	217.0	218.0	219.0	220.0	221.0	222.0	223.0	224.0	225.0	226.0	227.0	228.0	229.0	230.0	231.0	232.0	233.0	234.0	235.0	236.0	237.0	238.0	239.0	240.0	241.0	242.0	243.0	244.0	245.0	246.0	247.0	248.0	249.0	250.0	251.0	252.0	253.0	254.0	255.0	256.0	257.0	258.0	259.0	260.0	261.0	262.0	263.0	264.0	265.0	266.0	267.0	268.0	269.0	270.0	271.0	272.0	273.0	274.0	275.0	276.0	277.0	278.0	279.0	280.0	281.0	282.0	283.0	284.0	285.0	286.0	287.0	288.0	289.0	290.0	291.0	292.0	293.0	294.0	295.0	296.0	297.0	298.0	299.0	300.0	301.0	302.0	303.0	304.0	305.0	306.0	307.0	308.0	309.0	310.0	311.0	312.0	313.0	314.0	315.0	316.0	317.0	318.0	319.0	320.0	321.0	322.0	323.0	324.0	325.0	326.0	327.0	328.0	329.0	330.0	331.0	332.0	333.0	334.0	335.0	336.0	337.0	338.0	339.0	340.0	341.0	342.0	343.0	344.0	345.0	346.0	347.0	348.0	349.0	350.0	351.0	352.0	353.0	354.0	355.0	356.0	357.0	358.0	359.0	360.0	361.0	362.0	363.0	364.0	365.0	366.0	367.0	368.0	369.0	370.0	371.0	372.0	373.0	374.0	375.0	376.0	377.0	378.0	379.0	380.0	381.0	382.0	383.0	384.0	385.0	386.0	387.0	388.0	389.0	390.0	391.0	392.0	393.0	394.0	395.0	396.0	397.0	398.0	399.0	400.0	401.0	402.0	403.0	404.0	405.0	406.0	407.0	408.0	409.0	410.0	411.0	412.0	413.0	414.0	415.0	416.0	417.0	418.0	419.0	420.0	421.0	422.0	423.0	424.0	425.0	426.0	427.0	428.0	429.0	430.0	431.0	432.0	433.0	434.0	435.0	436.0	437.0	438.0	439.0	440.0	441.0	442.0	443.0	444.0	445.0	446.0	447.0	448.0	449.0	450.0	451.0	452.0	453.0	454.0	455.0	456.0	457.0	458.0	459.0	460.0	461.0	462.0	463.0	464.0	465.0	466.0	467.0	468.0	469.0	470.0	471.0	472.0	473.0	474.0	475.0	476.0	477.0	478.0	479.0	480.0	481.0	482.0	483.0	484.0	485.0	486.0	487.0	488.0	489.0	490.0	491.0	492.0	493.0	494.0	495.0	496.0	497.0	498.0	499.0
GeneName	TP53	APC	CTNNB1	EGFR	SMAD4	PIK3CA	ERBB2	HDAC2	ATM	SKIL	VCAN	CDH1	PTEN	RNF4	SP1	SESN1	HGF	TRRAP	DDX5	CASP1	CASP3	PLK3	CREB3	PMS2	ZCCHC10	SLC38A1	USP7	CHD3	RAC1	TERT	LAMA4	KAT2B	TLN1	E2F1	RHOA	AR	BRCA1	SETDB1	EPHA2	CDC42	ERBB3	IKBKG	UFD1L	HTT	CD82	SERPINE1	UBE2I	DKK1	ITGAV	XRCC6	PRKDC	EEF1A1	RFWD2	GSK3B	CCND1	ATR	RB1	PPP1CA	SMARCA4	JAK2	MAX	SORT1	ATF7IP	CCNE1	CAV1	ARNT	SYNE1	HIF1A	GRB2	MYC	MACF1	MDM2	IRS4	HSP90AA1	RBM48	FDXR	CTNNA1	JUN	TGFBR1	PIK3R1	DGCR8	CDKN1A	MCL1	PIAS2	CASP10	CSE1L	BARD1	BCL2L14	NAV3	AKT1	NFYC	ZNF274	SNAI2	PAK1	TRAF6	TK1	RIF1	VDR	MMP2	CDK2	ERBB4	XRCC5	NGFR	SRC	AIFM2	DST	SMAD3	SMAD2	RASA1	MAPK14	ATXN1	NLRC4	BDNF	TSC2	DYRK2	PRKAB1	TP73	SMYD2	PTPRB	HIC1	POU4F2	FOXA1	PRMT1	JMY	PCDHA4	PNISR	TRIP13	SPP1	SMAD9	SNRPN	CTNND1	YY1	SOS1	WDR33	UBE2D1	TP63	ANXA7	PCNA	BCL2L1	MYO6	PRKCD	ZHX1	SAT1	CHGB	TGFBR2	ARIH2	MAGEB18	TFDP1	NLRP1	SYNGAP1	MAP4K4	KAT5	COPS5	BAX	STAT1	ESR2	COL18A1	SIK1	HINFP	NEB	APAF1	SIRT1	PLK1	IGFBP3	ATF3	CDKN1B	RANBP2	CARM1	CBL	FAS	SMN1	PRDM1	MLH1	PTPRJ	EGF	CHEK2	NRXN1	LRP6	SETD8	STEAP3	NUP88	TRIAP1	CX3CL1	PTPN12	DVL2	CDH2	LIF	SMAD5	NCK1	PIN1	PIAS3	CACNA1A	PAPPA2	PIK3R3	MSH2	OBSCN	STK11	GSTM4	CLNK	GOLGA2	CCNB1	CHEK1	SFN	NUP153	TERF2	ARID3A	ZNF24	TRIM28	ITGB1	TYRP1	E4F1	PERP	FBXO11	PIP5K1C	ABL1	ANKS1B	CRMP1	PTPRC	STAT3	MET	BCL6	TADA2B	ERH	HBEGF	PDZD2	NOTCH2NL	ZMYM2	GADD45A	VIM	TNFRSF10A	CRK	ANKS1A	SH3GL3	HIPK2	CCNK	EXOC3	PDGFRB	MEOX2	SERPINB5	MAP3K7	SAP18	UNC119	AURKA	CCL18	CCNA2	COL1A2	CDK6	NCOA2	MPHOSPH6	MYO16	RRM2B	MTOR	LNX1	NCOR1	NUP214	APBB3	PPP1R13L	DISC1	DAB1	PIAS4	TAF9	TP53I3	RBBP7	PAFAH1B3	EEF1G	ZNF512B	SNIP1	SIPA1L1	ATF2	AP2B1	S100A8	PYCARD	SERPINB9	DOK4	TRAF2	MBD5	PCBP4	MAPK6	DVL1	RAD50	NOTCH1	NGF	ABL2	EPAS1	NDRG1	SMAD1	GDF15	APH1A	UBQLN4	BLK	ACTN1	RCC1	SKP1	ANXA3	CEP63	APOH	SUPT6H	COPS6	VAV2	ZBTB16	CEBPZ	ZNF384	KIF5B	MEF2C	HGS	FN1	BMP1	TNIK	GLI3	PRPF40A	TDG	TNS3	ITGA4	CTSD	SPTBN2	AES	CDC25C	EWSR1	AFP	MATK	ANKRD17	APBA3	ASCC3	HDAC1	ARL3	DOK6	FBLN1	AXIN2	PEG3	CASP4	NUP98	SHC3	FXYD6	WNK1	ESR1	NRG2	GIGYF2	GRB7	APBB1	RBBP4	CDC5L	VAV1	PRKACA	DKC1	MAPK8IP2	ARHGEF4	UBE3A	SH2B3	IRS1	NCKAP5	APLP1	EREG	NRAS	BHLHE40	VAV3	FYN	KDR	CASP8	NUPL2	TCF7L2	WNT3A	LRIF1	PIP5K1A	PAPPA	EMX1	NR3C1	FRS2	AXIN1	SVEP1	SGTA	TFCP2	ARID2	EPS8	BCR	MAPK8IP1	CREBBP	FANCD2	RANBP10	DLG1	PPP1R13B	SREBF2	TLE1	PVRL2	GET4	HSPG2	CIC	COG5	KIAA1549	PVRL1	MAP2K1	EXPH5	CUL1	KIAA1377	NR4A3	NCKAP5L	RYR2	RELN	MTUS2	TAF1	FOXO3	TNS4	PTPN11	PREX2	NOSTRIN	CREB3L1	ZFYVE9	CELSR3	PLCG2	TGFBRAP1	FBXO30	FBXW11	MYH10	ZBTB3	PTPRG	LEF1	AKAP13	NID1	TEK	SH2D2A	ITGB4	LMNB1	PTPRZ1	XPO1	HDLBP	PLCG1	YWHAE	PTN	NCOA1	ITGB2	ARL5B	PSG3	SMAD7	TJP1	NBN	EHMT2	KPNB1	SH3GL2	PTPRO	ITK	TIMELESS	BCAR3	PIK3R2	MDM4	SPTBN1	SHC2	YLPM1	CASP6	EP300	SYK	ITGB3	GAB1	AREG	ADAM17	CGNL1	A2M	THSD7A	NAV2	PTPN3	ROCK1	CNTNAP4	MAPK8	ACTN2	NFATC2	ARL4D	APOB	CTBP1	MCM3AP	SNRNP200	VCL	DLEU1	LIMA1	PSG2	IQGAP1	KLK3	PTPRK	SPEG	ABI1	DTNBP1	ATP5C1	SMC3	NKD2	MED12	KRAS	MAGEE1	GAPDH	ITGAM	ITGB7	CEBPA	LAMA3	APBB2	BID	CD44	NAV1	PTP4A1	UBE2D2	SHC1	EDNRA	MED15	SDC2	PPHLN1
MutualExclScore	18.486760470688406	4.016940454004082	2.026639515455305	3.21844453728321	8.674367633794539	4.775548960843077	8.35669006936481	0.8557529687325084	3.034752140069141	4.877361989861991	1.1554246192404085	5.775768675768675	1.3684274059274062	2.481071706071706	0.6771414887794198	1.9820743668569756	0.8709687972845865	1.1307507035448212	0.13942307692307693	0.13333333333333333	4.055840358471937	0.14166666666666666	1.5646999629197769	1.5557926569997507	0.8476140717520028	0.8376999093098164	0.6	0.592073667073667	1.4497287933271916	2.029088180718372	0.6730592506908295	0.4186181139122315	2.372212494248098	0.26666666666666666	2.6024276377217563	1.043666361158621	0.3461098398169336	1.605200905332484	0.5416666666666666	0.0	1.0841852591852592	2.6650711562782496	0.030303030303030304	0.5015440115440115	0.125	0.24000000000000002	0.0	0.4070900289940537	4.518064570909595	0.045454545454545456	0.7824459527400704	0.7919043374925727	0.1708333333333333	0.125	5.577725854521181	0.8512732365673542	0.42320544952123895	0.0	0.7258699633699635	3.8639216805518712	0.1	0.5934782608695652	0.8096476021398622	4.933133283013909	0.5166666666666666	1.382789106604896	5.187998092889397	0.16666666666666666	0.16666666666666666	0.14835164835164835	0.7749317349317348	0.2	0.6527610246650495	1.2379490392648287	4.013699076569922	0.041666666666666664	0.6504329004329005	0.125	1.8333333333333333	0.24090909090909093	0.12406015037593984	0.04	1.4195806045806043	0.11858974358974358	0.4	0.2767316017316017	0.05	0.38699623390025867	2.709280514171819	0.5791778296315502	0.0	0.5761904761904761	0.515079365079365	1.2159090909090908	0.12941176470588237	0.0	0.3257142857142857	0.05	0.3023399014778325	0.14347826086956522	2.5057625982548584	0.37333333333333335	0.3333333333333333	0.25396825396825395	0.17692307692307693	2.750800996389231	0.5444444444444445	0.29472610722610726	1.6011605252984562	0.0	0.38033216783216783	0.24545454545454548	0.3448773448773449	0.2870680044593088	0.06666666666666667	0.4894179894179894	0.1588235294117647	0.17763157894736842	1.463989898989899	0.31313131313131315	0.325046685340803	0.07142857142857142	0.029411764705882353	0.2875	0.5086868686868686	1.1596051609209503	1.9521651037952952	0.2159090909090909	0.30192307692307696	0.5615601503759398	0.5178644884527237	0.14339826839826839	0.3928321678321678	0.27142857142857146	0.0	0.5949642677583853	0.0	0.07142857142857142	0.0	0.9138231049995755	0.15555555555555556	0.09090909090909091	0.03571428571428571	0.6277777777777778	1.2115440115440115	0.13247863247863248	0.4442982456140351	0.05	0.7545546558704452	0.24166666666666667	0.27516324255454694	0.1	0.0	0.09090909090909091	0.3933982683982684	0.22196969696969698	0.45476190476190476	0.2	0.2992424242424242	1.6502857507652904	0.19285714285714284	0.32916666666666666	1.0258158508158506	0.14090909090909093	0.1111111111111111	0.6151097870138117	0.7956499056499056	0.27840909090909094	0.6492424242424242	0.375	0.0	0.375	0.029411764705882353	0.8606749459690637	0.2178030303030303	0.25396825396825395	2.2243094515356177	0.39175813866216347	0.047619047619047616	0.16666666666666666	0.045454545454545456	0.05263157894736842	0.1111111111111111	0.5240440115440116	0.07142857142857142	1.1362317206357455	0.041666666666666664	0.7107093098472408	0.34285714285714286	0.030303030303030304	0.9730927642998581	0.701544289044289	2.031625781625782	0.21969696969696972	0.28869047619047616	5.341215907876724	0.5187802393684746	0.46847826086956523	0.15384615384615385	0.18585858585858586	0.0625	0.48497474747474745	0.0	0.5100940725940726	0.1607142857142857	0.06666666666666667	0.07692307692307693	0.46111111111111114	0.6526315789473683	0.1213235294117647	0.14285714285714285	0.18633540372670807	0.10084033613445378	0.8118253968253968	0.15000000000000002	0.19934640522875816	0.34112942612942615	1.0448943886014823	0.2	0.0	0.1	0.13571428571428573	0.16666666666666666	0.18285714285714286	0.9126892990050886	1.050015841222935	0.6775955039112933	0.0	0.41702020202020196	0.07692307692307693	0.0	0.07692307692307693	0.25757575757575757	0.16666666666666666	0.125	2.063276214906406	0.3269230769230769	0.1	0.07142857142857142	1.2588725601883495	0.5275955039112934	0.0	0.0	0.041666666666666664	0.05555555555555555	1.2565387828545722	3.970220815700356	0.4368903971845149	0.0	1.0716699077683058	0.041666666666666664	0.2666666666666667	0.08293460925039872	0.45465367965367953	0.34197746697746695	0.19047619047619047	0.1	0.5865079365079365	0.255316091954023	0.0	0.0	1.0	0.6880952380952381	0.0625	0.07142857142857142	0.6964285714285714	0.22692307692307692	1.0410358993095565	0.0	0.12692307692307692	0.0	0.2	0.1	0.25757575757575757	0.0	0.6967250141163185	0.1	0.1111111111111111	0.17142857142857143	0.9642807384186695	0.5092982456140351	0.39090909090909093	0.37492458521870287	0.26715686274509803	0.030303030303030304	0.07614942528735633	0.1	1.0325384800384798	0.14583333333333331	0.2623376623376623	0.1380952380952381	0.25	0.0	0.1111111111111111	0.452020202020202	0.05	0.4516705516705517	0.05	0.09090909090909091	0.6057226831139875	0.1111111111111111	0.35	1.0694425457583354	1.0050927042306352	0.1380952380952381	0.3256734006734007	0.22692307692307695	0.22077922077922077	2.3949226212384107	0.030303030303030304	0.3666666666666667	0.43571428571428567	0.7436507936507937	0.1111111111111111	0.8301587301587302	0.645952380952381	0.17142857142857143	0.05	0.14285714285714285	0.9070634920634921	0.28720950102529047	0.9403968253968253	2.1928667522707768	0.08333333333333333	0.030303030303030304	0.31941176470588234	0.22406015037593985	0.5964285714285714	1.6667464787820823	0.14835164835164835	0.235609243697479	0.42644688644688644	0.0	1.0681867753849177	0.14285714285714285	0.17142857142857143	0.3181544547643619	0.07575757575757576	0.16014492753623188	0.12662337662337664	0.3755952380952381	0.42136752136752137	0.14347826086956522	2.8317378229449166	0.047619047619047616	0.06734006734006734	0.41983629397422506	0.302020202020202	0.09444444444444444	1.1746956202838557	0.5277777777777778	0.1	1.0586297760210803	1.5112304493415678	0.7806022408963584	0.06349206349206349	0.30818713450292395	0.5304695304695305	0.24431818181818182	0.1646470920383964	0.389520202020202	0.0	1.132789106604896	0.8997946497946497	0.07692307692307693	0.8929144385026737	3.2753699516857417	0.42180042180042177	1.284912494912495	0.4626190476190476	0.25227885141678247	1.7330401970414084	0.5210621679661926	0.16781609195402297	0.0625	0.5487845487845489	0.6266233766233766	0.5769230769230769	0.5	0.8992424242424241	0.40049019607843134	0.09090909090909091	2.1189072039072037	5.01868439489149	4.294608686806831	2.4728238866396763	0.19358974358974357	0.3538992869875223	0.9409090909090908	0.3992424242424243	0.6196437620350663	0.19166666666666665	0.3396995834066772	0.204004329004329	0.25277777777777777	3.2501230654400666	1.4601383494336784	0.8253968253968251	0.36719201850780797	0.9654077001903089	0.46442307692307694	0.2777777777777778	2.647035194418759	0.19166666666666665	0.9533549783549784	0.15277777777777776	0.9965507630799985	0.23097826086956522	0.5102564102564102	0.043478260869565216	0.41666666666666663	1.0696581196581196	0.2361111111111111	0.24429824561403507	0.4	1.2834955464212432	0.7863978127136022	0.5972222222222222	0.16666666666666669	0.4329013377926421	0.9774170274170275	0.9794695071010859	0.33611111111111114	0.614520202020202	0.25	0.32698412698412693	0.08333333333333333	0.4666666666666667	0.16274509803921566	0.5440799396681749	0.6650183150183149	0.0625	0.7261904761904762	0.43642857142857144	0.7957289932289933	0.5492063492063493	0.17763157894736842	0.35470085470085466	0.13438735177865613	0.4861111111111111	0.24817911557041994	0.24919198448610214	0.07692307692307693	0.2473776223776224	0.043478260869565216	0.26666666666666666	0.0	0.577006327006327	0.08333333333333333	0.1	0.14835164835164835	0.030303030303030304	0.3312353281393529	0.3423219610290548	0.789423076923077	0.6052502021542268	0.2455128205128205	0.17857142857142855	0.49087301587301585	0.9043802244031074	0.12955465587044535	1.1564074814074814	0.9819356082513977	0.03571428571428571	2.539020218911523	0.0	0.24906015037593984	0.33104066985645936	0.23809523809523808	0.0	0.6207548731461776	0.6204013377926421	0.5936729936729936	0.0	0.7607466063348416	2.053710752848684	0.7019230769230769	0.14052287581699346	0.6588675213675212	0.6003728182178429	2.0521651037952955	1.1607142857142856	7.054573019859395	0.6365601503759398	0.3392857142857143	0.14484126984126983	0.26666666666666666	1.574642228480901	0.5753108003108002	0.027777777777777776	0.0	3.3145211069124114	0.5273629148629149	1.550445962083893	0.0	0.07142857142857142	0.17142857142857143	0.5763814616755792	0.1	1.3971101997417785
MutQty	164	39	15	26	54	36	70	12	24	36	12	25	14	11	8	14	12	15	2	2	23	2	14	17	9	9	2	7	16	28	9	5	22	2	16	13	3	20	3	0	12	20	1	6	1	2	0	6	41	1	9	12	3	1	33	8	5	0	8	28	1	5	11	52	4	18	53	1	2	2	10	1	8	11	36	1	4	1	6	3	2	1	18	2	2	4	1	7	25	5	0	3	4	3	2	0	5	1	4	2	27	5	1	2	2	24	3	4	16	0	5	2	3	4	1	5	2	2	13	3	4	1	1	3	5	12	27	3	3	5	6	3	4	2	0	7	0	1	0	13	2	1	1	6	10	2	6	1	4	2	4	1	0	1	4	3	4	1	3	18	2	3	8	2	1	9	10	3	9	2	0	2	1	10	3	2	20	6	1	1	1	1	1	5	1	13	1	8	2	1	15	9	17	3	4	47	5	4	2	3	1	7	0	7	2	1	1	3	7	2	1	2	2	8	2	3	5	10	2	0	1	2	1	2	9	16	10	0	5	1	0	1	2	1	1	28	3	1	1	16	8	0	0	1	1	15	35	7	0	12	1	3	2	8	5	2	1	6	5	0	0	1	5	1	1	3	3	11	0	2	0	1	1	2	0	6	1	1	2	9	4	3	5	3	1	2	1	14	2	3	2	1	0	1	3	1	6	1	1	8	1	2	10	9	2	6	3	4	24	1	2	5	5	1	8	7	2	1	1	8	5	8	24	1	1	4	3	5	21	2	4	4	0	11	1	2	4	2	3	2	4	5	2	22	1	2	5	3	2	16	5	1	9	14	6	2	4	5	3	4	4	0	16	11	1	8	25	4	14	5	5	21	8	3	1	6	4	3	2	7	4	1	15	26	33	20	3	5	9	4	9	3	4	3	3	35	17	10	6	13	4	2	27	2	10	2	9	3	5	1	2	8	2	3	2	14	6	4	2	4	9	11	3	8	1	3	1	4	3	6	5	1	8	4	8	4	2	4	2	3	4	4	1	3	1	2	0	6	1	1	2	1	4	5	7	8	4	2	6	11	2	12	8	1	23	0	3	4	2	0	8	4	7	0	5	10	6	2	7	6	28	6	52	7	3	3	2	20	8	1	0	24	7	17	0	1	2	6	1	12
TCGA-CG-4469-01	1	1	1		1		1																															1				1																																																											1																																														1																																																																							1																																																																																																															1															1																																																																						1		1						1															1																1							1	1																																							
TCGA-HU-8243-01	1	1		1	1		1																														1																											1																	1									1																																																																																												1				1										1																																																																																																																	1												1													1																																																			1	1																																																																						1																																1												
TCGA-R5-A7ZF-01	1	1			1																		1										1																																																																																																																																																																																																																																																																																														1																																																																																																																				1																																																																	
TCGA-CG-5718-01	1	1			1																							1		1																																																																																																	1																																																																																											1																		1																																1																																																																																																																																	1																																																										1										1																1																			
TCGA-VQ-A91U-01	1	1			1																																																														1																																		1																																																																												1																																																															1																																																																					1																																																																																																																	1																																																																						1								
