GeneA	GeneB	MEScore
HTT	TP53	6.145703424270157
PPP1CA	TGFBR1	0.0
RASA1	SOS1	0.0
CDC42	GRB2	0.0
ITGB2	LPA	0.0
SMAD4	CDKN1A	0.0
CRK	SOS1	0.0
PLXND1	MACF1	0.0
ABL1	GRB2	0.0
EMX1	TP63	0.0
FYN	SP1	0.0
NCK1	SOS1	0.0
HSP90AA1	SRC	0.0
FYN	MLL4	0.0
PRPF40A	UBQLN4	0.0
FYN	CDH1	0.0
PIK3CA	PIK3R1	0.0
GHR	PTPRJ	2.3228756555322954
CACNA1A	BZRAP1	3.8704961824561797
PIK3CA	SRC	0.0
CDH2	CTNNB1	2.8228756555322954
CRK	HGF	0.0
FYN	SOS1	0.0
EPHA4	PLCG1	0.0
ESR1	SMAD3	0.0
ESR1	SP1	0.0
CTNNA1	EPHA2	0.0
PAK1	RHOA	0.0
ERBB3	JAK2	2.4071289045266826
RANBP2	AKAP13	3.1583123951777
CDH1	ITGAE	3.449489742783178
PIK3R1	AKAP6	0.0
SMAD3	SKIL	0.0
GFI1B	HECW1	0.0
FYN	CTNNA1	0.0
GRB2	SMAD3	0.0
JAK2	PIK3CA	3.169269563007828
NRXN1	PDZD2	3.445223163532085
LAMA3	SDC4	0.0
ITGAV	IRS1	2.224744871391589
IQGAP1	RAC1	0.0
ABL1	CKAP5	0.0
DSCAML1	MAGI3	0.0
FOXA1	SP1	0.0
CDH2	PTPRC	3.1622776601683795
CDC42	RIF1	0.0
TP53	EPHA2	0.0
ABL1	EPB41L3	0.0
PIK3R1	PTEN	0.0
ABL1	MLL4	0.0
SMAD3	SPTBN1	0.0
CTNNB1	RHOA	3.318156838839072
CNTN6	NOTCH1	2.732050807568877
MYC	HSP90AA1	0.0
APC	ANKRD17	3.1505813167606567
LRP4	DFNB31	2.3228756555322954
DST	NFYC	0.0
PAK1	PIK3R1	0.0
CTNND1	HGF	2.414213562373095
ARAP3	RHOA	2.9364916731037085
TP53	UBE2I	0.0
APC	NEB	3.702459173643832
APC	NUP153	3.1213203435596424
RHOA	ITGA4	2.9364916731037085
ARHGAP6	RHOA	2.9364916731037085
CTNNB1	VCAN	3.0
SOS1	PAK1	0.0
RANBP10	THSD7B	0.0
NUP153	SMAD4	3.404194343161926
ERBB3	SRC	0.0
GRB2	SP1	0.0
ABL1	ERBB4	0.0
ATXN1	UBE2I	0.0
FYN	JAK3	0.0
ATXN1	SPEN	2.58113883008419
TRIO	RHOA	3.259367328636004
SMAD2	SMAD9	0.0
EPHA2	PAK1	0.0
ABL1	FYN	0.0
KAT2B	SMAD2	2.23606797749979
CTNNA1	PIK3CA	3.5817205265844922
JAK3	PIK3R1	0.0
ATF7IP	PAPPA2	0.0
AR	NCOA2	2.140780282182635
ESR1	SOS1	0.0
ABL1	PLCG1	0.0
PLCG1	CDC42	0.0
DISC1	EXOC1	0.0
MYC	SMAD4	0.0
GRIN2B	PTPRJ	0.0
GRB2	SOS1	0.0
NCK1	RASA1	0.0
CDH1	TJP1	3.5418739174580596
CTNND1	PIK3R1	0.0
ATXN1	WNK1	2.140780282182635
FYN	PIK3CA	0.0
EGFR	PLCG1	0.0
CDH1	IQGAP1	3.567523731533073
ERBB2	HSP90AA1	2.414213562373095
MBD5	KIAA1549	0.0
TGFBR2	SPTBN1	2.224744871391589
CRK	AKAP6	0.0
CTNNB1	TRRAP	2.8228756555322954
CDH1	EPHA2	0.0
APC	DST	3.5647948791337516
SP1	TP53	0.0
GHR	PIK3R1	0.0
FAM123B	CTNNB1	0.0
EGFR	RAC1	0.0
PTPRJ	HGF	2.7370892179053907
IGSF1	RANBP10	0.0
SPTBN1	TRAF3IP1	0.0
SRC	AKAP6	0.0
ESR2	ZNF512B	0.0
ERBB2	PIK3R1	0.0
EGFR	IRS1	0.0
ATXN1	FAT4	3.6651466727363555
EPHA3	RHOA	3.485082106550167
AR	PIK3CA	3.8106163923171468
EFNA5	FYN	0.0
GPC1	TGFBR2	0.0
ERBB2	GRB2	0.0
CTNNB1	PTPRB	3.08113883008419
ESR1	SRC	0.0
PIK3CA	PTEN	3.3051829925398635
ATXN1	MLL4	2.3228756555322954
TRIO	EXOC1	0.0
CTNNB1	HGF	2.6389584337646843
SPTBN1	TNIK	0.0
ABL1	SRC	0.0
SMAD4	PAPPA2	3.7317201468448467
SMAD2	TGFBR1	2.118033988749895
TRIO	PAK1	0.0
PPP1CA	SMAD1	0.0
JAK2	PIK3R1	0.0
FYN	KIRREL	0.0
CTNND1	SRC	0.0
FYN	GRIN2B	0.0
CTNNB1	SRC	0.0
PIK3CA	RHOA	4.203160950509568
SMAD4	COL1A2	3.837761866948037
CDH1	ERBB2	3.863703305156273
ITGA4	PIK3R1	0.0
MAX	SMAD4	0.0
IRS1	SOS1	0.0
CDH2	PTPRJ	2.765848372133833
RB1	MYC	0.0
ERBB2	ERBB3	2.995352392457285
APC	NAV1	3.179449471770337
JAK3	SOS1	0.0
PRKDC	XRCC5	2.118033988749895
TGFBR1	SMAD3	0.0
ATM	TP53	6.8608168505699085
EGFR	ERBB2	0.0
ITGA4	PAK1	0.0
DLC1	RHOA	3.5948040682814084
CDKN1A	RB1	0.0
ERBB2	VAV2	0.0
PDZD2	UBQLN4	0.0
CRK	GHR	0.0
CDC42	CTNNB1	0.0
USP7	TP53	0.0
USP7	HECW1	0.0
AKAP13	RHOA	3.318156838839072
CTNNA1	EGFR	0.0
SMAD2	SKIL	0.0
GPC1	LAMA1	0.0
SMAD9	SPTBN1	0.0
EGFR	PTPRB	0.0
PAPPA	SKIL	0.0
EGFR	RASA1	0.0
TP53	RB1	5.75594901040716
RANBP2	ARID4B	0.0
PLXNB3	MAGI2	2.6583123951777
SMAD1	PAK1	0.0
SP1	COL1A2	0.0
SMAD3	PAPPA	0.0
APC	SETDB1	3.016606720545095
CDC42	CDH1	0.0
SMAD4	TGFBR2	3.404194343161926
APC	TAF1	0.0
CDC5L	TRIO	0.0
APC	RAC1	0.0
ITGA4	TLN1	2.3228756555322954
RASA1	RHOA	3.1612365444952975
ABL1	RB1	0.0
CDH1	RHOA	3.79128784747792
RHOA	ROCK1	2.903943276465977
GRB2	CKAP5	0.0
NCOR1	SMAD2	2.23606797749979
CTNND1	TJP1	2.224744871391589
SDC4	PAK1	0.0
CTNNA1	CTNND1	2.0
GRB2	NCKAP5	0.0
CDH1	PIK3CA	5.037790283478967
CDKN1A	SETDB1	0.0
CDH2	CTNND1	2.4071289045266826
AR	PIK3R1	0.0
CDH2	RHOA	3.403943276465977
ESR1	ESR2	0.0
EFNA5	RHOA	0.0
FYN	EPB41L3	0.0
CTNNA1	SRC	0.0
HDLBP	SOS1	0.0
CRK	EPB41L3	0.0
ESR1	NCOA3	0.0
AR	SRC	0.0
