SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
1	1	0	100	TP53
2	1	0	100	TP53
3	1	0	100	TP53
4	1	1	66	TP53,NRXN1
5	1	1	66	TP53,NRXN1
6	1	2	50	TP53,NRXN1,MACF1
7	2	2	60	TP53,CTNNB1,NRXN1,MACF1
8	2	3	50	TP53,CTNNB1,NRXN1,SIPA1L1,MACF1
9	3	3	57	TP53,CTNNB1,APC,NRXN1,SIPA1L1,MACF1
10	3	3	57	TP53,CTNNB1,APC,NRXN1,SIPA1L1,MACF1
11	3	4	50	TP53,CTNNB1,APC,NRXN1,SIPA1L1,MACF1,MYO16
12	3	4	50	TP53,CTNNB1,APC,NRXN1,SIPA1L1,MACF1,MYO16
13	3	4	50	TP53,CTNNB1,APC,NRXN1,SIPA1L1,MACF1,MYO16
14	4	5	50	TP53,CTNNB1,APC,PIK3CA,NRXN1,SIPA1L1,MACF1,MYO16,RHOA
15	4	5	50	TP53,CTNNB1,APC,PIK3CA,NRXN1,SIPA1L1,MACF1,MYO16,RHOA
16	4	6	45	TP53,CTNNB1,APC,PIK3CA,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,RHOA
17	5	7	46	TP53,CTNNB1,APC,PIK3CA,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,RHOA,VAV2
18	5	7	46	TP53,CTNNB1,APC,PIK3CA,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,RHOA,VAV2
19	5	8	42	TP53,CTNNB1,APC,PIK3CA,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2
20	5	8	42	TP53,CTNNB1,APC,PIK3CA,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2
21	6	8	46	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2
22	6	8	46	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2
23	6	8	46	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2
24	6	8	46	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2
25	6	8	46	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2
26	6	8	46	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2
27	6	8	46	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2
28	6	8	46	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2
29	6	8	46	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2
30	6	8	46	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2
31	6	8	46	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2
32	6	8	46	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2
33	6	9	43	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1
34	6	9	43	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1
35	6	9	43	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1
36	6	9	43	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1
37	6	9	43	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1
38	6	9	43	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1
39	6	9	43	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1
40	6	9	43	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1
41	6	9	43	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1
42	6	9	43	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1
43	6	9	43	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1
44	6	10	41	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,CRK
45	6	11	38	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CRK
46	6	11	38	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CRK
47	6	11	38	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CRK
48	6	11	38	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CRK
