GeneSymbol	PosteriorP	Selected	ConvergenceIter	KnownCancerGene		BestSSN
TP53	0.6968001248682176	true	-1	true	Set(PERP	any	TP53, SKP2	any	TP53, ATM	any	TP53)
NRXN1	0.692060993944175	true	-1	false	Set(MACF1	any	NRXN1, MYO16	any	NRXN1, NRXN1	any	PDZD2)
SIPA1L1	0.6905244633175305	true	-1	false	Set(MACF1	any	NRXN1, MYO16	any	NRXN1, NRXN1	any	SIPA1L1)
MACF1	0.6903923517406308	true	-1	true	Set(APC	any	TP53, APC	any	BTRC, CNTNAP4	any	MACF1, APC	any	MACF1)
MYO16	0.6902132769361305	true	-1	false	Set(MACF1	any	NRXN1, MYO16	any	NRXN1, NRXN1	any	PDZD2)
CTNNB1	0.6887218079721087	true	-1	true	Set(CTNNB1	any	VCAN, TP53	any	VCAN, HDAC2	any	TP53)
APC	0.6850777527944236	true	-1	true	Set(APC	any	TP53, APC	any	BTRC, CNTNAP4	any	MACF1, APC	any	MACF1)
PDZD2	0.6832390727481754	true	-1	false	Set(MACF1	any	NRXN1, MYO16	any	NRXN1, NRXN1	any	PDZD2)
TP63	0.680293588018795	true	-1	true	Set(TP53	any	TP63, BTBD2	any	TGFBR1, BTBD2	any	TP53)
PIK3CA	0.6794226525589108	true	-1	true	Set(TTN	any	VAV2, PAK1	any	VAV2, PIK3CA	any	VAV2)
VCAN	0.6786910893533504	true	-1	true	Set(CTNNB1	any	VCAN, TP53	any	VCAN, HDAC2	any	TP53)
RHOA	0.6779094251232556	true	-1	true	Set(DLC1	any	RHOA, PIK3CA	any	RHOA, HSP90AA1	any	RHOA)
VAV2	0.6741660190951767	true	-1	false	Set(TTN	any	VAV2, PAK1	any	VAV2, PIK3CA	any	VAV2)
CDH1	0.6726113245225682	true	-1	true	Set(CDH1	any	EPHA2, CTNNA1	any	EPHA2, EPHA2	any	TP53)
SMAD4	0.6710005703314569	true	-1	true	Set(NR3C1	any	SERPINE1, SERPINE1	any	TP53, SMAD4	any	TFDP1, SERPINE1	any	TFDP1)
LRP4	0.6675776538369804	true	-1	false	Set(DFNB31	any	LRP4)
DFNB31	0.6675776538369804	true	-1	false	Set(DFNB31	any	LRP4)
POU4F2	0.6653934147433497	true	-1	false	Set(POU4F1	any	POU4F2, POU4F1	any	TP53, BAX	any	POU4F2)
SYNE1	0.6605511484681809	true	-1	true	Set(APC	any	NAV3, APC	any	CDC42, APC	any	SYNE1)
RANBP2	0.6569887108603782	true	-1	false	Set(RANBP2	any	TAF1, APC	any	TAF1, RB1	any	TP53, RB1	any	TAF1)
CACNA1A	0.656002313095044	true	-1	false	Set(BZRAP1	any	CACNA1A, CACNA1A	any	VWF, CACNA1A	any	LRP1)
SMAD2	0.6539810543376658	true	-1	true	Set(KAT2B	any	NCOA2, KAT2B	any	SMAD2, KAT2B	any	TP53)
NAV3	0.6536972568477025	true	-1	true	Set(APC	any	NAV3, APC	any	CDC42, APC	any	SYNE1)
ERBB2	0.651585216002516	true	-1	true	Set(TTN	any	VAV2, ERBB3	any	VAV2, ERBB2	any	VAV2)
CTNNA1	0.6506312792907337	true	-1	false	Set(CTNNA1	any	EPHA2, EPHA2	any	TP53, EPHA2	any	PIK3CA)
AR	0.6484385929374828	true	-1	true	Set(AR	any	PRKDC, AR	any	TCF4, PRKDC	any	TP53)
OBSCN	0.6472434782377657	true	-1	true	Set(OBSCN	any	RHOA, ANGPT1	any	RASA1, RASA1	any	RHOA, ANGPT1	any	PIK3CA)
BZRAP1	0.6456866368448848	true	-1	false	Set(BZRAP1	any	CACNA1A, CACNA1A	any	VWF, CACNA1A	any	LRP1)
CRK	0.6452760476365268	true	-1	false	Set(CRK	any	PCDHA2, CRK	any	PCDHA11, CRK	any	PIK3CA)
TGFBR1	0.64436779751907	true	-1	false	Set(TP53	any	TP63, BTBD2	any	TGFBR1, BTBD2	any	TP53)
HGF	0.6433198030480901	true	-1	false	Set(MET	any	TP53, HGF	any	INPPL1, INPPL1	any	MET)
ATXN1	0.6431379921879224	true	-1	false	Set(ATXN1	any	EIF1AY, ATXN1	any	PRDM1, PRDM1	any	TP53)
CDH2	0.64167194743756	true	-1	false	Set(CDH2	any	RHOA, CDH2	any	PIK3CA, IGHE	any	PIK3CA, CDH2	any	PTPRC)
AKAP13	0.6411279017422561	true	-1	true	Set(AKAP13	any	RHOA, AKAP13	any	RANBP2, APC	any	RANBP2)
USP7	0.6410404589539553	true	-1	false	Set(TP53	any	USP7, BCOR	any	USP7, PPL	any	USP7)
NEB	0.6405797515593485	true	-1	true	Set(APC	any	NEB, APC	any	TP53, APC	any	SEC31A)
RELN	0.6386795136776989	true	-1	false	Set(PIK3CA	any	RELN, NGF	any	PIK3CA, PIK3CA	any	PIK3R1)
ATF7IP	0.6385793718079784	true	-1	false	Set(APC	any	NAV3, APC	any	TP53, APC	any	MACF1, ATF7IP	any	MACF1)
GRB2	0.6376075760619969	true	-1	true	Set(GRB2	any	TSC2, GRB2	any	ZNF311, TP53	any	TSC2)
ERBB3	0.6359597411279118	true	-1	true	Set(TTN	any	VAV2, ERBB3	any	VAV2, ERBB2	any	VAV2)
CTNND1	0.6353055412130714	true	-1	false	Set(DKK1	any	TP53, DKK1	any	LRP5, CTNND1	any	LRP5)
PRPF40A	0.6351902050212731	true	-1	false	Set(PRPF40A	any	SDK1, PRPF40A	any	SMAD4, CDK12	any	PRPF40A)
ATM	0.6349482836917799	true	-1	true	Set(PERP	any	TP53, SKP2	any	TP53, ATM	any	TP53)
FYN	0.6340727297059368	true	-1	false	Set(FYN	any	PIK3CA, TTN	any	VAV2, PIK3CA	any	VAV2)
TTN	0.6333216259744152	true	-1	false	Set(TTN	any	VAV2, PAK1	any	VAV2, PIK3CA	any	VAV2)
RAC1	0.6332267281774766	true	-1	true	Set(TTN	any	VAV2, RAC1	any	TIAM1, TIAM1	any	VAV2)
CNTNAP2	0.6329783448507175	true	-1	true	Set(MACF1	any	NRXN1, CNTNAP2	any	MACF1, NRXN1	any	PDZD2, NRXN1	any	SIPA1L1)
CDC42	0.6319837440308973	true	-1	true	Set(APC	any	NAV3, APC	any	CDC42, APC	any	SYNE1)
DLC1	0.6315567821202144	true	-1	true	Set(DLC1	any	RHOA, PIK3CA	any	RHOA, HSP90AA1	any	RHOA)
PIK3R1	0.6297215385148097	true	-1	true	Set(PTEN	any	TP53, PIK3R1	any	PTEN, GSTM4	any	TP53)
SMAD9	0.6293747376027492	true	-1	false	Set(DKK1	any	TP53, DKK1	any	SMAD9, PHKA2	any	SMAD9, CPXM2	any	SMAD9)
DST	0.6291624368013362	true	-1	true	Set(DST	any	NFYC, HDAC2	any	TP53, NFYC	any	TP53)
PTPRJ	0.628717430679384	true	-1	true	Set(CTNNB1	any	VCAN, CTNNB1	any	PTPRJ, GHR	any	PTPRJ, TP53	any	VCAN)
ROCK1	0.6281587733960854	true	-1	false	Set(PIK3CA	any	RHOA, ARHGAP6	any	RHOA, RHOA	any	ROCK1)
PTPRB	0.6278122880691446	true	-1	true	Set(CTNNB1	any	VCAN, CTNNB1	any	PTPRB, TP53	any	VCAN)
DISC1	0.6276243163816679	true	-1	false	Set(DISC1	any	SMC3, APC	any	TP53, SMC3	any	TRAF3IP1, APC	any	SMC3)
ODZ3	0.6261398981582124	true	-1	false	Set(SMAD2	any	SMAD4, ODZ3	any	SMAD4, PSG2	any	SMAD4)
RIF1	0.625009726049025	true	-1	false	Set(PPP1CA	any	TP53, PPP1CA	any	RIF1, PPP1CA	any	TUSC3)
KAT2B	0.6246827006303073	true	-1	false	Set(TP53	any	XRCC5, TP53	any	TP73, KAT2B	any	TP73)
TNIK	0.6239623432300736	true	-1	false	Set(DST	any	TNIK, APC	any	TP53, APC	any	DST)
DKK1	0.6234447244645624	true	-1	false	Set(DKK1	any	TP53, DKK1	any	LRP5, CTNND1	any	LRP5)
PAPPA2	0.6231355188430991	true	-1	true	Set(APC	any	NUP153, NUP153	any	SMAD4, PAPPA2	any	SMAD4)
COL1A2	0.6229743510715697	true	-1	true	Set(COL1A2	any	EDNRB, EDN2	any	TP53, EDN2	any	EDNRB)
