>CRK,5.410740063595451
PIK3CA,PTEN,any
PIK3CA,BCL2L1,any
CRK,PIK3CA,any
>CRK,5.681729509670459
PIK3CA,BCL2L1,any
CRK,PIK3R1,any
CRK,PIK3CA,any
>CRK,5.514543174321313
CRK,ERBB2,any
CRK,PIK3R1,any
CRK,PIK3CA,any
>CRK,5.654947130109151
CRK,PIK3R1,any
PIK3R1,PIK3CA,any
PTK2B,CRK,any
>CRK,5.8619935416779025
CRK,PIK3R1,any
CRK,DNM2,any
PIK3R1,PIK3CA,any
>IRS2,6.3721917058656175
PIK3CA,BCL2L1,any
IRS2,PIK3CA,any
PIK3CA,PIK3R1,any
>IRS2,5.844964076528445
PIK3R1,IRS2,any
SNX8,PIK3R1,any
IRS2,PIK3CA,any
>IRS2,5.764966786765437
IRS2,PIK3CA,any
PIK3CA,SYK,any
PIK3CA,PIK3R1,any
>IRS2,5.9490113864395076
IRS2,PIK3R1,any
IRS2,PIK3CA,any
PIK3R1,ERBB3,any
>IRS2,6.206261927819963
IRS2,PIK3R1,any
IRS2,PIK3CA,any
PIK3R1,ERBB2,any
>RELN,5.902999758227981
RELN,PIK3CA,any
RELN,PIK3R1,any
RELN,ARHGEF2,any
>RELN,5.726607252713091
RELN,PIK3CA,any
PIK3R1,ERBB2,any
RELN,PIK3R1,any
>RELN,5.894672346851987
RELN,PIK3CA,any
PIK3CA,BCL2L1,any
RELN,PIK3R1,any
>RELN,5.570439962038586
RELN,PIK3CA,any
PIK3CA,PTEN,any
RELN,ARHGEF2,any
>RELN,5.375658509852738
RELN,PIK3CA,any
PIK3R1,SNX8,any
RELN,PIK3R1,any
>MS4A2,5.667385247404411
PIK3CA,BCL2L1,any
MS4A2,PIK3CA,any
MS4A2,PIK3R1,any
>MS4A2,5.250668549388047
PIK3CA,MS4A2,any
CKAP5,PIK3R1,any
PIK3R1,PIK3CA,any
>MS4A2,5.326506517896534
MS4A2,SYK,any
MS4A2,PIK3CA,any
PIK3CA,PIK3R1,any
>MS4A2,5.3575823629793495
IRS2,PIK3R1,any
IRS2,PIK3CA,any
PIK3CA,MS4A2,any
>MS4A2,5.284597612529727
MS4A2,PIK3CA,any
MS4A2,PIK3R1,any
PIK3R1,CDH1,any
>VAV2,6.0116151690753545
