GeneA	GeneB	MEScore
ERBB2	VAV2	4.319596107466319
EGFR	SYK	2.2802389661575337
CTBP1	CTNNB1	5.802775637731995
JAK1	RHOA	0.0
IRS2	PIK3CA	6.815072906367325
SRC	SYK	0.0
CTNNB1	CCND1	5.291502622129181
PDGFRB	AKT1	1.8797107211424051
CRK	PAK1	0.0
AR	SRC	0.0
TFDP1	MYC	5.528013402968919
RHOA	AKT1	0.0
DAB1	PIK3R1	0.0
CTNNB1	TLE1	5.102378351377202
MAX	PDGFRB	2.342778860141484
EP300	COPS6	2.120185174601965
JAK1	AKT1	1.8660254037844386
CTBP1	CCND1	3.181980515339464
DAB1	PIK3CA	0.0
BCL2L1	TLE1	3.9633576589174195
CDH1	PIK3R1	5.627742344143852
CTNNB1	TRRAP	5.398557925000402
CDH1	CTNNB1	5.684897882779351
VAV2	RHOA	0.0
IRS2	PIK3R1	5.689058011372936
APC	CTBP1	3.4610880329096947
ERBB3	PIK3R1	6.546603514059662
PAK1	PIK3CA	0.0
PIK3R1	SRC	0.0
ESR1	AKT1	2.188901059316734
SYK	PIK3CA	6.649694593697925
CRK	ERBB3	0.0
CTNNB1	CACNA1G	5.070881063960369
CTNND1	PIK3R1	5.195410596324917
AGAP2	EPB41L1	1.5731321849709863
TP53	TRRAP	5.228000493485622
DNM2	CTNND1	4.695560046340306
CTBP1	TFDP1	3.882632124329534
RAC1	CDH1	0.0
PIK3R1	VAV2	5.445981281149956
EPB41L1	PIK3R1	4.607919181288746
PIK3CA	RAC1	0.0
DNM2	CDH1	5.1568776039816795
AR	PIK3CA	6.0104076400856545
CTBP1	MYC	5.174234614174767
CTNND1	RAC1	0.0
VAV2	PAK1	0.0
APC	CTNNB1	5.565483192711497
PAK1	CCND1	0.0
ERBB3	SYK	4.03857077833235
ESR1	PIK3CA	6.303300858899107
MAX	ERBB2	4.358404337953825
CHGB	PTEN	0.0
CTNNB1	EXOC3	6.39791576165636
APC	PAK1	0.0
TLE1	CCND1	2.724744871391589
PIK3CA	PIK3R1	8.846274830569069
PIK3R1	AKT1	4.815025962475294
TLE1	MYC	4.96640225816553
CRK	RAC1	0.0
MYC	TRRAP	5.13912966881093
MAX	TP53	5.0550379257558005
CRK	PIK3R1	0.0
EGFR	ERBB2	4.106395752988369
EPB41L1	PIK3CA	6.0456459072022035
PAK1	PIK3R1	0.0
JAK1	PIK3CA	6.022179687553873
JAK1	PIK3R1	4.799783167122773
AR	PIK3R1	4.9587017897206636
APC	RAC1	0.0
VAV2	RAC1	0.0
ERBB2	SYK	4.543900337213577
ESR1	PIK3R1	4.928044606102419
PDGFRB	PIK3R1	5.347850497009249
CTNNB1	EP300	5.4686269665968865
CTNNB1	EGFR	4.866025403784438
ERBB2	ERBB3	5.500334173154074
EGFR	ERBB3	3.4228019039866013
CTBP1	TLE1	3.0275205091235833
EGFR	SRC	0.0
CRK	IRS2	0.0
ERBB3	VAV2	3.940439994191643
ERBB2	JAK1	4.24037034920393
CRK	RHOA	0.0
DAB1	ERBB2	0.0
ESR1	MYC	5.064533042306237
PIK3CA	RHOA	0.0
PDGFRB	PTEN	6.694755846681933
PTEN	COPS6	6.952104779584946
JAK1	SYK	2.414213562373095
PAK1	AKT1	0.0
PIK3CA	BCL2L1	7.841012378925574
CRK	PIK3CA	0.0
CRK	ERBB2	0.0
CTNNB1	SRC	0.0
TP53	APC	5.405124837953327
EGFR	PAK1	0.0
PIK3R1	PTEN	7.388905057061258
CTNNB1	MYC	7.741657386773941
AGAP2	PIK3CA	6.033925719352177
MAX	MYC	4.859691375523836
PIK3R1	BCL2L1	6.738427697000816
RAC1	CTNNB1	0.0
PIK3CA	VAV2	6.303300858899107
CRK	DNM2	0.0
CTNNB1	RHOA	0.0
CTNND1	SRC	0.0
