GeneSymbol	PosteriorP	Selected	ConvergenceIter	KnownCancerGene		BestSSN
PIK3CA	0.5	true	-1	true	Set()	0.0
PIK3R1	0.5	true	-1	true	Set()	0.0
TP53	0.5	true	-1	true	Set()	0.0
PTEN	0.5	true	-1	true	Set()	0.0
MYC	0.5	true	-1	true	Set()	0.0
BCL2L1	0.5	true	-1	false	Set()	0.0
CTNNB1	0.5	true	-1	true	Set()	0.0
ERBB2	0.5	true	-1	true	Set()	0.0
CDH1	0.5	true	-1	true	Set()	0.0
DNM2	0.5	true	-1	true	Set()	0.0
PDGFRB	0.5	true	-1	true	Set()	0.0
ERBB3	0.5	true	-1	true	Set()	0.0
VAV2	0.5	true	-1	false	Set()	0.0
APC	0.5	true	-1	true	Set()	0.0
CTNND1	0.5	true	-1	false	Set()	0.0
MAX	0.5	true	-1	true	Set()	0.0
UBQLN4	0.5	true	-1	false	Set()	0.0
ESR1	0.5	true	-1	true	Set()	0.0
TRRAP	0.5	true	-1	true	Set()	0.0
SYK	0.5	true	-1	true	Set()	0.0
CRK	0.5	true	-1	false	Set()	0.0
CHGB	0.5	true	-1	false	Set()	0.0
VCAN	0.5	true	-1	false	Set()	0.0
SETDB1	0.5	true	-1	false	Set()	0.0
RHOA	0.5	true	-1	true	Set()	0.0
COPS6	0.5	true	-1	false	Set()	0.0
TFDP1	0.5	true	-1	true	Set()	0.0
ARNT	0.5	true	-1	true	Set()	0.0
MTOR	0.5	true	-1	true	Set()	0.0
CTBP1	0.5	true	-1	false	Set()	0.0
IRS2	0.5	true	-1	false	Set()	0.0
RAC1	0.5	true	-1	true	Set()	0.0
CCND1	0.5	true	-1	true	Set()	0.0
AR	0.5	true	-1	true	Set()	0.0
PAK1	0.5	true	-1	false	Set()	0.0
SRC	0.5	true	-1	false	Set()	0.0
EPB41L1	0.5	true	-1	false	Set()	0.0
TLE1	0.5	true	-1	false	Set()	0.0
AKT1	0.5	true	-1	true	Set()	0.0
EP300	0.5	true	-1	true	Set()	0.0
DAB1	0.5	true	-1	false	Set()	0.0
EXOC3	0.5	true	-1	false	Set()	0.0
CACNA1G	0.5	true	-1	false	Set()	0.0
TNFRSF10B	0.5	true	-1	false	Set()	0.0
AGAP2	0.5	true	-1	false	Set()	0.0
EGFR	0.5	true	-1	true	Set()	0.0
JAK1	0.5	true	-1	true	Set()	0.0
