	PIK3CA	PIK3R1	TP53	PTEN	BCL2L1	MYC	CTNNB1	ERBB2	VAV2	CDH1	PDGFRB	ERBB3	SYK	CTNND1	IRS2	DNM2	ESR1	AKT1	MAX	EPB41L1	ITGA2B	ITGA6	CRK	MTOR	RHOA	APC	CTNNA1	CHGB	UBQLN4	VCAN	AR	STAT3	SHB	COPS6	JAK1	AGAP2	TRRAP	CCND1	PAK1	TEK	RAC1	RELN	EGFR	DAB1	PDPK1	DAPP1	SRC	DDX5	BRCA1	TFDP1	ARNT	GSN	IL2RG	FYN	DOCK1	SETDB1	PIK3C2B	EPHA2	CSDE1	FLT1	TRPV1	IRS1	CDH2	NFKBIA	LCK	ITGB4	ANGPT2	KDR	JAK3	CTBP1	CD19	ABL1	SOS1	ITGB3	CBL	ITGB1	CRKL	GRB2	MCL1	IL2	VLDLR	PTPN11	IL2RB	MS4A2	TNFRSF10B	ENAH	TLE1	BCL2	CACNA1G	EP300	UFD1L	EXOC3	TRIM28	PXN	IL12RB1	RELA	HBA1	FES	CCND3	JAK2
0	0	1	2	4	6	5	3	7	11	8	14	9	17	15	41	10	24	38	20	28	25	72	30	22	49	12	23	29	13	21	39	31	85	18	40	66	54	52	74	80	34	46	26	76	55	60	71	78	47	45	32	-1	-1	-1	-1	16	-1	-1	-1	-1	-1	82	87	75	-1	94	-1	79	-1	36	-1	48	70	92	-1	-1	67	-1	65	-1	-1	-1	-1	-1	61	50	27	53	19	51	-1	33	-1	-1	77	-1	-1	-1	-1	88
1	0	1	2	4	6	5	3	7	19	9	10	8	21	13	28	14	25	16	17	38	62	33	39	31	22	12	34	36	11	18	37	82	-1	27	55	61	26	48	64	-1	57	44	24	49	43	71	20	40	73	41	42	91	63	81	-1	23	-1	-1	53	-1	-1	-1	83	-1	97	-1	-1	65	-1	30	-1	69	66	-1	-1	-1	-1	94	54	58	-1	-1	-1	-1	68	50	32	-1	15	52	-1	56	98	-1	75	-1	86	-1	-1	-1
2	0	1	2	5	6	4	3	7	10	8	12	11	23	16	30	9	25	38	17	37	60	-1	36	44	20	13	78	32	15	26	28	33	71	55	22	82	18	31	69	-1	59	72	90	84	-1	65	79	67	21	19	50	-1	56	99	-1	27	-1	-1	52	-1	-1	91	93	-1	-1	-1	-1	-1	-1	14	-1	66	63	94	-1	88	-1	97	85	-1	-1	-1	-1	-1	40	42	45	29	24	54	-1	47	-1	-1	-1	-1	86	-1	-1	75
3	0	1	2	5	6	4	3	7	14	11	8	10	35	29	42	9	21	26	16	48	-1	-1	31	27	17	12	95	45	19	13	80	98	49	57	32	59	18	34	46	-1	55	-1	40	47	-1	-1	60	53	-1	28	37	-1	62	82	-1	25	-1	-1	52	99	-1	-1	-1	-1	56	-1	50	54	-1	22	-1	20	44	90	-1	-1	87	81	96	66	-1	-1	-1	-1	67	64	15	84	41	30	-1	51	89	-1	73	-1	-1	-1	-1	94
4	1	0	2	3	7	5	4	6	20	8	10	9	14	21	25	13	24	23	15	79	-1	43	50	44	19	11	31	45	16	64	60	42	71	26	37	81	12	39	55	48	34	94	54	69	66	62	78	-1	17	27	29	-1	98	92	-1	18	-1	-1	30	-1	-1	-1	97	72	-1	-1	57	56	-1	41	-1	35	86	-1	-1	-1	-1	82	67	96	-1	83	-1	-1	38	22	76	61	28	33	-1	84	51	-1	-1	-1	-1	-1	-1	-1
5	0	1	2	3	6	5	4	9	14	7	10	22	69	21	17	8	13	67	24	16	39	-1	25	18	33	12	73	20	19	11	23	43	62	29	57	34	32	26	45	80	61	53	35	54	66	74	47	48	52	40	38	-1	64	56	-1	15	76	86	82	83	-1	55	78	-1	59	-1	44	-1	-1	51	-1	30	46	71	-1	89	63	75	77	-1	-1	95	-1	-1	28	27	93	-1	36	72	-1	49	-1	-1	81	-1	99	98	-1	-1
6	0	2	1	4	6	5	3	8	20	9	10	13	37	11	27	7	14	30	17	58	76	-1	31	38	49	12	63	23	15	33	36	43	-1	26	28	78	22	73	57	-1	51	70	97	72	-1	77	60	67	24	16	47	99	66	90	-1	34	-1	98	75	-1	-1	-1	85	68	93	-1	-1	69	-1	39	-1	42	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80	-1	46	56	29	81	21	40	83	32	50	-1	-1	-1	-1	-1	-1	89
7	1	2	0	3	6	5	4	7	17	10	9	11	53	16	25	8	14	22	20	45	84	69	28	15	36	13	-1	21	18	12	34	38	40	27	35	60	24	41	56	93	54	-1	96	50	75	65	49	26	66	31	47	80	79	71	-1	19	-1	-1	-1	-1	-1	-1	85	59	-1	-1	88	63	-1	23	-1	44	70	92	67	87	-1	86	74	-1	-1	-1	-1	-1	46	-1	43	55	29	-1	51	76	64	-1	72	-1	-1	-1	-1	90
8	0	2	1	4	6	5	3	7	19	11	9	10	23	16	32	8	28	33	27	48	41	73	45	20	51	12	95	39	14	13	58	29	80	59	56	75	17	53	81	66	72	46	36	61	67	62	31	44	34	35	37	-1	54	-1	-1	21	-1	-1	99	-1	-1	-1	87	-1	-1	-1	-1	76	42	30	-1	49	83	-1	-1	-1	84	-1	55	-1	-1	-1	-1	-1	15	50	38	24	25	86	-1	68	57	-1	89	-1	-1	-1	-1	-1
9	0	1	2	3	6	4	5	7	15	10	9	8	11	17	23	18	16	22	13	55	45	29	38	84	14	12	42	33	21	47	35	76	96	49	44	60	25	40	69	71	27	-1	48	63	36	92	58	53	77	34	37	83	56	68	-1	19	94	93	51	-1	-1	-1	-1	59	-1	80	30	88	-1	26	-1	41	98	82	74	-1	-1	66	57	-1	-1	-1	-1	-1	31	75	46	50	64	39	-1	65	20	-1	73	-1	-1	-1	-1	99
10	0	1	2	3	6	5	4	7	13	8	9	10	20	11	49	12	22	24	15	64	63	57	40	18	41	14	92	26	21	28	32	29	91	17	39	78	23	55	66	97	54	52	85	69	-1	58	67	68	35	45	46	75	47	80	-1	19	-1	82	65	-1	-1	-1	74	-1	59	-1	-1	72	-1	16	-1	44	43	-1	76	-1	-1	84	81	88	-1	-1	-1	-1	37	48	50	90	31	34	-1	38	89	-1	-1	-1	94	-1	-1	93
11	0	1	2	4	7	5	3	6	11	8	15	9	16	12	37	13	14	36	18	39	46	34	43	22	48	10	86	33	25	30	26	31	90	17	69	59	19	47	72	58	57	-1	83	50	63	76	66	61	35	29	38	99	91	92	-1	20	-1	-1	81	-1	-1	78	-1	-1	60	-1	55	52	-1	23	-1	56	67	96	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73	21	88	54	51	27	-1	28	70	-1	53	-1	-1	-1	-1	84
12	1	2	0	5	6	4	3	7	23	11	9	12	29	13	59	8	28	17	24	91	77	94	45	95	44	16	98	40	10	15	33	46	-1	34	31	85	20	43	73	55	66	90	41	79	56	84	26	64	47	51	37	-1	75	-1	-1	19	-1	-1	48	-1	-1	87	-1	74	-1	-1	-1	89	68	21	-1	57	81	-1	-1	-1	71	82	30	69	-1	-1	-1	-1	18	76	65	70	14	53	-1	52	62	-1	-1	-1	-1	-1	-1	-1
13	0	1	2	3	6	5	4	7	9	12	19	10	15	25	23	11	26	20	16	62	43	30	39	74	22	8	-1	33	14	49	34	95	52	42	50	79	21	41	67	48	51	45	-1	71	38	77	57	27	31	24	36	60	47	83	-1	13	-1	-1	73	85	-1	-1	-1	-1	90	-1	-1	64	-1	17	-1	75	70	-1	-1	81	-1	92	59	-1	-1	-1	-1	63	91	-1	28	56	18	29	-1	55	-1	-1	98	-1	46	-1	-1	80
