GeneA	GeneB	MEScore
ITGB3	PAK1	0.0
LCK	BCL2L1	0.0
IRS1	IRS2	2.5243377989621383
RHOA	FYN	0.0
MAX	ITGA6	1.9840593925343335
IL12RB1	PIK3CA	6.033925719352177
ERBB2	VAV2	4.319596107466319
CRKL	PAK1	0.0
ERBB3	JAK2	3.445719568712378
IL12RB1	STAT3	1.7320508075688772
ITGB1	ITGB4	0.0
EGFR	SYK	2.2802389661575337
IL2RB	LCK	0.0
CDH2	RHOA	0.0
PTPN11	SYK	2.121320343559643
CTBP1	CTNNB1	5.802775637731995
MAX	CSDE1	2.53224755112299
JAK1	RHOA	0.0
IRS2	PIK3CA	6.815072906367325
SRC	SYK	0.0
IL2RB	AKT1	0.0
IL2	RHOA	0.0
IL12RB1	JAK2	1.5731321849709863
JAK3	PTPN11	0.0
GSN	PIK3R1	4.607919181288746
JAK2	LCK	0.0
MTOR	RELA	0.0
CDH2	CTNND1	2.121320343559643
LCK	SOS1	0.0
CRKL	ERBB3	3.6046381913102694
ITGB3	IRS1	1.7320508075688772
CTNNB1	CCND1	5.291502622129181
PTPN11	TEK	1.8251407699364424
PIK3R1	SOS1	4.943402011359461
PDGFRB	AKT1	1.8797107211424051
ITGA2B	PXN	0.0
CRK	PAK1	0.0
CRKL	ITGB1	1.5731321849709863
IL2	PIK3CA	0.0
GRB2	PIK3R1	0.0
ITGB3	SYK	2.2802389661575337
AR	SRC	0.0
TFDP1	MYC	5.528013402968919
AKT1	MCL1	4.182650194139838
JAK2	STAT3	1.5731321849709863
RHOA	AKT1	0.0
IL2	BCL2L1	0.0
DAB1	RELN	0.0
PIK3CA	VLDLR	0.0
DAB1	PIK3R1	0.0
CTNNB1	TLE1	5.102378351377202
CBL	DOCK1	2.224744871391589
MAX	PDGFRB	2.342778860141484
ITGB1	JAK2	1.4142135623730951
EP300	COPS6	2.120185174601965
JAK1	AKT1	1.8660254037844386
ERBB3	PTPN11	2.692582403567252
PIK3CA	PTPN11	5.826818938165629
PDPK1	SRC	0.0
CTBP1	CCND1	3.181980515339464
EPHA2	PIK3CA	0.0
DAB1	PIK3CA	0.0
BCL2L1	TLE1	3.9633576589174195
CDH1	PIK3R1	5.627742344143852
FYN	IL2RG	0.0
TP53	UFD1L	0.0
PTPN11	CCND3	0.0
FES	IL2RG	1.7320508075688772
ITGA6	AKT1	1.7320508075688772
CTNNB1	TRRAP	5.398557925000402
PTPN11	AKT1	1.5731321849709863
MAX	ITGB4	0.0
JAK2	NFKBIA	1.4142135623730951
IL2RG	AKT1	1.7320508075688772
JAK3	STAT3	0.0
RHOA	SOS1	0.0
MS4A2	PIK3CA	5.826818938165629
ITGB3	PIK3CA	5.815072906367325
CDH2	PIK3R1	4.607919181288746
ITGB3	PIK3R1	4.077376607575022
EPHA2	RAC1	0.0
CTNNA1	CTNNB1	4.707106781186548
