SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
0	0	0	0	
1	1	0	100	PIK3CA
3	3	0	100	PIK3CA,PIK3R1,TP53
4	4	0	100	PIK3CA,PIK3R1,TP53,PTEN
5	5	0	100	PIK3CA,PIK3R1,TP53,PTEN,MYC
7	6	1	85	PIK3CA,PIK3R1,TP53,PTEN,MYC,CTNNB1,BCL2L1
8	7	1	87	PIK3CA,PIK3R1,TP53,PTEN,MYC,CTNNB1,ERBB2,BCL2L1
9	8	1	88	PIK3CA,PIK3R1,TP53,PTEN,MYC,CTNNB1,ERBB2,CDH1,BCL2L1
10	9	1	90	PIK3CA,PIK3R1,TP53,PTEN,MYC,CTNNB1,ERBB2,CDH1,DNM2,BCL2L1
11	10	1	90	PIK3CA,PIK3R1,TP53,PTEN,MYC,CTNNB1,ERBB2,CDH1,PDGFRB,DNM2,BCL2L1
12	11	1	91	PIK3CA,PIK3R1,TP53,PTEN,MYC,CTNNB1,ERBB2,CDH1,PDGFRB,ERBB3,DNM2,BCL2L1
13	11	2	84	PIK3CA,PIK3R1,TP53,PTEN,MYC,CTNNB1,ERBB2,CDH1,PDGFRB,ERBB3,DNM2,BCL2L1,VAV2
14	12	2	85	PIK3CA,PIK3R1,TP53,PTEN,MYC,CTNNB1,ERBB2,CDH1,PDGFRB,ERBB3,DNM2,APC,BCL2L1,VAV2
15	12	3	80	PIK3CA,PIK3R1,TP53,PTEN,MYC,CTNNB1,ERBB2,CDH1,PDGFRB,ERBB3,DNM2,APC,BCL2L1,VAV2,CTNND1
16	13	3	81	PIK3CA,PIK3R1,TP53,PTEN,MYC,CTNNB1,ERBB2,CDH1,PDGFRB,ERBB3,DNM2,MAX,APC,BCL2L1,VAV2,CTNND1
17	13	4	76	PIK3CA,PIK3R1,TP53,PTEN,MYC,CTNNB1,ERBB2,CDH1,PDGFRB,ERBB3,DNM2,MAX,APC,BCL2L1,VAV2,CTNND1,UBQLN4
18	14	4	77	PIK3CA,PIK3R1,TP53,PTEN,MYC,CTNNB1,ERBB2,CDH1,PDGFRB,ERBB3,DNM2,ESR1,MAX,APC,BCL2L1,VAV2,CTNND1,UBQLN4
19	15	4	78	PIK3CA,PIK3R1,TP53,PTEN,MYC,CTNNB1,ERBB2,CDH1,PDGFRB,ERBB3,DNM2,ESR1,MAX,APC,TRRAP,BCL2L1,VAV2,CTNND1,UBQLN4
20	16	4	80	PIK3CA,PIK3R1,TP53,PTEN,MYC,CTNNB1,ERBB2,CDH1,PDGFRB,ERBB3,SYK,DNM2,ESR1,MAX,APC,TRRAP,BCL2L1,VAV2,CTNND1,UBQLN4
21	16	5	76	PIK3CA,PIK3R1,TP53,PTEN,MYC,CTNNB1,ERBB2,CDH1,PDGFRB,ERBB3,SYK,DNM2,ESR1,MAX,APC,TRRAP,BCL2L1,VAV2,CTNND1,CRK,UBQLN4
