GeneSymbol	PosteriorP	Selected	ConvergenceIter	KnownCancerGene		BestSSN
PIK3CA	0.9776501201278097	true	1307	true	Set(ERBB2	any	MYC, ERBB2	any	PIK3R1, PIK3CA	any	PIK3R1)	6.976904717017355
PIK3R1	0.9362835132616334	true	-1	true	Set(ERBB2	any	MYC, ERBB2	any	PIK3R1, PIK3CA	any	PIK3R1)	6.976904717017355
TP53	0.6621011781871697	true	-1	true	Set(PTEN	any	TP53, MYC	any	TP53, TNFRSF10A	any	TP53)	7.006570085728298
PTEN	0.5016691835846615	true	-1	true	Set(PTEN	any	TP53, MYC	any	TP53, TNFRSF10A	any	TP53)	7.006570085728298
BCL2L1	0.4045904060390152	true	-1	false	Set(BCL2L1	any	TP53, BCL2L1	any	PIK3R1, BCL2L1	any	PIK3CA)	6.467392116590537
MYC	0.39784126361642114	true	-1	true	Set(PTEN	any	TP53, MYC	any	TP53, TNFRSF10A	any	TP53)	7.006570085728298
CTNNB1	0.28271375175209357	true	-1	true	Set(MYC	any	TP53, CTNNB1	any	MYC, TNFRSF10A	any	TP53)	6.402714586374975
ERBB2	0.17305185738861675	true	-1	true	Set(ERBB2	any	MYC, ERBB2	any	PIK3R1, PIK3CA	any	PIK3R1)	6.976904717017355
VAV2	0.14041730044045486	true	-1	false	Set(BCL2L1	any	PIK3R1, PIK3R1	any	VAV2, BCL2L1	any	PIK3CA)	6.163424000884724
CDH1	0.13927077879979372	true	-1	true	Set(CDH1	any	PIK3CA, CDH1	any	PIK3R1, CDH1	any	DNM2)	6.419583646916525
PDGFRB	0.1323162325205575	true	-1	true	Set(PDGFRB	any	PIK3R1, MYC	any	PDGFRB, PDGFRB	any	PIK3CA)	6.3899106024037495
ERBB3	0.12535021304068125	true	-1	true	Set(BCL2L1	any	PIK3R1, BCL2L1	any	PIK3CA, ERBB3	any	PIK3R1)	6.371247478143772
SYK	0.1085739555699587	true	-1	true	Set(BCL2L1	any	PIK3CA, PIK3CA	any	SYK, PIK3CA	any	PIK3R1)	6.275697870564297
CTNND1	0.1081878697139878	true	-1	false	Set(CTNND1	any	DNM2, CTNND1	any	PIK3R1, CTNND1	any	PIK3CA)	6.166991300123799
IRS2	0.10780049781644879	true	-1	false	Set(BCL2L1	any	PIK3CA, IRS2	any	PIK3CA, PIK3CA	any	PIK3R1)	6.3721917058656175
DNM2	0.10608814278388783	true	-1	true	Set(CDH1	any	PIK3CA, CDH1	any	PIK3R1, CDH1	any	DNM2)	6.419583646916525
ESR1	0.10161710910948225	true	-1	true	Set(ESR1	any	PIK3R1, PIK3CA	any	PIK3R1, ESR1	any	MYC)	6.270727098996806
AKT1	0.10072745787715426	true	-1	true	Set(AKT1	any	PIK3R1, AKT1	any	MYC, PIK3CA	any	PIK3R1)	6.29318501356123
MAX	0.1000496658464271	true	-1	true	Set(PTEN	any	TP53, MYC	any	TP53, MAX	any	MYC)	6.3785696797947695
EPB41L1	0.09704629974773649	true	-1	false	Set(BCL2L1	any	PIK3R1, BCL2L1	any	PIK3CA, EPB41L1	any	PIK3CA)	5.923204557374049
ITGA2B	0.09703922292582107	true	-1	false	Set(BCL2L1	any	PIK3CA, ITGA2B	any	PIK3R1, ITGA2B	any	PIK3CA)	5.904800482572094
ITGA6	0.09617186999006054	true	-1	false	Set(ITGA6	any	MYC, ITGA6	any	PIK3CA, ITGA6	any	PIK3R1)	6.295644498589567
CRK	0.0961706886517907	true	-1	false	Set(CRK	any	PIK3R1, CRK	any	DNM2, PIK3CA	any	PIK3R1)	5.8619935416779025
MTOR	0.0958452644145435	true	-1	true	Set(MTOR	any	PIK3R1, MTOR	any	PIK3CA, CCNE1	any	MTOR)	6.2329567860321236
RHOA	0.09544658058372883	true	-1	true	Set(ARHGEF2	any	RHOA, PIK3CA	any	RHOA, PIK3CA	any	PIK3R1)	5.950229132228338
APC	0.09524480206176068	true	-1	true	Set(PTEN	any	TP53, APC	any	TP53, MCL1	any	TP53)	5.992784596960096
CTNNA1	0.09269378777382177	true	-1	false	Set(CTNNA1	any	PIK3R1, CTNNA1	any	DNM2, CTNNA1	any	PIK3CA)	6.105797517038619
CHGB	0.0920247199106301	true	-1	false	Set(PTEN	any	TP53, MYC	any	TP53, CHGB	any	PTEN)	6.040627796221835
UBQLN4	0.09099891910052628	true	-1	false	Set(PTEN	any	TP53, SERPINE1	any	TP53, SERPINE1	any	UBQLN4)	5.8384820698445985
VCAN	0.09004582507806629	true	-1	false	Set(PTEN	any	TP53, MYC	any	TP53, TP53	any	VCAN)	6.013170945861809
AR	0.08893338056780069	true	-1	true	Set(BCL2L1	any	PIK3R1, AR	any	PIK3CA, BCL2L1	any	PIK3CA)	5.908978270721779
STAT3	0.08821552877778627	true	-1	true	Set(PIK3R1	any	STAT3, PIK3CA	any	STAT3, MYC	any	STAT3)	6.302020867259793
SHB	0.08811421474989342	true	-1	false	Set(BCL2L1	any	PIK3R1, PIK3R1	any	SHB, BCL2L1	any	PIK3CA)	5.91711724367503
COPS6	0.0879689997704709	true	-1	false	Set(COPS6	any	PTEN, PTEN	any	TP53, MYC	any	TP53, TNFRSF10A	any	TP53)	5.8025129929252035
JAK1	0.08774112377433836	true	-1	true	Set(JAK1	any	PIK3CA, JAK1	any	MYC, JAK1	any	PIK3R1)	6.031472159108422
AGAP2	0.08761950249957756	true	-1	false	Set(AGAP2	any	PIK3R1, BCL2L1	any	PIK3CA, AGAP2	any	PIK3CA)	5.658552361204185
TRRAP	0.08715892350783873	true	-1	true	Set(PTEN	any	TP53, TP53	any	TRRAP, MYC	any	TRRAP)	6.254212928350437
CCND1	0.08693620935037219	true	-1	true	Set(MYC	any	TP53, CCND1	any	CTNNB1, CTNNB1	any	MYC)	6.042142948900993
PAK1	0.08657807386661524	true	-1	false	Set(MYNN	any	PAK1, PAK1	any	PIK3R1, PAK1	any	PIK3CA)	5.9948901858758585
TEK	0.08639810240980932	true	-1	false	Set(PIK3R1	any	TEK, BCL2L1	any	PIK3CA, PIK3CA	any	TEK)	5.908978270721779
RAC1	0.08519345015281221	true	-1	true	Set(PIK3R1	any	RAC1, MYC	any	RAC1, PIK3CA	any	RAC1)	6.061030692984991
RELN	0.08509571505381011	true	-1	true	Set(PIK3CA	any	RELN, PIK3R1	any	RELN, ARHGEF2	any	RELN)	5.902999758227981
EGFR	0.08508055536992845	true	-1	true	Set(PTEN	any	TP53, EGFR	any	TP53, MCL1	any	TP53)	5.780781508668923
