GeneA	GeneB	MEScore
PIK3CA	PIK3R1	8.751317019705477
PIK3R1	PTEN	7.209276382620539
CTNNB1	VCAN	4.984344362627307
ERBB2	PIK3R1	6.868323022633124
ERBB2	GRB2	0.0
PIK3CA	PTEN	8.285425505999868
CTNNB1	LEF1	0.0
MAX	TP53	5.0550379257558005
BCL2L1	TP53	5.6948157676969355
TP53	APC	5.228000493485622
MCL1	TP53	6.336957076122941
CRK	PIK3R1	0.0
APC	CTNNB1	5.398557925000402
MYC	ERBB2	6.201111515554201
CTNNB1	MYC	7.535533905932738
PIK3R1	BCL2L1	6.4806186169324524
TP53	VCAN	4.771150241737765
PIK3CA	BCL2L1	7.56536113436699
MYC	TP53	6.649245656608159
GRB2	PIK3R1	0.0
MAX	ERBB2	4.319596107466319
MAX	MYC	4.653567894682633
TP53	PTEN	9.286078052838432
CRK	ERBB2	0.0
CRK	PIK3CA	0.0
