GeneA	GeneB	MEScore
LEF1	CCND1	0.0
E2F1	TP73	0.0
BRCA1	KLK3	0.0
AGAP2	CCND1	2.323763377495764
ESR2	SPTBN2	0.0
ERBB3	AKT1	0.0
HTT	TP53	5.14584165673112
RASA1	SOS1	2.2906379287057526
CDC42	GRB2	0.0
PRKDC	KLK3	0.0
NCK1	CSMD2	0.0
CRK	SOS1	0.0
SRC	MAPK8	0.0
DOCK1	FYN	0.0
TEK	MAPK14	0.0
ABL1	GRB2	0.0
EMX1	TP63	0.0
DOCK3	NCK1	0.0
APC	FLNA	3.03439873697506
AXIN1	LRP5	2.118033988749895
LRP1	SKIL	0.0
AKT1	MCL1	0.0
CTNNB1	CUL1	0.0
TP53	TP73	0.0
ABL2	EGFR	0.0
CHD3	GSK3B	0.0
MAX	TSC2	2.118033988749895
NCK1	SOS1	0.0
AR	CCND1	2.57577196246122
LRP1	PDGFRB	2.767766952966369
CHD3	HTT	2.904014485616485
ERBB3	MAPK8	2.3228756555322954
CBL	PTPRJ	2.0
PTPRK	TEK	2.3228756555322954
FYN	MLL4	0.0
PRPF40A	UBQLN4	0.0
FYN	CDH1	0.0
PIK3CA	PIK3R1	8.751317019705477
CREB1	SMAD3	0.0
MTOR	GSK3B	0.0
PIK3CA	SRC	0.0
TP53	TSC2	4.937003937005906
FYN	SOS1	0.0
ITGA2B	PIK3R1	4.9126289178441
DOCK3	GRB2	0.0
EP300	CDX1	0.0
DVL3	ZNF512B	0.0
CBL	PLCG1	2.0
ESR1	SMAD3	0.0
GRB2	MYLK	0.0
PPP2R1A	CTNNB1	6.030179779405716
PAK1	RHOA	0.0
FLNC	UBE2I	0.0
SHB	PIK3CA	0.0
PIK3R1	AKAP6	5.255873745540864
SMAD3	SKIL	0.0
FYN	CTNNA1	0.0
GRB2	SMAD3	0.0
NRXN1	PDZD2	2.7370892179053907
CDC42	RIF1	0.0
ITGA2B	PIK3CA	6.121974414191598
PIK3R1	PTEN	7.209276382620539
ABL1	MLL4	2.7031427108718225
SMAD3	SPTBN1	0.0
CTNNB1	RHOA	0.0
DVL3	MYC	4.5
TLE1	PCDHA4	2.53224755112299
MYC	SF3B1	4.3838372236520105
MET	PTPRK	0.0
PTPN12	TEK	0.0
CBL	PDGFRB	2.118033988749895
FLNA	SMAD3	0.0
CREB1	MYC	0.0
PAK1	PIK3R1	0.0
PIK3R1	TULP4	5.1491628628991695
PDGFRB	RASA1	2.342778860141484
TP53	UBE2I	0.0
APC	NEB	3.1937043489192662
CTNNB1	TLE1	4.984344362627307
TP53	PCDHA4	5.243972440871826
CTNNB1	VCAN	4.984344362627307
TCF7L2	MYC	0.0
SOS1	PAK1	0.0
ERBB3	SRC	0.0
CTNNB1	MYO6	5.0
AXIN1	CTNNA1	0.0
MET	SRC	0.0
ATXN1	UBE2I	0.0
FGFR3	SMG7	3.516032718869509
ABL2	SRC	0.0
PIK3CB	TIAM1	2.53224755112299
ATXN1	SPEN	0.0
PDGFRB	SHB	0.0
PLCG1	EPX	2.0
SMAD2	SMAD9	0.0
ABL1	FYN	0.0
CREBBP	TLE1	2.4409096442821903
CTNNA1	PIK3CA	0.0
RASA1	MAPK8	1.8251407699364424
MAX	MGA	2.618033988749895
CBL	SOS1	2.224744871391589
BRCA1	MYC	4.207106781186548
DOCK3	FYN	0.0
TNIK	AXIN2	2.118033988749895
CRK	ARHGEF11	0.0
FYN	TULP4	0.0
CTNNA1	PLEKHA7	0.0
ESR1	SOS1	2.5476205269238843
ABL1	PLCG1	1.801439750477924
PLCG1	CDC42	0.0
CDH1	MET	0.0
MYC	SMAD4	0.0
GRB2	SOS1	0.0
PLCG1	CSMD2	2.802775637731995
NCK1	RASA1	0.0
CDH1	TJP1	2.140780282182635
CTNND1	PIK3R1	5.133628589802147
CBL	EGFR	0.0
FYN	PIK3CA	0.0
