#VALUE = Log10 normalized expression of ORF																																
ORF	ORF_BNAME	P	A384	A744	A1224	A1824	A2496	B384	B744	B1224	B1824	B2496	C384	C744	C1224	C1824	C2496	D384	D744	D1224	D1824	D2496	E384	E744	E1224	E1824	E2496	F384	F744	F1224	F1824	F2496
thrL	b0001	3.29305	3.072886	2.878713	3.138247	3.333184	3.195964	3.126398	3.204373	3.270499	3.227115	3.071166	3.091233	3.157167	2.955159	3.19023	3.274703	3.084926	3.01536	3.260561	3.149905	3.114357	3.177425	3.185452	3.183923	3.278717	3.105948	3.021667	2.937003	3.057979	3.181057	3.021667
thrA	b0002	3.854546	3.693053	3.591189	3.601892	3.644319	3.612021	3.770073	3.562522	3.629603	3.664195	3.386887	3.791287	3.764913	3.721339	3.657888	3.673178	3.657888	3.605905	3.926214	3.876524	3.847666	3.726116	3.726116	3.730512	3.66152	3.668782	3.644319	3.581443	3.676809	3.629603	3.634381
thrB	b0003	3.420906	3.428933	3.315602	3.393003	3.416702	3.259414	3.4662	3.309677	3.423964	3.442311	3.128118	3.472507	3.454542	3.418804	3.373127	3.384021	3.360705	3.369496	3.69764	3.716561	3.651391	3.472507	3.427022	3.459702	3.420906	3.414981	3.345416	3.321717	3.439253	3.408866	3.40103
thrC	b0004	3.410586	3.358793	3.300313	3.366247	3.435813	3.272983	3.414981	3.311779	3.367012	3.393003	3.143789	3.442311	3.444986	3.393003	3.352105	3.405235	3.317322	3.30165	3.641261	3.622723	3.626928	3.37867	3.38211	3.393003	3.38899	3.433328	3.290375	3.334522	3.374656	3.366247	3.38899
yaaX	b0005	2.081382	2.180761	2.093422	2.246123	2.184966	2.04851	2.186112	2.137569	2.144258	2.238096	2.00226	2.099346	2.179806	2.114253	2.006273	2.134702	2.209811	2.229304	2.498012	2.450998	2.425197	2.105844	2.143685	2.240198	2.183819	2.28511	2.072781	2.151712	2.259501	2.212486	2.282625
talB	b0008	3.246418	3.231893	3.247947	3.305855	3.251387	3.273556	3.206284	3.175514	3.229218	3.273556	3.26897	3.220044	3.29305	3.2382	3.191186	3.295917	3.212017	3.243169	3.235333	3.155638	3.132705	3.193479	3.234187	3.19023	3.254636	3.220044	3.204373	3.158314	3.212017	3.222147	3.21756
mog	b0009	2.116929	2.201402	2.254149	2.331169	2.322951	2.34168	2.200446	2.217264	2.24402	2.252811	2.28167	2.247843	2.21306	2.255296	2.274981	2.371494	2.266381	2.239051	2.256825	2.296577	2.307279	2.279568	2.314924	2.267145	2.302501	2.285683	2.19433	2.20962	2.316835	2.328875	2.265807
dnaK	b0014	3.641261	3.832568	3.951823	3.752299	3.700698	3.688467	3.791287	3.997309	3.681013	3.742743	3.681013	3.74733	3.86563	3.776189	3.66152	3.644319	3.86563	3.909014	3.854546	3.673178	3.69764	3.791287	3.894107	3.836772	3.791287	3.74733	3.822438	3.841932	3.815749	3.742743	3.721339
dnaJ	b0015	3.222147	3.373127	3.41307	3.252342	3.23648	3.197493	3.280054	3.542837	3.214502	3.283112	3.216031	3.272983	3.314646	3.240111	3.245271	3.276805	3.405235	3.418804	3.322673	3.257885	3.234187	3.276805	3.326686	3.289801	3.303944	3.225969	3.322673	3.302415	3.309677	3.259414	3.230556
rpsT	b0023	3.251387	3.317322	3.398737	3.423964	3.444986	3.402559	3.457218	3.354016	3.354016	3.376567	3.41307	3.284832	3.256356	3.405235	3.313308	3.296681	3.243169	3.444986	3.433328	3.626928	3.786127	3.380581	3.309677	3.408866	3.369496	3.562522	3.182777	3.19023	3.475183	3.374656	3.565771
ribF	b0025	2.848517	2.855015	2.803222	2.788316	2.769204	2.845841	2.824627	2.782964	2.778378	2.76844	2.813352	2.858646	2.826921	2.760031	2.767293	2.792329	2.890944	2.735377	2.837814	2.783538	2.799209	2.836668	2.844886	2.804178	2.814498	2.795005	2.808192	2.729452	2.78564	2.837814	2.811823
ileS	b0026	3.22272	3.271836	3.257885	3.161181	3.177999	3.248711	3.245271	3.241831	3.145509	3.183923	3.171692	3.227115	3.280054	3.241831	3.155638	3.207813	3.267632	3.264574	3.195964	3.18851	3.19023	3.262663	3.311779	3.214502	3.222147	3.206284	3.201315	3.177999	3.212973	3.175514	3.182777
lspA	b0027	2.849281	2.914643	2.941972	2.89706	2.932798	3.002747	2.915789	2.961083	2.882153	2.94675	2.892473	2.941208	2.981724	2.955923	2.935665	2.964906	2.959172	2.928212	2.921905	2.94847	2.967964	2.957261	2.968919	2.935665	2.942736	2.941972	2.9091	2.894384	2.945412	2.924772	2.941972
fkpB	b0028	2.873935	2.933945	2.915789	2.878713	2.893811	2.982488	2.946177	2.937003	2.91426	2.937003	2.932798	2.920949	2.955923	2.962612	2.983826	2.97255	2.906234	2.928785	2.922478	2.926683	2.942736	2.89018	2.912922	2.919038	2.950572	2.992617	2.884829	2.847561	2.920758	2.906234	2.97255
ispH	b0029	2.426344	2.56968	2.520755	2.58344	2.594525	2.738052	2.519035	2.489985	2.50967	2.589174	2.606756	2.567387	2.592996	2.555729	2.618606	2.628352	2.60389	2.538337	2.561653	2.50451	2.50967	2.523048	2.535853	2.524386	2.586116	2.582676	2.50279	2.580382	2.572356	2.549231	2.57656
