protein1	protein2	biogrid_id	interaction_type	pmid
A1CF	APOBEC1	BIOGRID:283284;BIOGRID:283285;BIOGRID:302629	direct interaction;physical association	pubmed:10669759;pubmed:11134005
A1CF	SYNCRIP	BIOGRID:277418;BIOGRID:283281;BIOGRID:283282;BIOGRID:283283	direct interaction;physical association	pubmed:11134005;pubmed:11352648
A2M	AMBP	BIOGRID:280871;BIOGRID:287705	physical association	pubmed:1697852;pubmed:7519849
A2M	APOE	BIOGRID:302791;BIOGRID:302792;BIOGRID:740091	direct interaction;physical association	pubmed:21163940;pubmed:9831625
AAAS	UBC	BIOGRID:1030581;BIOGRID:605911;BIOGRID:608316;BIOGRID:608935;BIOGRID:619241;BIOGRID:625476;BIOGRID:628570;BIOGRID:732367;BIOGRID:848067;BIOGRID:939668;BIOGRID:945290	physical association	pubmed:18781797;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:21987572;pubmed:22118674;pubmed:22505724;pubmed:24654937;pubmed:24816145;pubmed:25147182
AACS	UBC	BIOGRID:618264;BIOGRID:625215;BIOGRID:847615;BIOGRID:945752	physical association	pubmed:21139048;pubmed:21890473;pubmed:21963094;pubmed:24816145
AAGAB	UBC	BIOGRID:619768;BIOGRID:732314	physical association	pubmed:21139048;pubmed:22505724
AAMP	UBC	BIOGRID:622333;BIOGRID:626018;BIOGRID:631460;BIOGRID:730649;BIOGRID:847947;BIOGRID:851902	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:22505724;pubmed:23000965
AARS	UBC	BIOGRID:1031548;BIOGRID:622330;BIOGRID:626017;BIOGRID:631457;BIOGRID:729509;BIOGRID:730714;BIOGRID:847495;BIOGRID:851369;BIOGRID:942738	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:22053931;pubmed:22505724;pubmed:23000965;pubmed:24816145;pubmed:25147182
AARS2	UBC	BIOGRID:621654;BIOGRID:630821	physical association	pubmed:21139048;pubmed:21906983
AARSD1	UBC	BIOGRID:618075;BIOGRID:624823;BIOGRID:627505;BIOGRID:732358;BIOGRID:846426;BIOGRID:944099	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:22505724;pubmed:24816145
AASDHPPT	TRAF2	BIOGRID:1042971;BIOGRID:120387	direct interaction	pubmed:16189514;pubmed:25416956
AASDHPPT	UBC	BIOGRID:1030549;BIOGRID:609385;BIOGRID:610366;BIOGRID:620874;BIOGRID:625350;BIOGRID:630107;BIOGRID:729203;BIOGRID:731936;BIOGRID:846522;BIOGRID:943192	physical association	pubmed:20972266;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:21987572;pubmed:22053931;pubmed:22505724;pubmed:24816145;pubmed:25147182
AASDHPPT	USP22	BIOGRID:1046447;BIOGRID:424203	direct interaction;physical association	pubmed:19615732;pubmed:25416956
AASS	UBC	BIOGRID:626072;BIOGRID:630401	physical association	pubmed:21890473;pubmed:21906983
AATF	MDM2	BIOGRID:1029175;BIOGRID:684680;BIOGRID:684684	physical association	pubmed:17468107;pubmed:25210797
AATF	RB1	BIOGRID:14252;BIOGRID:277848;BIOGRID:277849;BIOGRID:304596;BIOGRID:304597;BIOGRID:304598;BIOGRID:304599	direct interaction;physical association	pubmed:10783144;pubmed:12450794
AATF	SUMO2	BIOGRID:613812;BIOGRID:636952;BIOGRID:643566	physical association	pubmed:19471022;pubmed:21252943;pubmed:21693764
AATF	UBC	BIOGRID:1029176;BIOGRID:609386;BIOGRID:621000;BIOGRID:625706;BIOGRID:630231;BIOGRID:684681;BIOGRID:731049;BIOGRID:845716;BIOGRID:849374;BIOGRID:943444	physical association	pubmed:17468107;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:21987572;pubmed:22505724;pubmed:23000965;pubmed:24816145;pubmed:25210797
ABCA1	UBC	BIOGRID:560087;BIOGRID:569335;BIOGRID:611711	physical association	pubmed:19268428;pubmed:21520210;pubmed:21817095
ABCA2	UBC	BIOGRID:631448;BIOGRID:847219	physical association	pubmed:21906983;pubmed:21963094
ABCA3	UBC	BIOGRID:1030739;BIOGRID:622321;BIOGRID:625995	physical association	pubmed:21139048;pubmed:21890473;pubmed:25147182
ABCB1	UBC	BIOGRID:593439;BIOGRID:603798;BIOGRID:619900;BIOGRID:626562;BIOGRID:850620;BIOGRID:859115;BIOGRID:859117	physical association	pubmed:20460432;pubmed:20640574;pubmed:21139048;pubmed:21890473;pubmed:23000965;pubmed:23465077
ABCB10	UBC	BIOGRID:617683;BIOGRID:624574;BIOGRID:945826	physical association	pubmed:21139048;pubmed:21890473;pubmed:24816145
ABCB11	UBC	BIOGRID:622245;BIOGRID:935992	physical association	pubmed:21139048;pubmed:24378332
ABCB6	UBC	BIOGRID:608936;BIOGRID:610335;BIOGRID:621658;BIOGRID:626720;BIOGRID:630823;BIOGRID:846533;BIOGRID:946045	physical association	pubmed:20972266;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:21987572;pubmed:24816145
ABCB7	UBC	BIOGRID:608937;BIOGRID:622320;BIOGRID:944403	physical association	pubmed:21139048;pubmed:21987572;pubmed:24816145
ABCB8	UBC	BIOGRID:628272;BIOGRID:847864	physical association	pubmed:21906983;pubmed:21963094
