Entrez Gene IDA	Symbol A	Entrez Gene IDB	Symbol B	pmid/DOI
14	AAMP	6293	VPS52	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
14	AAMP	8553	BHLHE40	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
14	AAMP	64782	AEN	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
15	AANAT	4188	MDFI	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
15	AANAT	8553	BHLHE40	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
28	ABO	65983	GRAMD3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
28	ABO	84283	TMEM79	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
39	ACAT2	39	ACAT2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
39	ACAT2	84708	LNX1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
60	ACTB	60	ACTB	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
60	ACTB	71	ACTG1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
60	ACTB	1072	CFL1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
60	ACTB	1073	CFL2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
60	ACTB	1962	EHHADH	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
60	ACTB	10486	CAP2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
60	ACTB	11034	DSTN	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
60	ACTB	55093	WDYHV1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
71	ACTG1	71	ACTG1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
71	ACTG1	1072	CFL1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
71	ACTG1	1073	CFL2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
71	ACTG1	1962	EHHADH	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
71	ACTG1	10486	CAP2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
71	ACTG1	11034	DSTN	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
71	ACTG1	28952	CCDC22	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
71	ACTG1	55093	WDYHV1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
81	ACTN4	89	ACTN3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
81	ACTN4	655	BMP7	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
81	ACTN4	51778	MYOZ2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
87	ACTN1	87	ACTN1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
87	ACTN1	89	ACTN3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
87	ACTN1	4938	OAS1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
87	ACTN1	9852	EPM2AIP1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
87	ACTN1	51778	MYOZ2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
87	ACTN1	79778	MICALL2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
87	ACTN1	200845	KCTD6	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
87	ACTN1	220082	SPERT	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
88	ACTN2	88	ACTN2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
88	ACTN2	4342	MOS	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
88	ACTN2	6615	SNAI1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
88	ACTN2	6672	SP100	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
88	ACTN2	27295	PDLIM3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
88	ACTN2	51778	MYOZ2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
88	ACTN2	79778	MICALL2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
88	ACTN2	84312	BRMS1L	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
88	ACTN2	158297	FAM154A	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
88	ACTN2	285093	RTP5	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
89	ACTN3	89	ACTN3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
89	ACTN3	5966	REL	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
89	ACTN3	7185	TRAF1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
89	ACTN3	7186	TRAF2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
89	ACTN3	10529	NEBL	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
89	ACTN3	51225	ABI3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
89	ACTN3	54778	RNF111	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
89	ACTN3	64857	PLEKHG2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
89	ACTN3	84970	C1orf94	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
89	ACTN3	200845	KCTD6	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
89	ACTN3	391257	SUMO1P1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
95	ACY1	4521	NUDT1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
98	ACYP2	6820	SULT2B1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
98	ACYP2	58487	CREBZF	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
118	ADD1	10363	HMG20A	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
141	ADPRH	7024	TFCP2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
163	AP2B1	293	SLC25A6	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
163	AP2B1	3838	KPNA2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
163	AP2B1	7307	U2AF1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
163	AP2B1	10053	AP1M2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
163	AP2B1	10411	RAPGEF3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
163	AP2B1	25828	TXN2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
163	AP2B1	27125	AFF4	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
163	AP2B1	55145	THAP1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
163	AP2B1	91419	XRCC6BP1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
163	AP2B1	129807	NEU4	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
164	AP1G1	8905	AP1S2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
164	AP1G1	84993	UBL7	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	166	AES	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	604	BCL6	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	705	BYSL	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	1406	CRX	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	1656	DDX6	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	2670	GFAP	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	2801	GOLGA2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	2885	GRB2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	3185	HNRNPF	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	3801	KIFC3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	3860	KRT13	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	3866	KRT15	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	3881	KRT31	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	4004	LMO1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	4005	LMO2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	4088	SMAD3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	4154	MBNL1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	4236	MFAP1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	4253	CTAGE5	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	4665	NAB2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	5562	PRKAA1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	5563	PRKAA2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	5859	QARS	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	5966	REL	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	5987	TRIM27	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	6386	SDCBP	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	6495	SIX1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	6498	SKIL	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	6631	SNRPC	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	6660	SOX5	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	6733	SRPK2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	6925	TCF4	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	6926	TBX3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	6945	MLX	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
