substrate	kinase
ACTN1	PTK2
STAT3	FGFR3
STAT3	FGFR4
STAT3	HCK
STAT3	JAK1
STAT3	JAK2
STAT3	MAPK1
STAT3	PRKCD
STAT3	SRC
STAT3	MAPK8
STAT3	MAPK3
STAT3	RPS6KA5
STAT3	EPHA3
ADD1	PRKCD
ADD1	PRKACA
ADD1	ROCK1
ADD2	PRKCD
ADD2	PRKACA
ADRA2A	ADRBK1
ADRA2A	PRKCD
ADRA1B	PRKCA
PSEN1	CDK5
PSEN1	PRKCZ
PSEN1	PRKACA
PSEN1	GSK3B
APP	CDK5
APP	GSK3B
APP	BACE2
APLP2	CDK1
APLP2	PRKCA
ALK	ALK
SLC4A3	PRKCE
CD19	LYN
CD19	MAPK1
CD19	ABL1
CD19	BTK
SLC9A1	MAPK14
SLC9A1	MAPK1
IFNAR1	TYK2
APEX1	CSNK2A1
LRP1	SRC
LRP1	PRKACA
ARRB1	MAPK1
ARRB1	MAPK3
ARRB2	CSNK2A1
ARRB2	CSNK2A2
GRB2	EGFR
GRB2	SRC
ACLY	GSK3B
ACLY	PRKACA
ATP2B1	PRKCA
ATP2B1	PRKACA
ATP2B4	SRC
ATP2B2	PRKCA
ATP2A2	CAMK2A
AXL	AXL
SLC4A1	LYN
SLC4A1	SYK
ADRBK1	PRKCA
ADRBK1	PRKCD
ADRBK1	PRKCG
ADRBK1	PRKACA
ADRBK1	MAPK3
ADRB2	INSR
ADRB2	PRKCD
ADRB2	GRK5
CEACAM1	SRC
CEACAM1	MAP3K10
CD79A	FYN
CD79A	LYN
MS4A1	CSNK2A1
MS4A1	CSNK2A2
BDKRB2	ADRBK1
BDKRB2	ADRBK2
BDKRB2	GRK4
BDKRB2	PRKCD
BDKRB2	GRK6
BDKRB2	GRK5
BRCA1	CSNK2B
BRCA1	ATR
BRCA1	CDK2
BRCA1	AKT1
BRCA1	CHEK2
BRCA1	ATM
BRCA1	AURKA
BRCA1	CSNK2A1
CALM1	EGFR
CALM1	INSR
CALM2	EGFR
CALM2	INSR
CALM3	EGFR
CALM3	INSR
CACNA1C	PRKACA
CALD1	CDK1
CASQ2	CSNK2A1
CASQ2	CSNK2A2
CSNK2A1	CDK1
CSNK2B	CSNK2B
CSNK2B	CDK1
CAT	ABL2
CTNNB1	CSNK2A1
CTNNB1	CSNK2B
CTNNB1	FYN
CTNNB1	FER
CTNNB1	SRC
CTNNB1	CSNK1A1
CTNNB1	CSNK1D
CTNNB1	GSK3B
CTNNB1	CDK6
CUX1	CDK1
CEBPA	GSK3B
CDKN1A	AKT1
CDKN1A	PIM1
CDKN1A	MAPK8
CDKN1A	DAPK3
CDK1	CSNK2A1
CDK1	LYN
CDK1	WEE1
CDK1	MYT1
CDK1	PKMYT1
CDK1	CDK7
CDK1	CDK1
CDC25A	CDK1
CDC25A	PIM1
CDC25A	CHEK1
CDC25A	CHEK2
CDC34	CSNK2B
CDC25B	CSNK2A1
CDC25B	CDK1
CDC25B	AURKA
CDC25B	MELK
CDK2	CDK20
CDK2	CDK7
CDK2	WEE1
CDK2	CDK2
RBL1	CDK4
CENPA	AURKB
CLTB	CSNK2A1
CLTB	CSNK2A2
COL4A3	CAMK2B
MME	CSNK2B
CD46	YES1
GJA1	MAPK1
GJA1	PRKCA
GJA1	PRKCB
GJA1	PRKCG
GJA1	SRC
GJA1	CSNK1D
GJA1	MAPK3
GJA1	MAPK7
ATF1	CSNK2A1
ATF1	CAMK2G
ATF1	RPS6KA4
ATF1	CAMK1
ATF1	RPS6KA5
ATF1	PRKACA
CREB1	AKT1
CREB1	RPS6KA3
CREB1	RPS6KA1
CREB1	RPS6KA2
CREB1	RPS6KA4
CREB1	GSK3B
CREB1	RPS6KA5
CREB1	PRKG1
CREB1	MAPKAPK2
CREB1	SGK1
CREB1	TSSK4
CREB1	ATM
ATF2	MAPK14
ATF2	MAPK9
CREM	CSNK2A1
CREM	CSNK2A2
CREM	CDK1
CREM	PRKCA
CREM	CSNK1A1
CREM	PRKACA
CREM	CAMK2G
CREM	GSK3B
CREM	GSK3A
CREM	CAMK2D
CDK3	CDK3
CDK5	FYN
CDK5	ABL1
CDK5	CSNK1D
CCNB1	PLK1
CCNE1	CDK2
CCNE1	GSK3B
CTLA4	FYN
CTLA4	JAK2
CTLA4	LCK
CTLA4	TXK
EZR	CDK5
EZR	EGFR
EZR	LCK
EZR	PRKCA
EZR	ROCK1
CSK	CSK
CSK	PRKACA
DMTN	PRKACA
DSP	PRKACA
DES	ROCK1
DES	AURKB
ARNT	CSNK2A1
DDIT3	CSNK2A1
DDIT3	MAPK14
LIG1	CSNK2A1
TOP2A	CSNK2A1
TOP2A	CDK1
TOP2A	PRKCA
TOP2A	PRKCB
TOP2A	PRKCG
DAG1	SRC
EGR1	CSNK2A1
EPB41	EGFR
EPB41	PRKCB
EEF1A1	PRKCD
EEF1D	CDK1
EEF2	EEF2K
EGFR	EGFR
EGFR	JAK2
EGFR	PRKCD
EGFR	SRC
EGFR	CAMK2G
EGFR	CAMK2A
EGFR	ERBB2
EPOR	JAK2
ESR1	LCK
ESR1	AKT1
ESR1	AKT2
ESR1	MAPK1
ESR1	SRC
ESR1	RPS6KA3
ESR1	MAPK14
ESR1	RPS6KA1
ESR1	PAK1
ESR1	MNAT1
ESR1	CDK7
EIF4E	PRKCA
EIF4E	PRKCB
EIF4E	PRKCG
EIF4E	MKNK2
EIF4E	MKNK1
EWSR1	PRKCA
FGFR3	FGFR3
FGFR4	FGFR4
FGFR1	SHB
FLT3	FLT3
FOXO1	AKT1
FOXO1	PAK1
FOXO1	GSK3B
FOXO1	CSNK1G1
FOXO1	DYRK1A
FPR1	ADRBK1
FYN	CSK
FYN	FYN
FYN	PDGFRB
GABRG2	PRKCA
GATA2	AKT1
GSN	CSK
GFAP	CDK1
GFAP	PRKCA
GFAP	PRKACA
GFAP	ROCK1
GFAP	CAMK2A
NR3C1	MAPK1
NR3C1	PRKDC
NR3C1	MAPK8
SLC2A2	PRKACA
GRIK2	PRKAA1
GRIA4	PRKCA
GRIA4	PRKACA
GRIA4	CAMK2G
GRIA1	PRKCA
GRIA1	PRKACA
GRIA1	CAMK2G
GRIN2B	FYN
GRIN2B	PRKCA
GRIN2B	PRKCB
GRIN2B	PRKCG
GRIN2B	SRC
GRIN2B	CAMK2A
GRIN2B	CAMK2B
GRIN2A	CDK5
GRIN2A	PRKCA
GRIN2A	SRC
GRIN2A	CAMK2A
GRIN2A	CAMK2B
GFPT1	PRKCA
GYS1	CSNK2A1
GYS1	PRKACA
GYS1	GSK3B
GP1BB	PRKACA
CSF3R	HCK
NR4A1	AKT1
NR4A1	MAPK1
NR4A1	RPS6KA1
NR4A1	RPS6KA3
NR4A1	RPS6KA5
RASA1	EGFR
RASA1	LCK
GNAZ	PRKCD
GNA15	PRKCA
HES1	PRKCA
HSP90AA1	CSNK2A1
HSP90AA1	PRKDC
HSF1	CSNK2A1
HSF1	MAPK8
HSF1	MAPK3
HSF1	GSK3A
HSF1	CAMK2A
HMOX1	AKT1
HMOX2	CSNK2A1
HCK	CSK
HCK	HCK
SDC2	PRKCA
SDC2	PRKCB
SDC2	PRKCG
HIST1H1A	CDK1
HLA-A	PRKCA
HLA-A	PRKAR1A
HLA-A	SRC
HLA-B	SRC
HMGCR	PRKACA
HOXB6	CSNK2B
HOXB7	CSNK2A1
HTT	AKT1
YWHAQ	CSNK1A1
YWHAQ	BCR
ICAM3	PRKCQ
IL2RB	JAK1
IL2RB	LCK
IGFBP3	CSNK2A1
FCGR2A	FYN
FCGR2A	LYN
FCGR2A	BLK
FCGR2A	SYK
IL10RA	JAK1
TCF3	MAPK1
TCF3	MAPK3
CD79B	FYN
CD79B	LYN
CD79B	LCK
ITPR1	CDK1
ITPR1	FYN
ITPR1	PRKACA
ITPR1	PRKG1
IGF1R	SRC
ITPKA	PRKCA
ITPKA	PRKACA
IRS1	CSNK2A1
IRS1	CSNK2B
IRS1	IGF1R
IRS1	JAK1
IRS1	MAPK8
IRS1	IKBKB
IRS1	SIK2
IRS1	MAPK1
IRS1	PRKCQ
IRS1	PRKCG
IRS1	PRKCD
ITGB7	PRKCB
ITGB7	PRKCD
IFI16	CSNK2A1
INSR	INSR
INSR	PRKCA
CASP1	PAK1
JAK1	JAK3
JAK2	JAK2
JAK2	ABL1
KRT8	MAPK1
KRT8	MAPK14
KRT8	MAPK8
KRT8	MAPK3
KRT18	PRKCA
KRT18	RPS6KA3
KRT18	CDK1
KRT18	PRKCE
KRT18	CAMK2A
KIF11	CDK1
LMNA	CDK1
LMNA	PRKCA
LMNB1	CDK1
LMNB1	PRKCB
RUNX1	HIPK2
BCR	HCK
BCR	FES
BCL2	MAPK1
BCL2	PRKCA
BCL2	MAPK8
STMN1	CSNK2A1
STMN1	CDK1
STMN1	PRKACA
STMN1	MAPK3
LIFR	MAPK1
PTPRC	CSNK2A1
PTPRC	CSNK2A2
ANXA1	SRC
ANXA1	TRPM7
ANXA1	PRKCI
ANXA2	PRKCA
ANXA2	PRKCB
LIPE	MAPK1
LIPE	PRKACA
LIPE	MAPK3
ALOX5	MAPKAPK2
KCNH2	PRKACA
LEF1	NLK
CD5	CSNK2A1
CD5	FYN
CD5	LCK
CD5	PRKCA
CD5	PRKCB
CD5	PRKCG
LCK	CSK
LCK	FCGR3A
LCK	LCK
LCK	MAPK1
LCK	PRKCA
LCK	SYK
LCK	PRKACA
LCK	MAPK3
LCP1	PRKACA
LSP1	MAPKAPK2
LGALS3	CSNK2A1
LGALS3	CSNK2A2
LGALS3	CSNK1A1
YBX1	AKT1
MIP	PRKACA
MAX	CSNK2A1
MAX	MAPK14
MC4R	ADRBK1
MC4R	PRKACA
NME1	NME1
NME2	NME2
MITF	GSK3B
MAP2	MARK1
MAP2	PRKACA
MAP4	CDK1
MAP4	MARK1
MAPT	CDK5
MAPT	PHKG1
MAPT	MAPK1
MAPT	GSK3B
MAPT	PRKCD
MAPT	RPS6KA3
MAPT	PKN1
MAPT	PRKACA
MAPT	MAPK12
MAPT	GSK3A
MAPT	CAMK2A
MAPT	MARK1
MAPT	CDK1
MAPT	ABL1
MAPT	RPS6KB1
CDC25C	CDK1
CDC25C	MAPK14
CDC25C	PLK1
CDC25C	MARK3
CDC25C	PLK3
CDC25C	CHEK1
CDC25C	CHEK2
CDC25C	BRSK2
CDC25C	BRSK1
CDC25C	PKN1
MUC1	EGFR
MUC1	PRKCD
MUC1	GSK3B
MUC1	ZAP70
MBP	PRKCA
MBP	PRKACA
MBP	MAPK1
MAG	FYN
MLLT4	BCR
CD33	SRC
MYOD1	CDK2
MYOD1	PRKCA
MYF5	CSNK2A1
MYF5	CSNK2A2
MYL2	CDC42BPA
NMT1	FYN
NMT1	LYN
NGFR	PRKACB
GAP43	PRKCB
GAP43	CSNK2A1
NEFH	MAPK1
NOS3	AKT1
NOS1	PRKCA
NOS1	PRKACA
NOS1	CAMK1
NOS1	CAMK2A
NOS1	CAMK4
SNCA	ADRBK1
SNCA	CSNK2A1
SNCA	CSNK2A2
SNCA	FYN
SNCA	FGR
SNCA	LYN
SNCA	SYK
SNCA	CSNK1D
SNCA	GRK5
SNCA	PTK2B
SNCA	GRK6
HMGN2	PRKCA
HMGN2	RPS6KA3
HMGN2	PRKACA
HMGN1	PRKCA
HMGN1	RPS6KA3
HMGN1	PRKACA
HMGN1	RPS6KA4
HMGN1	RPS6KA5
NFKBIA	CSNK2A1
NFKBIA	LCK
NFKBIA	EIF2AK2
NFKBIA	SRC
NFKBIA	RPS6KA1
NFKBIA	IKBKB
NFKBIA	TBK1
NFKBIA	IKBKE
NFKBIA	IKBKG
NFKB1	CHUK
NFKB1	PRKACA
NFKB1	IKBKB
NFKB1	GSK3B
NFKB2	MAP3K14
RELA	CSNK2A1
RELA	PRKCZ
RELA	PRKACA
RELA	CHUK
HNRNPC	CSNK2A1
HNRNPC	CSNK2A2
HNRNPC	CSNK1A1
NPM1	CDK1
NPM1	CDK2
NPM1	PLK1
ETS1	MAPK3
ETS1	MAPK7
ETS1	CAMK2A
ETS1	CAMK2B
AKT1	SRC
AKT1	ILK
AKT1	PDK1
AKT1	PDPK1
AKT1	CAMKK1
AKT1	RHEBL1
AKT2	PDPK1
BRAF	AKT1
BRAF	PRKACA
BRAF	SGK1
BRAF	RHEB
BRAF	BRAF
RAF1	JAK2
RAF1	AKT1
RAF1	RAF1
RAF1	MAPK1
RAF1	PRKCA
RAF1	SRC
RAF1	PAK3
RAF1	PRKACA
RAF1	PAK1
RAF1	PRKAA1
RAF1	RHEB
RET	RET
CRK	EGFR
CRK	IGF1R
CRK	ABL2
CRK	ABL1
CTTN	FER
CTTN	SRC
CSF1R	CSF1R
MDM2	AKT1
MDM2	ABL1
MDM2	ATM
FOS	MAPK1
FOS	PRKACA
FOS	RPS6KA1
MYCN	CSNK2A1
MYCN	CSNK2A2
MET	MET
ERBB2	EGFR
ERBB2	ERBB2
VAV1	LCK
YES1	YES1
KIT	KIT
KIT	PRKCA
KIT	SRC
FGR	FGR
FGR	CSK
FLT1	FLT1
RRAS	EPHB2
LYN	LYN
LYN	MATK
LYN	CSK
JUN	ABL1
JUN	PRKDC
JUN	MAPK8
JUN	CSNK2A1
JUNB	MAPK14
JUNB	MAPK8
OPRD1	PRKCA
OPRD1	PRKCE
OPRD1	PRKCD
OPRD1	ADRBK1
CBL	EGFR
CBL	FYN
CBL	HCK
CBL	INSR
CBL	PRKCA
RHOA	PRKACA
SPP1	PRKCA
SPP1	PRKG1
SPP1	CSNK2A1
SPP1	CSNK2A2
CCND1	PRKACA
CCND1	GSK3B
PTHLH	CDK2
PAM	PRKCA
PAM	UHMK1
PLIN1	PRKACA
PPARA	MAPK1
PPARA	MAPK3
PDC	PRKACA
PDC	CAMK2A
PIK3R1	INSR
PIK3R1	LCK
PFKFB2	PRKCA
PFKFB2	PRKAA2
PFKFB2	PRKACA
PFKFB2	PRKAA1
PFKFB2	AKT1
GPI	CSNK2A1
PLN	PRKACA
