HGNC symbol	Chromosome Name	Gene Start (bp)	Gene End (bp)
MT-TF	MT	577	647
MT-RNR1	MT	648	1601
MT-TV	MT	1602	1670
MT-RNR2	MT	1671	3229
MT-TL1	MT	3230	3304
MT-ND1	MT	3307	4262
MT-TI	MT	4263	4331
MT-TQ	MT	4329	4400
MT-TM	MT	4402	4469
MT-ND2	MT	4470	5511
MT-TW	MT	5512	5579
MT-TA	MT	5587	5655
MT-TN	MT	5657	5729
MT-TC	MT	5761	5826
MT-TY	MT	5826	5891
MT-CO1	MT	5904	7445
MT-TS1	MT	7446	7514
MT-TD	MT	7518	7585
MT-CO2	MT	7586	8269
MT-TK	MT	8295	8364
MT-ATP8	MT	8366	8572
MT-ATP6	MT	8527	9207
MT-CO3	MT	9207	9990
MT-TG	MT	9991	10058
MT-ND3	MT	10059	10404
MT-TR	MT	10405	10469
MT-ND4L	MT	10470	10766
MT-ND4	MT	10760	12137
MT-TH	MT	12138	12206
MT-TS2	MT	12207	12265
MT-TL2	MT	12266	12336
MT-ND5	MT	12337	14148
MT-ND6	MT	14149	14673
MT-TE	MT	14674	14742
MT-CYB	MT	14747	15887
MT-TT	MT	15888	15953
MT-TP	MT	15956	16023
SERPINE4P	15	27340524	27340804
MC2R	18	13882044	13915707
MTND2P18	2	131384461	131385490
DCD	12	54644591	54648493
HLA-DOB	CHR_HSCHR6_MHC_DBB_CTG1	32790888	32795173
PAICSP5	7	143545186	143546735
WFS1	4	6269849	6303265
GOLGA6D	15	75258558	75295530
YPEL5	2	30146941	30160533
RFPL4AP7	8	49352630	49352844
MTCO3P13	17	22530612	22531392
RANP1	CHR_HSCHR6_MHC_SSTO_CTG1	30478177	30478827
RPL5P2	20	45490818	45491671
BRK1P2	13	91023732	91023954
HNRNPDLP1	X	95638375	95638924
HNRNPA1P57	2	41143780	41157555
RAP1BP3	6	117431591	117432442
GABRG3-AS1	15	27157615	27161319
BRK1	3	10115592	10127190
CLDN6	16	3014712	3020071
HSPB3	5	54455601	54456384
LINC00380	13	91087254	91089593
CLDN8	21	30214006	30216073
HSFY4P	Y	20808776	20811809
UBE2Q2P5Y	Y	25431156	25437315
OR5M9	11	56462469	56463401
MTND1P10	22	36178554	36179385
NCOR1P2	17	22061961	22070538
LHFPL3-AS2	7	104894628	104926645
CBR3	21	36134912	36146566
OTP	5	77628712	77639688
CASP16P	16	3144219	3149963
LINC00499	4	138309711	138424344
EIF4BP6	7	104667749	104669576
GNAQP1	2	131423801	131424867
LINC00431	13	110983307	110990564
DYNLRB1	20	34516409	34540958
BNIP3P41	4	49096	50124
CEBPA	19	33299934	33302564
LINC01365	4	119799089	119804515
POPDC3	6	105158280	105179995
ASIC2	17	33013087	34174964
KRTAP19-5	21	30501657	30502117
C2orf88	2	189879609	190203484
TRAF6	11	36487027	36510272
DEFB125	20	87250	97094
ABCB10P3	15	28402868	28405033
LRRC41	1	46261196	46303608
FAM20C	7	192969	260745
CPA4	7	130293134	130324180
CYFIP1	CHR_HSCHR15_1_CTG3	22903706	22981018
ATXN7L1	7	105605067	105876604
CARD6	5	40841184	40860175
SYT8	11	1828307	1837521
LINC00710	10	10917880	10952234
CYP4A26P	1	46967679	46967874
AHSA1	14	77457870	77469474
RSPH3	6	158972871	159000187
CCNB2P1	7	7909300	7910449
ZNF790	19	36817428	36850787
RPS7P13	X	95679130	95679627
PAXBP1	CHR_HSCHR21_3_CTG1_1	32769814	32771858
KRT18P54	4	135371177	135371924
FTCDNL1	2	199760544	199851173
CBLN3	14	24426532	24430954
KIR2DS4	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54832710	54847746
WDFY3-AS1	4	84803258	84810391
CYP4A43P	1	46994382	46994502
FBXW12	3	48372219	48401259
LINC00498	4	138298856	138312658
